2012-03-07 03:06:40.000000 {"type":"join","timestamp":"1331089600.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"spinnerin_","nickname":"spinnerin_","name":"spinnerin_","username":null},"content":"spinnerin_ joined #indiewebcamp"}
2012-03-07 03:15:38.000000 {"type":"join","timestamp":"1331090138.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"davida","nickname":"davida","name":"davida","username":null},"content":"davida joined #indiewebcamp"}
2012-03-07 04:13:55.000000 {"type":"join","timestamp":"1331093635.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #indiewebcamp"}
2012-03-07 07:17:56.000000 {"type":"join","timestamp":"1331104676.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"voxpelli","nickname":"voxpelli","name":"voxpelli","username":null},"content":"voxpelli joined #indiewebcamp"}
2012-03-07 09:05:18.000000 {"type":"message","timestamp":"1331111118.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u0003072010-199-tantek-fsws-talk\u000314]]\u00034 \u000310 \u000302http:\/\/indiewebcamp.com\/wiki\/index.php?diff=688&oldid=687&rcid=767\u0003 \u00035*\u0003 \u000303Tantek\u0003 \u00035*\u0003 (+284) \u000310note original posted URLs\u0003"}
2012-03-07 09:42:36.000000 {"type":"join","timestamp":"1331113356.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #indiewebcamp"}
2012-03-07 16:07:36.000000 {"type":"join","timestamp":"1331136456.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"davida","nickname":"davida","name":"davida","username":null},"content":"davida joined #indiewebcamp"}
2012-03-07 16:24:38.000000 {"type":"join","timestamp":"1331137478.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #indiewebcamp"}
2012-03-07 16:50:32.000000 {"type":"join","timestamp":"1331139032.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"spinnerin","nickname":"spinnerin","name":"spinnerin","username":null},"content":"spinnerin joined #indiewebcamp"}
2012-03-07 17:01:02.000000 {"type":"join","timestamp":"1331139662.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #indiewebcamp"}
2012-03-07 17:06:28.000000 {"type":"join","timestamp":"1331139988.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #indiewebcamp"}
2012-03-07 17:53:41.000000 {"type":"join","timestamp":"1331142821.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"davida","nickname":"davida","name":"davida","username":null},"content":"davida joined #indiewebcamp"}
2012-03-07 18:35:03.000000 {"type":"join","timestamp":"1331145303.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"davida","nickname":"davida","name":"davida","username":null},"content":"davida joined #indiewebcamp"}
2012-03-07 19:44:19.000000 {"type":"join","timestamp":"1331149459.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"danbri","nickname":"danbri","name":"danbri","username":null},"content":"danbri joined #indiewebcamp"}
2012-03-07 20:12:12.000000 {"type":"join","timestamp":"1331151132.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"tilgovi","nickname":"tilgovi","name":"tilgovi","username":null},"content":"tilgovi joined #indiewebcamp"}
2012-03-07 22:21:26.000000 {"type":"join","timestamp":"1331158886.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"spinnerin","nickname":"spinnerin","name":"spinnerin","username":null},"content":"spinnerin joined #indiewebcamp"}
2012-03-07 22:35:50.000000 {"type":"join","timestamp":"1331159750.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"spinnerin","nickname":"spinnerin","name":"spinnerin","username":null},"content":"spinnerin joined #indiewebcamp"}
