2020-03-21 04:26:00.867700 {"type":"join","timestamp":1584764760.8677294,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","username":"~kartik","name":"purple","photo":null,"url":null,"tz":null,"host":"216-59-73-10.static.firstlight.net"},"content":null,"modes":[]}
2020-03-21 06:21:09.166900 {"type":"join","timestamp":1584771669.1669347,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":null,"photo":"http:\/\/tantek.com\/logo.jpg","url":"http:\/\/Tantek.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-03-21 06:57:32.126700 {"type":"join","timestamp":1584773852.1267343,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"gRegorLove_","nickname":"gRegorLove_","username":"~gRegorLov","name":null,"photo":null,"url":null,"tz":null,"host":"2600:8801:9200:3280:4138:3416:a55b:81ac"},"content":null,"modes":[]}
2020-03-21 07:35:41.498400 {"type":"join","timestamp":1584776141.4984384,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[g33kcentric]","nickname":"[g33kcentric]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-03-21 10:36:03.439600 {"type":"join","timestamp":1584786963.4395719,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"liamdawe","nickname":"liamdawe","username":"~liam","name":null,"photo":null,"url":null,"tz":null,"host":"cpc94110-newt38-2-0-cust75.19-3.cable.virginm.net"},"content":null,"modes":[]}
2020-03-21 10:36:55.998900 {"type":"join","timestamp":1584787015.9988725,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[jeremycherfas]","nickname":"[jeremycherfas]","username":"~slackuser","name":null,"photo":"https:\/\/www.jeremycherfas.net\/user\/themes\/mytheme\/images\/zoot.jpg","url":"http:\/\/jeremycherfas.net","tz":"Europe\/Rome","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-03-21 10:53:15.389400 {"type":"join","timestamp":1584787995.389388,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"rekam","nickname":"rekam","username":"~rekam","name":null,"photo":null,"url":null,"tz":null,"host":"2a00:23c7:5a1b:bf00:cd6b:17e3:cdcc:344f"},"content":null,"modes":[]}
2020-03-21 11:20:41.570300 {"type":"join","timestamp":1584789641.5703433,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[jgmac1106]","nickname":"[jgmac1106]","username":"~slackuser","name":null,"photo":"http:\/\/quickthoughts.jgregorymcverry.com\/file\/6802fbcdd3fada8cb61ffb798978f72f\/thumb.jpg","url":"http:\/\/jgregorymcverry.com","tz":"-5 GMT","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-03-21 11:29:09.482300 {"type":"join","timestamp":1584790149.482349,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[g33kcentric]","nickname":"[g33kcentric]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-03-21 11:38:52.367700 {"type":"join","timestamp":1584790732.3676722,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"rodolfojcj","nickname":"rodolfojcj","username":"~rodolfojc","name":null,"photo":null,"url":null,"tz":null,"host":"190-78-68-201.dyn.dsl.cantv.net"},"content":null,"modes":[]}
2020-03-21 11:44:52.081000 {"type":"join","timestamp":1584791092.081014,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"mauz555","nickname":"mauz555","username":"~mauz555","name":null,"photo":null,"url":null,"tz":null,"host":"2a01:e0a:56d:9090:b8f6:feac:725:f1"},"content":null,"modes":[]}
2020-03-21 11:49:54.467200 {"type":"join","timestamp":1584791394.4671772,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[KevinMarks]","nickname":"[KevinMarks]","username":"~slackuser","name":null,"photo":"http:\/\/www.kevinmarks.com\/km.jpg","url":"http:\/\/kevinmarks.com","tz":"Europe\/London","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-03-21 12:17:20.868300 {"type":"join","timestamp":1584793040.8682575,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[Sadik_Shahadu]","nickname":"[Sadik_Shahadu]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-03-21 13:11:38.951200 {"type":"join","timestamp":1584796298.9512353,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"rekam","nickname":"rekam","username":"~rekam","name":null,"photo":null,"url":null,"tz":null,"host":"2a00:23c7:5a1b:bf00:596b:f5d:141b:6b36"},"content":null,"modes":[]}
2020-03-21 13:11:59.512300 {"type":"join","timestamp":1584796319.5123103,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[schmarty]","nickname":"[schmarty]","username":"~slackuser","name":null,"photo":"https:\/\/martymcgui.re\/img\/logo.jpg","url":"http:\/\/martymcgui.re","tz":"America\/New_York","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-03-21 13:28:56.374200 {"type":"join","timestamp":1584797336.374215,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[frank]","nickname":"[frank]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
