2021-09-28 00:10:26.858600 {"type":"join","timestamp":1632787826.858641,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[Rose]","nickname":"[Rose]","username":"~slackuser","name":null,"photo":"https:\/\/i0.wp.com\/rosemaryorchard.com\/wp-content\/uploads\/2019\/03\/igazPjBx.jpg","url":"http:\/\/rosemaryorchard.com","tz":"Europe\/Austria","host":"li826-110.members.linode.com"},"content":null,"modes":[]}
2021-09-28 00:59:54.169300 {"type":"join","timestamp":1632790794.1692848,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"ur5us","nickname":"ur5us","username":"~ur5us","name":null,"photo":null,"url":null,"tz":null,"host":"2406:e002:6bd3:6701:534f:b327:a77f:88b3"},"content":null,"modes":[]}
2021-09-28 03:42:08.165600 {"type":"join","timestamp":1632800528.165598,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"ur5us","nickname":"ur5us","username":"~ur5us","name":null,"photo":null,"url":null,"tz":null,"host":"2406:e002:6bd3:6701:534f:b327:a77f:88b3"},"content":null,"modes":[]}
2021-09-28 03:45:02.737900 {"type":"join","timestamp":1632800702.7379448,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"hendursaga","nickname":"hendursaga","username":"~weechat","name":"weechat","photo":null,"url":null,"tz":null,"host":"user\/hendursaga"},"content":null,"modes":[]}
2021-09-28 05:40:52.450100 {"type":"join","timestamp":1632807652.450102,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[jeremycherfas]","nickname":"[jeremycherfas]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"li826-110.members.linode.com"},"content":null,"modes":[]}
2021-09-28 06:35:13.704600 {"type":"message","timestamp":1632810913.704626,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":"http:\/\/loqi.me\/logo\/loqisaur.png","url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"\u000314[[\u000307Special:Log\/newusers\u000314]]\u00034 create2\u000310 \u000302\u0003 \u00035*\u0003 \u000303Tantek\u0003 \u00035*\u0003  \u000310created new account User:JamesGallagher\u0003\n","modes":[]}
2021-09-28 06:38:41.491000 {"type":"message","timestamp":1632811121.490963,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"capjamesg[d]","nickname":"capjamesg[d]","username":"capjamesg","name":"capjamesg","photo":null,"url":null,"tz":null,"host":"2a01:4f8:150:8305::1"},"content":"One other piece of feedback I have, which I will document on the wiki, is that it is unclear why we have both microformats.org and microformats.io as official sites.","modes":[]}
2021-09-28 06:38:51.363300 {"type":"message","timestamp":1632811131.3632526,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"capjamesg[d]","nickname":"capjamesg[d]","username":"capjamesg","name":"capjamesg","photo":null,"url":null,"tz":null,"host":"2a01:4f8:150:8305::1"},"content":"I knew about microformats.org long before the .io version, but the .io version contains useful content.","modes":[]}
2021-09-28 06:53:11.546400 {"type":"message","timestamp":1632811991.5463524,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":"tantek via slack-irc-gateway","photo":null,"url":null,"tz":null,"host":"li826-110.members.linode.com"},"content":"the .io site is totally different, and very much targeted at software developers","modes":["voice"]}
2021-09-28 06:59:01.585400 {"type":"message","timestamp":1632812341.5854325,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null,"host":null},"content":"\u000314[[\u000307to-do\u000314]]\u00034 !\u000310 \u000302http:\/\/microformats.org\/wiki\/index.php?diff=70436&oldid=70435&rcid=104861\u0003 \u00035*\u0003 \u000303JamesGallagher\u0003 \u00035*\u0003 (+511) \u000310\/* why microformats *\/\u0003\n","modes":[]}
2021-09-28 07:00:42.676400 {"type":"message","timestamp":1632812442.676447,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null,"host":null},"content":"\u000314[[\u000307to-do\u000314]]\u00034 !\u000310 \u000302http:\/\/microformats.org\/wiki\/index.php?diff=70437&oldid=70436&rcid=104862\u0003 \u00035*\u0003 \u000303JamesGallagher\u0003 \u00035*\u0003 (+414) \u000310\/* more community updates *\/\u0003\n","modes":[]}
2021-09-28 07:02:22.750400 {"type":"message","timestamp":1632812542.7503638,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null,"host":null},"content":"\u000314[[\u000307to-do\u000314]]\u00034 !\u000310 \u000302http:\/\/microformats.org\/wiki\/index.php?diff=70438&oldid=70437&rcid=104863\u0003 \u00035*\u0003 \u000303JamesGallagher\u0003 \u00035*\u0003 (+316) \u000310\/* microformats2 updates *\/\u0003\n","modes":[]}
2021-09-28 07:02:42.246800 {"type":"message","timestamp":1632812562.2468274,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"capjamesg[d]","nickname":"capjamesg[d]","username":"capjamesg","name":"capjamesg","photo":null,"url":null,"tz":null,"host":"2a01:4f8:150:8305::1"},"content":"[tantek] Got it. Thanks for the clarification.","modes":[]}
2021-09-28 07:05:36.658500 {"type":"message","timestamp":1632812736.6585257,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null,"host":null},"content":"\u000314[[\u000307Special:Log\/patrol\u000314]]\u00034 patrol\u000310 \u000302\u0003 \u00035*\u0003 \u000303Tantek\u0003 \u00035*\u0003  \u000310marked revision 70437 of [[\u000302to-do\u000310]] patrolled \u0003\n","modes":[]}
2021-09-28 07:05:50.058800 {"type":"message","timestamp":1632812750.0588486,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null,"host":null},"content":"\u000314[[\u000307to-do\u000314]]\u00034 !\u000310 \u000302http:\/\/microformats.org\/wiki\/index.php?diff=70439&oldid=70438&rcid=104864\u0003 \u00035*\u0003 \u000303JamesGallagher\u0003 \u00035*\u0003 (+385) \u000310\/* site homepage update *\/\u0003\n","modes":[]}
2021-09-28 07:06:13.176400 {"type":"message","timestamp":1632812773.17637,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null,"host":null},"content":"\u000314[[\u000307Special:Log\/patrol\u000314]]\u00034 patrol\u000310 \u000302\u0003 \u00035*\u0003 \u000303Tantek\u0003 \u00035*\u0003  \u000310marked revision 70438 of [[\u000302to-do\u000310]] patrolled \u0003\n","modes":[]}
2021-09-28 07:06:20.245400 {"type":"message","timestamp":1632812780.2454238,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"capjamesg[d]","nickname":"capjamesg[d]","username":"capjamesg","name":"capjamesg","photo":null,"url":null,"tz":null,"host":"2a01:4f8:150:8305::1"},"content":"I have made a few suggestions on that page [tantek] \ud83d\ude42","modes":[]}
2021-09-28 07:06:26.880700 {"type":"message","timestamp":1632812786.8806891,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":"tantek via slack-irc-gateway","photo":null,"url":null,"tz":null,"host":"li826-110.members.linode.com"},"content":"capjamesg++","modes":["voice"]}
2021-09-28 07:06:26.898400 {"type":"message","timestamp":1632812786.8984323,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null,"host":null},"content":"capjamesg has 1 karma in this channel over the last year (19 in all channels)","modes":[]}
2021-09-28 07:06:37.436900 {"type":"message","timestamp":1632812797.4369364,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null,"host":null},"content":"\u000314[[\u000307to-do\u000314]]\u00034 !\u000310 \u000302http:\/\/microformats.org\/wiki\/index.php?diff=70440&oldid=70439&rcid=104865\u0003 \u00035*\u0003 \u000303JamesGallagher\u0003 \u00035*\u0003 (-385) \u000310\/* link to all relevant specifications on the home page *\/\u0003\n","modes":[]}
2021-09-28 07:06:50.337900 {"type":"message","timestamp":1632812810.3378646,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null,"host":null},"content":"\u000314[[\u000307to-do\u000314]]\u00034 !\u000310 \u000302http:\/\/microformats.org\/wiki\/index.php?diff=70441&oldid=70440&rcid=104866\u0003 \u00035*\u0003 \u000303JamesGallagher\u0003 \u00035*\u0003 (+192) \u000310\/* link to recent formats *\/\u0003\n","modes":[]}
