2020-02-16 00:17:31.160100 {"type":"join","timestamp":1581812251.1601198,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[jgmac1106]","nickname":"[jgmac1106]","username":"~slackuser","name":null,"photo":"http:\/\/quickthoughts.jgregorymcverry.com\/file\/6802fbcdd3fada8cb61ffb798978f72f\/thumb.jpg","url":"http:\/\/jgregorymcverry.com","tz":"-5 GMT","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-02-16 00:45:12.434600 {"type":"join","timestamp":1581813912.4345858,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[Michael_Beckwit","nickname":"[Michael_Beckwit","username":"~slackuser","name":"Michael_Beckwith via slack-irc-gateway","photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-02-16 02:31:33.301900 {"type":"join","timestamp":1581820293.3018975,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":null,"photo":"http:\/\/tantek.com\/logo.jpg","url":"http:\/\/Tantek.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-02-16 06:32:56.185700 {"type":"join","timestamp":1581834776.1857474,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"Mallikarjun92","nickname":"Mallikarjun92","username":"~webuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-02-16 07:39:48.334200 {"type":"join","timestamp":1581838788.3341565,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[snarfed]","nickname":"[snarfed]","username":"~slackuser","name":"snarfed via slack-irc-gateway","photo":null,"url":"http:\/\/snarfed.org","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-02-16 07:46:55.875900 {"type":"join","timestamp":1581839215.8758605,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[Christina_Hendr","nickname":"[Christina_Hendr","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-02-16 09:34:53.119000 {"type":"join","timestamp":1581845693.1189623,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"travis-ci","nickname":"travis-ci","username":"~travis-ci","name":null,"photo":null,"url":null,"tz":null,"host":"ec2-54-87-168-60.compute-1.amazonaws.com"},"content":null,"modes":[]}
2020-02-16 09:34:53.314000 {"type":"message","timestamp":1581845693.314024,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"travis-ci","nickname":"travis-ci","username":"~travis-ci","name":null,"photo":null,"url":null,"tz":null,"host":"ec2-54-87-168-60.compute-1.amazonaws.com"},"content":"Change view : https:\/\/github.com\/mapkyca\/idno\/compare\/7d24465293e3...15f483bf9fb3","modes":[]}
2020-02-16 09:34:53.323400 {"type":"message","timestamp":1581845693.3233693,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"travis-ci","nickname":"travis-ci","username":"~travis-ci","name":null,"photo":null,"url":null,"tz":null,"host":"ec2-54-87-168-60.compute-1.amazonaws.com"},"content":"Build details : https:\/\/travis-ci.org\/mapkyca\/idno\/builds\/651056040","modes":[]}
2020-02-16 09:34:53.327000 {"type":"message","timestamp":1581845693.3269966,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"travis-ci","nickname":"travis-ci","username":"~travis-ci","name":null,"photo":null,"url":null,"tz":null,"host":"ec2-54-87-168-60.compute-1.amazonaws.com"},"content":"mapkyca\/idno#513 (master - 15f483b : Marcus Povey): The build passed.","modes":[]}
2020-02-16 09:34:53.335400 {"type":"leave","timestamp":1581845693.3353987,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"travis-ci","nickname":"travis-ci","username":"~travis-ci","name":null,"photo":null,"url":null,"tz":null,"host":"ec2-54-87-168-60.compute-1.amazonaws.com"},"content":null,"modes":[]}
2020-02-16 10:30:17.422700 {"type":"join","timestamp":1581849017.4227452,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[Evie_Skinner]","nickname":"[Evie_Skinner]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
