2018-12-02 00:29:52.731900 {"type":"join","timestamp":1543710592.7319,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[jgmac1106]","nickname":"[jgmac1106]","username":"~slackuser","name":"jgmac1106 via slack-irc-gateway","photo":null,"url":"http:\/\/jgregorymcverry.com","tz":"-5 GMT","host":"chat.indieweb.org"},"content":null,"modes":[]}
2018-12-02 00:30:56.802600 {"type":"join","timestamp":1543710656.8026,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"strugee","nickname":"strugee","username":"~strugee","name":null,"photo":null,"url":null,"tz":null,"host":"216.160.72.225"},"content":null,"modes":[]}
2018-12-02 00:39:43.739500 {"type":"join","timestamp":1543711183.7395,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"strugee","nickname":"strugee","username":"~strugee","name":null,"photo":null,"url":null,"tz":null,"host":"216.160.72.225"},"content":null,"modes":[]}
2018-12-02 01:00:33.988200 {"type":"join","timestamp":1543712433.9882,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[eddie]","nickname":"[eddie]","username":"~slackuser","name":"eddie via slack-irc-gateway","photo":null,"url":"http:\/\/eddiehinkle.com","tz":"America\/New_York","host":"chat.indieweb.org"},"content":null,"modes":[]}
2018-12-02 01:04:57.003000 {"type":"join","timestamp":1543712697.003,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":null,"photo":null,"url":"http:\/\/Tantek.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2018-12-02 03:06:17.343500 {"type":"join","timestamp":1543719977.3435,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","username":"~tantek","name":null,"photo":null,"url":null,"tz":null,"host":"50-0-164-93.dsl.dynamic.fusionbroadband.com"},"content":null,"modes":[]}
2018-12-02 06:15:57.448400 {"type":"join","timestamp":1543731357.4484,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[dave]","nickname":"[dave]","username":"~slackuser","name":null,"photo":null,"url":"http:\/\/davegoesthedistance.com","tz":"America\/Chicago","host":"chat.indieweb.org"},"content":null,"modes":[]}
2018-12-02 06:16:02.445300 {"type":"message","timestamp":1543731362.4453,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[dave]","nickname":"[dave]","username":"~slackuser","name":null,"photo":null,"url":"http:\/\/davegoesthedistance.com","tz":"America\/Chicago","host":"chat.indieweb.org"},"content":"Not anymore, but the banner on every page on my blog thegriddle.net was until I removed the property.","modes":["voice"]}
2018-12-02 06:36:37.419500 {"type":"join","timestamp":1543732597.4195,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"eduardm","nickname":"eduardm","username":"~eduardm","name":null,"photo":null,"url":null,"tz":null,"host":"static-24-89-230-77.ipcom.comunitel.net"},"content":null,"modes":[]}
2018-12-02 08:53:53.931000 {"type":"join","timestamp":1543740833.931,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"barpthewire","nickname":"barpthewire","username":"~Thunderbi","name":"barpthewire","photo":null,"url":null,"tz":null,"host":"ipbcc06279.dynamic.kabel-deutschland.de"},"content":null,"modes":[]}
2018-12-02 10:27:49.024600 {"type":"join","timestamp":1543746469.0246,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"doubleloop","nickname":"doubleloop","username":"~webuser","name":null,"photo":null,"url":"http:\/\/doubleloop.net","tz":"Europe\/London","host":"chat.indieweb.org"},"content":null,"modes":[]}
