2019-07-16 00:00:39.736700 {"type":"message","timestamp":1563235239.7367,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":"http:\/\/loqi.me\/logo\/loqisaur.png","url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"[@Johannes_Ernst] \u21a9\ufe0f @digitalknk @withknown Would be interesting to know what you think is the most \"tough\" about #IndieWeb. (https:\/\/twitter.com\/_\/status\/1150918102000914432)","modes":[]}
2019-07-16 00:01:17.423000 {"type":"message","timestamp":1563235277.423,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":"j12t - they said it in their tweet: \"working with WordPress\" - and that's a known struggle (so to speak)","modes":[]}
2019-07-16 00:01:51.479700 {"type":"message","timestamp":1563235311.4797,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"j12t","nickname":"j12t","username":"~j12t","name":null,"photo":null,"url":null,"tz":null,"host":"107-215-1-140.lightspeed.sntcca.sbcglobal.net"},"content":"I was hoping for one level more detail :-)","modes":[]}
2019-07-16 00:05:56.330800 {"type":"message","timestamp":1563235556.3308,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":"themes","modes":[]}
2019-07-16 00:21:00.479000 {"type":"join","timestamp":1563236460.479,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[jgmac1106]","nickname":"[jgmac1106]","username":"~slackuser","name":null,"photo":"http:\/\/quickthoughts.jgregorymcverry.com\/file\/6802fbcdd3fada8cb61ffb798978f72f\/thumb.jpg","url":"http:\/\/jgregorymcverry.com","tz":"-5 GMT","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-07-16 02:23:07.190600 {"type":"join","timestamp":1563243787.1906,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"NatoBoram[m]3","nickname":"NatoBoram[m]3","username":"disco_6646","name":null,"photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-kuimxkbrpgazxwqa"},"content":null,"modes":[]}
2019-07-16 02:40:23.763700 {"type":"join","timestamp":1563244823.7637,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[KevinMarks]","nickname":"[KevinMarks]","username":"~slackuser","name":null,"photo":"http:\/\/www.kevinmarks.com\/km.jpg","url":"http:\/\/kevinmarks.com","tz":"Europe\/London","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-07-16 03:31:49.751400 {"type":"join","timestamp":1563247909.7514,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":null,"photo":"http:\/\/tantek.com\/logo.jpg","url":"http:\/\/Tantek.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-07-16 03:36:04.484400 {"type":"join","timestamp":1563248164.4844,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[snarfed]","nickname":"[snarfed]","username":"~slackuser","name":null,"photo":null,"url":"http:\/\/snarfed.org","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-07-16 04:42:41.610500 {"type":"join","timestamp":1563252161.6105,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[Michael_Beckwit","nickname":"[Michael_Beckwit","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-07-16 05:31:34.176600 {"type":"join","timestamp":1563255094.1766,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"jwheeler[m]","nickname":"jwheeler[m]","username":"discord6_3","name":null,"photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-ppajwcexhyvpqpgn"},"content":null,"modes":[]}
2019-07-16 05:49:11.757200 {"type":"join","timestamp":1563256151.7572,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[KevinMarks]","nickname":"[KevinMarks]","username":"~slackuser","name":null,"photo":"http:\/\/www.kevinmarks.com\/km.jpg","url":"http:\/\/kevinmarks.com","tz":"Europe\/London","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-07-16 07:46:26.381100 {"type":"message","timestamp":1563263186.3811,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"AkyRhO","nickname":"AkyRhO","username":"~akyrho","name":null,"photo":null,"url":null,"tz":null,"host":"box.bousmanne.com"},"content":"[KevinMarks]: for what it's worth I re-installed Known (based on the git repository this time), and everything seems to be fine","modes":[]}
2019-07-16 08:25:50.455200 {"type":"join","timestamp":1563265550.4552,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"Yass","nickname":"Yass","username":"~webuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
