2018-09-25 00:36:34.770400 {"type":"join","timestamp":1537835794.7704,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[jgmac1106]","nickname":"[jgmac1106]","username":"~slackuser","name":null,"photo":"http:\/\/quickthoughts.jgregorymcverry.com\/file\/6802fbcdd3fada8cb61ffb798978f72f\/thumb.jpg","url":"http:\/\/jgregorymcverry.com","tz":"-5 GMT"},"content":null,"modes":[]}
2018-09-25 00:52:47.279300 {"type":"join","timestamp":1537836767.2793,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"Guest37549","nickname":"Guest37549","username":"~bass_goon","name":null,"photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-09-25 01:23:00.560200 {"type":"join","timestamp":1537838580.5602,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"Mad327","nickname":"Mad327","username":"~Mad3","name":null,"photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-09-25 01:25:13.187900 {"type":"join","timestamp":1537838713.1879,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"tantek","nickname":"tantek","username":"~tantek","name":null,"photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-09-25 01:31:54.445000 {"type":"join","timestamp":1537839114.445,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"Gomez","nickname":"Gomez","username":"gomez","name":"gomez","photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-09-25 01:31:54.804700 {"type":"join","timestamp":1537839114.8047,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"Gomez","nickname":"Gomez","username":"gomez","name":"gomez","photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-09-25 03:20:11.383500 {"type":"join","timestamp":1537845611.3835,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"tantek__","nickname":"tantek__","username":"68015b2c","name":null,"photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-09-25 03:33:36.098000 {"type":"join","timestamp":1537846416.098,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"amaurea20","nickname":"amaurea20","username":"~amaurea","name":null,"photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-09-25 05:25:30.256200 {"type":"join","timestamp":1537853130.2562,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"iscsi24","nickname":"iscsi24","username":"~iscsi","name":null,"photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-09-25 06:14:29.101300 {"type":"join","timestamp":1537856069.1013,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"heinrich599116","nickname":"heinrich599116","username":"~heinrich5","name":null,"photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-09-25 07:17:55.953200 {"type":"join","timestamp":1537859875.9532,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"fuziontech","nickname":"fuziontech","username":"~fuziontec","name":null,"photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-09-25 07:26:13.816800 {"type":"join","timestamp":1537860373.8168,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[kevinmarks]","nickname":"[kevinmarks]","username":"~slackuser","name":null,"photo":"http:\/\/www.kevinmarks.com\/km.jpg","url":"http:\/\/kevinmarks.com","tz":"Europe\/London"},"content":null,"modes":[]}
2018-09-25 08:07:09.857800 {"type":"join","timestamp":1537862829.8578,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"dbof3","nickname":"dbof3","username":"~dbof","name":null,"photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-09-25 08:10:47.462800 {"type":"join","timestamp":1537863047.4628,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"Guest21183","nickname":"Guest21183","username":"~bsv","name":null,"photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-09-25 08:57:59.779400 {"type":"join","timestamp":1537865879.7794,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"karoofish12","nickname":"karoofish12","username":"~karoofish","name":null,"photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-09-25 09:02:04.365300 {"type":"join","timestamp":1537866124.3653,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"tthu20","nickname":"tthu20","username":"~tthu","name":null,"photo":null,"url":null,"tz":null},"content":null,"modes":[]}
