2020-10-11 00:10:26.203900 {"type":"join","timestamp":1602375026.2038555,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":"tantek via slack-irc-gateway","photo":"http:\/\/tantek.com\/logo.jpg","url":"http:\/\/Tantek.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-10-11 00:42:09.856700 {"type":"join","timestamp":1602376929.8566594,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"a_chou","nickname":"a_chou","username":"~Thunderbi","name":null,"photo":null,"url":null,"tz":null,"host":"pool-96-232-88-102.nycmny.fios.verizon.net"},"content":null,"modes":[]}
2020-10-11 00:46:01.293900 {"type":"join","timestamp":1602377161.293873,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"workfrosty","nickname":"workfrosty","username":"~workfrost","name":null,"photo":null,"url":null,"tz":null,"host":"104.200.129.48"},"content":null,"modes":[]}
2020-10-11 01:18:09.067800 {"type":"join","timestamp":1602379089.0677843,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"wolftune","nickname":"wolftune","username":"~aaron","name":null,"photo":null,"url":"http:\/\/wolftune.com","tz":"America\/Los_Angeles","host":"97-120-255-3.ptld.qwest.net"},"content":null,"modes":[]}
2020-10-11 02:15:51.008700 {"type":"join","timestamp":1602382551.0087411,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"joshghent1","nickname":"joshghent1","username":"~user","name":null,"photo":null,"url":null,"tz":null,"host":"142.93.34.134"},"content":null,"modes":[]}
2020-10-11 02:20:52.811000 {"type":"join","timestamp":1602382852.811017,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"toupain","nickname":"toupain","username":"~Thunderbi","name":null,"photo":null,"url":null,"tz":null,"host":"ip-99-203-0-77.pools.spcsdns.net"},"content":null,"modes":[]}
2020-10-11 02:40:44.264100 {"type":"join","timestamp":1602384044.264099,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"archwizard","nickname":"archwizard","username":"~archwizar","name":"Archwizard","photo":null,"url":null,"tz":null,"host":"cloud.archwizard.xyz"},"content":null,"modes":[]}
2020-10-11 02:44:11.638300 {"type":"join","timestamp":1602384251.6383173,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"nickodd","nickname":"nickodd","username":"~nickodd","name":"nickodd","photo":null,"url":null,"tz":null,"host":"unaffiliated\/nickodd"},"content":null,"modes":[]}
2020-10-11 02:54:38.068000 {"type":"join","timestamp":1602384878.067964,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"archwizard","nickname":"archwizard","username":"~archwizar","name":"Archwizard","photo":null,"url":null,"tz":null,"host":"cloud.archwizard.xyz"},"content":null,"modes":[]}
2020-10-11 02:58:42.921000 {"type":"join","timestamp":1602385122.9209707,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"joshghent1","nickname":"joshghent1","username":"~user","name":null,"photo":null,"url":null,"tz":null,"host":"142.93.34.134"},"content":null,"modes":[]}
2020-10-11 03:23:21.649700 {"type":"join","timestamp":1602386601.649697,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"rEnr3n","nickname":"rEnr3n","username":"~rEnr3n","name":"Real Name","photo":null,"url":null,"tz":null,"host":"unaffiliated\/renr3n"},"content":null,"modes":[]}
2020-10-11 03:53:59.180800 {"type":"join","timestamp":1602388439.1808221,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"gxt","nickname":"gxt","username":"~gxt","name":"gxt","photo":null,"url":null,"tz":null,"host":"gateway\/tor-sasl\/gxt"},"content":null,"modes":[]}
2020-10-11 03:56:35.854700 {"type":"join","timestamp":1602388595.854708,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"wolftune","nickname":"wolftune","username":"~aaron","name":null,"photo":null,"url":"http:\/\/wolftune.com","tz":"America\/Los_Angeles","host":"97-120-255-3.ptld.qwest.net"},"content":null,"modes":[]}
2020-10-11 04:06:27.303300 {"type":"join","timestamp":1602389187.3032799,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"wolftune","nickname":"wolftune","username":"~aaron","name":null,"photo":null,"url":"http:\/\/wolftune.com","tz":"America\/Los_Angeles","host":"97-120-255-3.ptld.qwest.net"},"content":null,"modes":[]}
2020-10-11 04:15:02.096200 {"type":"join","timestamp":1602389702.0962362,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[fluffy]","nickname":"[fluffy]","username":"~slackuser","name":null,"photo":"https:\/\/beesbuzz.biz\/static\/headshot.jpg","url":"http:\/\/beesbuzz.biz","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-10-11 04:46:06.452200 {"type":"join","timestamp":1602391566.4521735,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"anarchivist","nickname":"anarchivist","username":"sid17082","name":null,"photo":"https:\/\/matienzo.org\/images\/matienzo.jpg","url":"http:\/\/matienzo.org","tz":"America\/Los_Angeles","host":"pdpc\/supporter\/active\/anarchivist"},"content":null,"modes":[]}
2020-10-11 04:52:32.671600 {"type":"join","timestamp":1602391952.6715567,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"funwhilelost[m]1","nickname":"funwhilelost[m]1","username":"funwhilelo","name":null,"photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-jtkctmefspliktsj"},"content":null,"modes":[]}
2020-10-11 04:53:58.602300 {"type":"join","timestamp":1602392038.6022618,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"jeremy","nickname":"jeremy","username":"~jeremy","name":null,"photo":null,"url":null,"tz":null,"host":"jeremy.powered.by.lunarbnc.net"},"content":null,"modes":[]}
2020-10-11 04:56:46.605600 {"type":"join","timestamp":1602392206.6056163,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"robla","nickname":"robla","username":"sid6864","name":null,"photo":null,"url":null,"tz":null,"host":"wikimedia\/robla"},"content":null,"modes":[]}
2020-10-11 04:57:41.791300 {"type":"join","timestamp":1602392261.7912524,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"craftyphotons__","nickname":"craftyphotons__","username":"sid116869","name":null,"photo":"https:\/\/s.gravatar.com\/avatar\/3499f0da01e50fbc716d431fda9e4478","url":"http:\/\/tonyburns.net","tz":"America\/New_York","host":"gateway\/web\/irccloud.com\/x-bknlkgoschiemfje"},"content":null,"modes":[]}
2020-10-11 05:27:02.005700 {"type":"join","timestamp":1602394022.005677,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"wolftune","nickname":"wolftune","username":"~aaron","name":null,"photo":null,"url":null,"tz":"US\/Pacific","host":"97-120-255-3.ptld.qwest.net"},"content":null,"modes":[]}
2020-10-11 05:29:56.919400 {"type":"join","timestamp":1602394196.9193609,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"wolftune","nickname":"wolftune","username":"~aaron","name":null,"photo":null,"url":null,"tz":"US\/Pacific","host":"97-120-255-3.ptld.qwest.net"},"content":null,"modes":[]}
