2020-05-07 00:49:42.917900 {"type":"join","timestamp":1588812582.917886,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"[chrisaldrich]","nickname":"[chrisaldrich]","username":"~slackuser","name":null,"photo":"https:\/\/www.boffosocko.com\/logo.jpg","url":"http:\/\/boffosocko.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-05-07 01:14:05.527200 {"type":"join","timestamp":1588814045.5271516,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"[Aaron_Klemm]","nickname":"[Aaron_Klemm]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-05-07 01:18:53.460800 {"type":"join","timestamp":1588814333.460783,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"[Kevin_Faaborg]","nickname":"[Kevin_Faaborg]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-05-07 01:24:16.533400 {"type":"join","timestamp":1588814656.5333796,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"gRegorLove","nickname":"gRegorLove","username":"~gRegorLov","name":null,"photo":null,"url":null,"tz":null,"host":"2600:8801:9200:3280:9904:9bf7:314:a15"},"content":null,"modes":[]}
2020-05-07 01:44:25.004800 {"type":"join","timestamp":1588815865.0047784,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"zerotex","nickname":"zerotex","username":"~zerotex","name":null,"photo":null,"url":null,"tz":null,"host":"ip-206-192-205-234.marylandheights.ip.cablemo.net"},"content":null,"modes":[]}
2020-05-07 01:44:51.891100 {"type":"join","timestamp":1588815891.8910525,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"zerotex","nickname":"zerotex","username":"~zerotex","name":null,"photo":null,"url":null,"tz":null,"host":"ip-206-192-205-234.marylandheights.ip.cablemo.net"},"content":null,"modes":[]}
2020-05-07 03:36:38.424200 {"type":"join","timestamp":1588822598.4242249,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"nickodd","nickname":"nickodd","username":"~nickodd","name":null,"photo":null,"url":null,"tz":null,"host":"unaffiliated\/nickodd"},"content":null,"modes":[]}
2020-05-07 03:45:42.071300 {"type":"join","timestamp":1588823142.0712795,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"[prtksxna]","nickname":"[prtksxna]","username":"~slackuser","name":null,"photo":"http:\/\/gravatar.com\/avatar\/17f37be7dfd491b7b442a79f69e08f16","url":"http:\/\/prtksxna.com","tz":"Asia\/Calcutta","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-05-07 03:51:52.985700 {"type":"join","timestamp":1588823512.985713,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"beko","nickname":"beko","username":"~beko","name":"Bernd Kosmahl","photo":"https:\/\/beko.famkos.net\/wp-content\/uploads\/2019\/05\/photo_2017-10-20_11-57-42-40x40.jpg","url":"http:\/\/beko.famkos.net","tz":"Europe\/Berlin","host":"tripskip.maxr.org"},"content":null,"modes":[]}
2020-05-07 05:42:57.967900 {"type":"join","timestamp":1588830177.9679031,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"[prtksxna]","nickname":"[prtksxna]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-05-07 06:19:08.076000 {"type":"join","timestamp":1588832348.075967,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"[Bryn_Wolf]","nickname":"[Bryn_Wolf]","username":"~slackuser","name":null,"photo":null,"url":"http:\/\/loveiswhoweare.com","tz":"North America\/San_Francisco","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-05-07 07:17:55.950600 {"type":"join","timestamp":1588835875.9505613,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"jamietanna","nickname":"jamietanna","username":"~webuser","name":null,"photo":"https:\/\/www.jvt.me\/img\/profile.png","url":"http:\/\/www.jvt.me","tz":"Europe\/London","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-05-07 07:28:26.949400 {"type":"join","timestamp":1588836506.9494112,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"gRegorLove","nickname":"gRegorLove","username":"~gRegorLov","name":null,"photo":null,"url":null,"tz":null,"host":"2600:8801:9200:3280:9904:9bf7:314:a15"},"content":null,"modes":[]}
2020-05-07 09:07:43.421500 {"type":"join","timestamp":1588842463.4215314,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"[LewisCowles]","nickname":"[LewisCowles]","username":"~slackuser","name":null,"photo":null,"url":"http:\/\/Www.lewiscowles.co.uk","tz":"Europe\/London","host":"chat.indieweb.org"},"content":null,"modes":[]}
