2018-03-14 00:15:44.811600 {"type":"join","timestamp":1520986544.8116,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":null,"photo":"http:\/\/tantek.com\/logo.jpg","url":"http:\/\/Tantek.com","tz":"US\/Pacific"},"content":null,"modes":[]}
2018-03-14 00:26:13.979500 {"type":"join","timestamp":1520987173.9795,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[cleverdevil]","nickname":"[cleverdevil]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-03-14 00:53:40.794500 {"type":"join","timestamp":1520988820.7945,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","username":"~tantek","name":null,"photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-03-14 01:02:18.875300 {"type":"message","timestamp":1520989338.8753,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","username":"~tantek","name":null,"photo":null,"url":null,"tz":null},"content":"so much logs","modes":["op"]}
2018-03-14 01:40:13.088600 {"type":"message","timestamp":1520991613.0886,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","username":"~kartik","name":"purple","photo":null,"url":null,"tz":null},"content":"tantek: there was a lot of VCP datetime discussed would be great to have your input","modes":[]}
2018-03-14 01:40:35.670800 {"type":"message","timestamp":1520991635.6708,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","username":"~tantek","name":null,"photo":null,"url":null,"tz":null},"content":"did anyone summarize into questions?","modes":["op"]}
2018-03-14 01:41:12.266600 {"type":"message","timestamp":1520991672.2666,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","username":"~kartik","name":"purple","photo":null,"url":null,"tz":null},"content":"I can try","modes":[]}
2018-03-14 01:43:36.422800 {"type":"message","timestamp":1520991816.4228,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","username":"~kartik","name":"purple","photo":null,"url":null,"tz":null},"content":"according to http:\/\/microformats.org\/wiki\/value-class-pattern#Basic_Parsing if there is only one value element then the datetime value is parsed as usual i.e.","modes":[]}
2018-03-14 01:43:36.505400 {"type":"message","timestamp":1520991816.5054,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","username":"~kartik","name":"purple","photo":null,"url":null,"tz":null},"content":"so <span class=\"dt-published\"><abbr class=\"value\" title=\"humdinger\"><\/abbr><\/span> would give published = [\"humdinger\"]","modes":[]}
2018-03-14 01:43:40.895800 {"type":"message","timestamp":1520991820.8958,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null},"content":"Value Class Pattern","modes":[]}
2018-03-14 01:44:19.034200 {"type":"message","timestamp":1520991859.0342,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","username":"~kartik","name":"purple","photo":null,"url":null,"tz":null},"content":"but if the date is specified using many value element then it switches to http:\/\/microformats.org\/wiki\/value-class-pattern#Date_and_time_parsing which then checks for validity of the date and time","modes":[]}
2018-03-14 01:44:22.776100 {"type":"message","timestamp":1520991862.7761,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null},"content":"Value Class Pattern","modes":[]}
2018-03-14 01:44:38.566900 {"type":"message","timestamp":1520991878.5669,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","username":"~kartik","name":"purple","photo":null,"url":null,"tz":null},"content":"so sometimes the datetime validity is checked and other times it isn't","modes":[]}
