2021-12-11 00:22:14.722500 {"type":"join","timestamp":1639182134.72253,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"Seirdy","nickname":"Seirdy","username":"~Seirdy","name":"Seirdy","photo":"https:\/\/seirdy.one\/favicon.png","url":"http:\/\/seirdy.one","tz":"America\/Los_Angeles","host":"sourcehut\/user\/seirdy"},"content":null,"modes":[]}
2021-12-11 02:16:28.748200 {"type":"join","timestamp":1639188988.748217,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","username":"~kartik","name":"purple","photo":null,"url":null,"tz":null,"host":"172.58.191.153"},"content":null,"modes":[]}
2021-12-11 03:04:32.279100 {"type":"join","timestamp":1639191872.2791452,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"rvalue","nickname":"rvalue","username":"~rvalue","name":"ZNC - https:\/\/znc.in","photo":null,"url":null,"tz":null,"host":"user\/rvalue"},"content":null,"modes":[]}
2021-12-11 04:42:39.738900 {"type":"join","timestamp":1639197759.7388568,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"aranjedeath","nickname":"aranjedeath","username":"~aranjedea","name":"Jacob Taylor","photo":null,"url":null,"tz":null,"host":"user\/aranjedeath"},"content":null,"modes":[]}
2021-12-11 07:57:11.003700 {"type":"join","timestamp":1639209431.0037296,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"Seb[d]","nickname":"Seb[d]","username":"Seb","name":"Seb","photo":null,"url":null,"tz":null,"host":"2a01:4f8:150:8305::1"},"content":null,"modes":[]}
2021-12-11 08:17:41.488100 {"type":"join","timestamp":1639210661.4880967,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"_inky","nickname":"_inky","username":"~inky_","name":"inky, from the tape","photo":null,"url":null,"tz":null,"host":"46.162.248.42"},"content":null,"modes":[]}
2021-12-11 11:14:27.781100 {"type":"join","timestamp":1639221267.7810898,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"tetov-irc","nickname":"tetov-irc","username":"~tetov","name":"Anton Tetov","photo":null,"url":null,"tz":null,"host":"188.166.167.47"},"content":null,"modes":[]}
2021-12-11 13:31:53.735800 {"type":"join","timestamp":1639229513.735804,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"sennomo_","nickname":"sennomo_","username":"~sennomo","name":null,"photo":null,"url":null,"tz":null,"host":"2603-7081-5a06-df41-3da9-3eb5-122d-cfde.res6.spectrum.com"},"content":null,"modes":[]}
2021-12-11 14:06:26.729400 {"type":"join","timestamp":1639231586.7294397,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"schmudde","nickname":"schmudde","username":"~schmudde","name":null,"photo":null,"url":null,"tz":null,"host":"216.169.6.249"},"content":null,"modes":[]}
2021-12-11 14:13:29.444200 {"type":"join","timestamp":1639232009.4441752,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"Sadale","nickname":"Sadale","username":"~Sadale","name":null,"photo":null,"url":null,"tz":null,"host":"user\/sadale"},"content":null,"modes":[]}
2021-12-11 15:54:18.834200 {"type":"join","timestamp":1639238058.8341618,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"n8chz","nickname":"n8chz","username":"~Thunderbi","name":null,"photo":null,"url":null,"tz":null,"host":"c-24-127-65-193.hsd1.mi.comcast.net"},"content":null,"modes":[]}
