2019-10-30 00:05:37.862100 {"type":"join","timestamp":1572393937.8621,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"[jgmac1106]","nickname":"[jgmac1106]","username":"~slackuser","name":null,"photo":"http:\/\/quickthoughts.jgregorymcverry.com\/file\/6802fbcdd3fada8cb61ffb798978f72f\/thumb.jpg","url":"http:\/\/jgregorymcverry.com","tz":"-5 GMT","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-10-30 02:26:54.876200 {"type":"join","timestamp":1572402414.8762,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"SevenTwenty","nickname":"SevenTwenty","username":"~SevenTwen","name":null,"photo":null,"url":null,"tz":null,"host":"dynamic-acs-24-239-221-39.zoominternet.net"},"content":null,"modes":[]}
2019-10-30 03:01:43.627300 {"type":"join","timestamp":1572404503.6273,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"FreshcollegeGirl","nickname":"FreshcollegeGirl","username":"~Freshcoll","name":null,"photo":null,"url":null,"tz":null,"host":"175.176.16.131"},"content":null,"modes":[]}
2019-10-30 03:34:27.068000 {"type":"join","timestamp":1572406467.068,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"gRegorLove","nickname":"gRegorLove","username":"~gRegorLov","name":null,"photo":null,"url":null,"tz":null,"host":"2600:8801:9200:8540:a9af:7355:a098:b2f0"},"content":null,"modes":[]}
2019-10-30 05:19:31.126900 {"type":"join","timestamp":1572412771.1269,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"[jeremycherfas]","nickname":"[jeremycherfas]","username":"~slackuser","name":null,"photo":"https:\/\/www.jeremycherfas.net\/user\/themes\/mytheme\/images\/zoot.jpg","url":"http:\/\/jeremycherfas.net","tz":"Europe\/Rome","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-10-30 05:52:22.957800 {"type":"join","timestamp":1572414742.9578,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":null,"photo":"http:\/\/tantek.com\/logo.jpg","url":"http:\/\/Tantek.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-10-30 06:03:07.396100 {"type":"join","timestamp":1572415387.3961,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"FreshcollegeGirl","nickname":"FreshcollegeGirl","username":"~Freshcoll","name":null,"photo":null,"url":null,"tz":null,"host":"175.176.16.131"},"content":null,"modes":[]}
2019-10-30 06:03:30.055900 {"type":"join","timestamp":1572415410.0559,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"FreshcollegeGirl","nickname":"FreshcollegeGirl","username":"~Freshcoll","name":null,"photo":null,"url":null,"tz":null,"host":"175.176.16.131"},"content":null,"modes":[]}
2019-10-30 06:03:52.401400 {"type":"join","timestamp":1572415432.4014,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"FreshcollegeGirl","nickname":"FreshcollegeGirl","username":"~Freshcoll","name":null,"photo":null,"url":null,"tz":null,"host":"175.176.16.131"},"content":null,"modes":[]}
2019-10-30 06:04:18.605900 {"type":"join","timestamp":1572415458.6059,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"FreshcollegeGirl","nickname":"FreshcollegeGirl","username":"~Freshcoll","name":null,"photo":null,"url":null,"tz":null,"host":"175.176.16.131"},"content":null,"modes":[]}
2019-10-30 06:04:40.055400 {"type":"join","timestamp":1572415480.0554,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"FreshcollegeGirl","nickname":"FreshcollegeGirl","username":"~Freshcoll","name":null,"photo":null,"url":null,"tz":null,"host":"175.176.16.131"},"content":null,"modes":[]}
2019-10-30 06:38:14.198600 {"type":"join","timestamp":1572417494.1986,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"[Lewis_Cowles]","nickname":"[Lewis_Cowles]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-10-30 07:00:59.090800 {"type":"join","timestamp":1572418859.0908,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"gRegorLove","nickname":"gRegorLove","username":"~gRegorLov","name":null,"photo":null,"url":null,"tz":null,"host":"2600:8801:9200:8540:a9af:7355:a098:b2f0"},"content":null,"modes":[]}
