2021-05-19 01:08:49.074300 {"type":"join","timestamp":1621386529.0743482,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"jeremy","nickname":"jeremy","username":"~jeremy","name":null,"photo":null,"url":null,"tz":null,"host":"jeremy.powered.by.lunarbnc.net"},"content":null,"modes":[]}
2021-05-19 01:25:02.404900 {"type":"join","timestamp":1621387502.4049263,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"[KevinMarks]","nickname":"[KevinMarks]","username":"~slackuser","name":null,"photo":"http:\/\/www.kevinmarks.com\/km.jpg","url":"http:\/\/kevinmarks.com","tz":"Europe\/London","host":"chat.indieweb.org"},"content":null,"modes":[]}
2021-05-19 02:24:15.561900 {"type":"join","timestamp":1621391055.5619154,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"[chrisaldrich]","nickname":"[chrisaldrich]","username":"~slackuser","name":null,"photo":"https:\/\/www.boffosocko.com\/logo.jpg","url":"http:\/\/boffosocko.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2021-05-19 02:24:16.301300 {"type":"message","timestamp":1621391056.301286,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"[chrisaldrich]","nickname":"[chrisaldrich]","username":"~slackuser","name":null,"photo":"https:\/\/www.boffosocko.com\/logo.jpg","url":"http:\/\/boffosocko.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":"what is PubPub?","modes":["voice"]}
2021-05-19 02:24:16.406800 {"type":"message","timestamp":1621391056.4067621,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null,"host":null},"content":"It looks like we don't have a page for \"PubPub\" yet. Would you like to create it? https:\/\/indieweb.org\/s\/11wT (Or just say \"PubPub is ____\", a sentence describing the term)","modes":[]}
2021-05-19 02:59:34.978800 {"type":"join","timestamp":1621393174.978807,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":null,"photo":"https:\/\/tantek.com\/logo.jpg","url":"http:\/\/Tantek.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2021-05-19 03:01:40.105000 {"type":"message","timestamp":1621393300.1049676,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":null,"photo":"https:\/\/tantek.com\/logo.jpg","url":"http:\/\/Tantek.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":"wat","modes":["voice"]}
2021-05-19 03:16:49.016000 {"type":"message","timestamp":1621394209.0159967,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null,"host":null},"content":"\u000314[[\u0003072021\/Pop-ups\/Webmentions Beyond Webmention.io\u000314]]\u00034 !\u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=75773&oldid=75742&rcid=75665\u0003 \u00035*\u0003 \u000303Boffosocko.com\u0003 \u00035*\u0003 (+193) \u000310\/* Posts *\/ Host your own webmention receiver by Wouter Groeneveld\u0003\n","modes":[]}
2021-05-19 03:23:45.509900 {"type":"message","timestamp":1621394625.5098546,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":null,"photo":"https:\/\/tantek.com\/logo.jpg","url":"http:\/\/Tantek.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":"barnabywalters++ GREAT chat log archeology with \/timeline and wow this gem! https:\/\/chat.indieweb.org\/2012-03-25","modes":["voice"]}
2021-05-19 03:23:45.551100 {"type":"message","timestamp":1621394625.5511246,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null,"host":null},"content":"barnabywalters has 1 karma in this channel over the last year (6 in all channels)","modes":[]}
2021-05-19 03:25:58.605500 {"type":"join","timestamp":1621394758.6054826,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"j12t","nickname":"j12t","username":"~j12t","name":null,"photo":"http:\/\/upon2020.com\/public\/portrait-128x128.jpg","url":"http:\/\/upon2020.com","tz":"America\/San_Francisco","host":"107-215-1-140.lightspeed.sntcca.sbcglobal.net"},"content":null,"modes":[]}
2021-05-19 03:32:40.050900 {"type":"message","timestamp":1621395160.0508723,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":"http:\/\/loqi.me\/logo\/loqisaur.png","url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"\u000314[[\u000307static site generator\u000314]]\u00034 !\u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=75774&oldid=75473&rcid=75666\u0003 \u00035*\u0003 \u000303Boffosocko.com\u0003 \u00035*\u0003 (+188) \u000310highlight link to building blocks on static site page; links; add SSG abbreviation to definition\u0003\n","modes":[]}
2021-05-19 03:35:51.826500 {"type":"join","timestamp":1621395351.8264914,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"[aciccarello]","nickname":"[aciccarello]","username":"~slackuser","name":"aciccarello via slack-irc-gateway","photo":"https:\/\/secure.gravatar.com\/avatar\/17d306899b5f20953440eca1d65d34e0?s=128","url":"http:\/\/www.ciccarello.me","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2021-05-19 03:41:39.017600 {"type":"message","timestamp":1621395699.0176141,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":"http:\/\/loqi.me\/logo\/loqisaur.png","url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"\u000314[[\u000307static site\u000314]]\u00034 !\u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=75775&oldid=74791&rcid=75667\u0003 \u00035*\u0003 \u000303Boffosocko.com\u0003 \u00035*\u0003 (+894) \u000310go-jamming service and links to documentation\u0003\n","modes":[]}
2021-05-19 03:47:24.519800 {"type":"message","timestamp":1621396044.519759,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"[chrisaldrich]","nickname":"[chrisaldrich]","username":"~slackuser","name":null,"photo":"https:\/\/www.boffosocko.com\/logo.jpg","url":"http:\/\/boffosocko.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":"aaronpk++ for writing 7 lines of text back in 2012 in a scant 9 minutes to outline Webmention which is now used by thousands of sites and which have been sent over 2 million times.","modes":["voice"]}
2021-05-19 03:47:24.624000 {"type":"message","timestamp":1621396044.6240308,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":"http:\/\/loqi.me\/logo\/loqisaur.png","url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"aaronpk has 32 karma in this channel over the last year (167 in all channels)","modes":[]}
2021-05-19 03:47:51.896600 {"type":"join","timestamp":1621396071.8966262,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"[manton]","nickname":"[manton]","username":"~slackuser","name":null,"photo":"https:\/\/micro.blog\/manton\/avatar.jpg","url":"http:\/\/Manton.org","tz":"America\/Chicago","host":"chat.indieweb.org"},"content":null,"modes":[]}
2021-05-19 04:04:52.394100 {"type":"join","timestamp":1621397092.394125,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"digiSal","nickname":"digiSal","username":"~webuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2021-05-19 04:17:26.082000 {"type":"message","timestamp":1621397846.0820296,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":"http:\/\/loqi.me\/logo\/loqisaur.png","url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"\u000314[[\u000307timeline\u000314]]\u00034 \u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=75776&oldid=75766&rcid=75668\u0003 \u00035*\u0003 \u000303Tantek.com\u0003 \u00035*\u0003 (+18) \u000310add 2021 stub section\u0003\n","modes":[]}
2021-05-19 05:07:34.358500 {"type":"message","timestamp":1621400854.3584533,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null,"host":null},"content":"\u000314[[\u000307reader\u000314]]\u00034 !\u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=75778&oldid=75239&rcid=75670\u0003 \u00035*\u0003 \u000303Boffosocko.com\u0003 \u00035*\u0003 (+484) \u000310\/* Brainstorming *\/ miscellaneous articles\u0003\n","modes":[]}
2021-05-19 07:33:02.292000 {"type":"message","timestamp":1621409582.2920382,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":"http:\/\/loqi.me\/logo\/loqisaur.png","url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"[New Event] calumryan.com created \"May 26, 2021 7:00pm Homebrew Website Club Europe\/London\" https:\/\/events.indieweb.org\/5yxpuuPQ4JaA","modes":[]}
2021-05-19 08:02:14.373300 {"type":"message","timestamp":1621411334.373271,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null,"host":null},"content":"\u000314[[\u000307User:Kaja.sknebel.net\/upcoming-hwcs\u000314]]\u00034 !\u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=75779&oldid=75675&rcid=75671\u0003 \u00035*\u0003 \u000303Kaja.sknebel.net\u0003 \u00035*\u0003 (+186) \u000310update from events.indieweb.org\u0003\n","modes":[]}
