2020-12-16 00:17:11.558400 {"type":"join","timestamp":1608077831.5583985,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[manton]","nickname":"[manton]","username":"~slackuser","name":null,"photo":"https:\/\/micro.blog\/manton\/avatar.jpg","url":"http:\/\/Manton.org","tz":"America\/Chicago","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-12-16 00:51:56.590300 {"type":"join","timestamp":1608079916.5902705,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[eddie]","nickname":"[eddie]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-12-16 00:57:30.315000 {"type":"message","timestamp":1608080250.3149798,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null,"host":null},"content":"\u000314[[\u000307menu-brainstorming\u000314]]\u00034 !M\u000310 \u000302http:\/\/microformats.org\/wiki\/index.php?diff=70312&oldid=70303&rcid=104734\u0003 \u00035*\u0003 \u000303Btrem\u0003 \u00035*\u0003 (+78) \u000310Adds sig to most recent addition.\u0003\n","modes":[]}
2020-12-16 01:07:01.903000 {"type":"join","timestamp":1608080821.902958,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"JackyAlcin[m]","nickname":"JackyAlcin[m]","username":"jalcinekde","name":"@jalcine:kde.org","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-bbcbumwmmuicyjre"},"content":null,"modes":[]}
2020-12-16 01:19:19.298000 {"type":"join","timestamp":1608081559.2979698,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[chrisaldrich]","nickname":"[chrisaldrich]","username":"~slackuser","name":"chrisaldrich via slack-irc-gateway","photo":"https:\/\/www.boffosocko.com\/logo.jpg","url":"http:\/\/boffosocko.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-12-16 02:44:03.832700 {"type":"message","timestamp":1608086643.832728,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null,"host":null},"content":"\u000314[[\u000307irc\u000314]]\u00034 !\u000310 \u000302http:\/\/microformats.org\/wiki\/index.php?diff=70313&oldid=69941&rcid=104735\u0003 \u00035*\u0003 \u000303Btrem\u0003 \u00035*\u0003 (+164) \u000310Removes link to Chatzilla, which is no longer available according to addons.mozilla.org.\u0003\n","modes":[]}
2020-12-16 02:47:32.452400 {"type":"join","timestamp":1608086852.4524028,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[jgmac1106]","nickname":"[jgmac1106]","username":"~slackuser","name":null,"photo":"http:\/\/quickthoughts.jgregorymcverry.com\/file\/6802fbcdd3fada8cb61ffb798978f72f\/thumb.jpg","url":"http:\/\/jgregorymcverry.com","tz":"-5 GMT","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-12-16 02:47:37.696600 {"type":"message","timestamp":1608086857.6965718,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null,"host":null},"content":"\u000314[[\u000307irc\u000314]]\u00034 !\u000310 \u000302http:\/\/microformats.org\/wiki\/index.php?diff=70314&oldid=70313&rcid=104736\u0003 \u00035*\u0003 \u000303Btrem\u0003 \u00035*\u0003 (-117) \u000310\/* Cross-platform *\/ Removes link to chatzilla extension which is no longer available.\u0003\n","modes":[]}
2020-12-16 03:30:12.037500 {"type":"join","timestamp":1608089412.0374544,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[Emma_Humphries]","nickname":"[Emma_Humphries]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-12-16 03:58:40.223700 {"type":"join","timestamp":1608091120.2237382,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"iwaim","nickname":"iwaim","username":"~iwaim","name":null,"photo":null,"url":null,"tz":null,"host":"2001:470:fd5c:2002:0:4:14:80"},"content":null,"modes":[]}
2020-12-16 06:50:03.078700 {"type":"message","timestamp":1608101403.078722,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null,"host":null},"content":"[@ksmxxxxxx] microformats\u30b5\u30dd\u30fc\u30c8\u3057\u3066\u305f\u3068\u304a\u3082\u3063\u305f\u3051\u3069\u2026\u2026\u3084\u3081\u3061\u3083\u3063\u305f\u3093\u304b\u306a\u2026\u2026\u3044\u306a\u3044\u2026\nhttps:\/\/developers.google.com\/search\/docs\/data-types\/breadcrumb?hl=ja#html_example (https:\/\/twitter.com\/_\/status\/1339099877314187264)","modes":[]}
