2020-11-26 01:39:45.527200 {"type":"join","timestamp":1606354785.527209,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[KevinMarks]","nickname":"[KevinMarks]","username":"~slackuser","name":null,"photo":"http:\/\/www.kevinmarks.com\/km.jpg","url":"http:\/\/kevinmarks.com","tz":"Europe\/London","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-11-26 02:01:25.539100 {"type":"join","timestamp":1606356085.5390644,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[snarfed]","nickname":"[snarfed]","username":"~slackuser","name":null,"photo":null,"url":"http:\/\/snarfed.org","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-11-26 02:16:56.458900 {"type":"join","timestamp":1606357016.4588594,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":null,"photo":"http:\/\/tantek.com\/logo.jpg","url":"http:\/\/Tantek.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-11-26 05:31:34.685000 {"type":"join","timestamp":1606368694.6849575,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"supercoven","nickname":"supercoven","username":"~Supercove","name":null,"photo":null,"url":null,"tz":null,"host":"194.34.133.94"},"content":null,"modes":[]}
2020-11-26 05:31:49.731300 {"type":"join","timestamp":1606368709.7312913,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"supercoven","nickname":"supercoven","username":"~Supercove","name":null,"photo":null,"url":null,"tz":null,"host":"194.34.133.94"},"content":null,"modes":[]}
2020-11-26 05:32:04.703500 {"type":"join","timestamp":1606368724.7034678,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"supercoven","nickname":"supercoven","username":"~Supercove","name":null,"photo":null,"url":null,"tz":null,"host":"194.34.133.94"},"content":null,"modes":[]}
2020-11-26 05:32:19.715700 {"type":"join","timestamp":1606368739.7157028,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"supercoven","nickname":"supercoven","username":"~Supercove","name":null,"photo":null,"url":null,"tz":null,"host":"194.34.133.94"},"content":null,"modes":[]}
2020-11-26 05:32:35.695800 {"type":"join","timestamp":1606368755.6958039,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"supercoven","nickname":"supercoven","username":"~Supercove","name":null,"photo":null,"url":null,"tz":null,"host":"194.34.133.94"},"content":null,"modes":[]}
2020-11-26 05:42:20.137800 {"type":"join","timestamp":1606369340.1377764,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"supercoven","nickname":"supercoven","username":"~Supercove","name":null,"photo":null,"url":null,"tz":null,"host":"194.34.133.94"},"content":null,"modes":[]}
2020-11-26 05:42:35.047700 {"type":"join","timestamp":1606369355.0476825,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"supercoven","nickname":"supercoven","username":"~Supercove","name":null,"photo":null,"url":null,"tz":null,"host":"194.34.133.94"},"content":null,"modes":[]}
2020-11-26 05:42:50.114100 {"type":"join","timestamp":1606369370.1140509,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"supercoven","nickname":"supercoven","username":"~Supercove","name":null,"photo":null,"url":null,"tz":null,"host":"194.34.133.94"},"content":null,"modes":[]}
2020-11-26 05:43:05.110500 {"type":"join","timestamp":1606369385.1105177,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"supercoven","nickname":"supercoven","username":"~Supercove","name":null,"photo":null,"url":null,"tz":null,"host":"194.34.133.94"},"content":null,"modes":[]}
