2020-03-05 00:46:41.056600 {"type":"join","timestamp":1583369201.0565975,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":null,"photo":"http:\/\/tantek.com\/logo.jpg","url":"http:\/\/Tantek.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-03-05 01:45:33.269900 {"type":"join","timestamp":1583372733.2698746,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"katherine1","nickname":"katherine1","username":"~webuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-03-05 06:37:03.341300 {"type":"join","timestamp":1583390223.341273,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[yo]","nickname":"[yo]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-03-05 06:46:50.572400 {"type":"join","timestamp":1583390810.5723755,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[fluffy]","nickname":"[fluffy]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-03-05 09:14:58.786000 {"type":"join","timestamp":1583399698.786001,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"mapkyca","nickname":"mapkyca","username":"~mapkyca","name":"mapkyca","photo":null,"url":null,"tz":null,"host":"77.95.178.3"},"content":null,"modes":[]}
2020-03-05 09:30:11.959700 {"type":"join","timestamp":1583400611.959712,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"IWSlackGateway","nickname":"IWSlackGateway","username":"~IRCSlack","name":"IRC to Slack Gateway","photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-03-05 09:43:23.359800 {"type":"join","timestamp":1583401403.3597765,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"NatoBoram[m]","nickname":"NatoBoram[m]","username":"disco4522","name":"@_discord_157311679288311808:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-uufymnuuhnvxegay"},"content":null,"modes":[]}
2020-03-05 09:43:23.371800 {"type":"join","timestamp":1583401403.3717935,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"eddocsillDiscord","nickname":"eddocsillDiscord","username":"disco9371","name":"@_discord_536694443927928843:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-potzcpzxusmbhdgv"},"content":null,"modes":[]}
2020-03-05 09:43:23.386500 {"type":"join","timestamp":1583401403.386482,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"M9uapawDiscord[m","nickname":"M9uapawDiscord[m","username":"disco8474","name":"@_discord_629602669664927744:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-voqewqcoumodtdnb"},"content":null,"modes":[]}
2020-03-05 09:43:23.396400 {"type":"join","timestamp":1583401403.3963912,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"Rick[m]","nickname":"Rick[m]","username":"disco6441","name":"@_discord_491023141477416981:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-mtvczaktdrdmafds"},"content":null,"modes":[]}
2020-03-05 09:43:23.411400 {"type":"join","timestamp":1583401403.4113767,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"sekiDiscord[m]","nickname":"sekiDiscord[m]","username":"disco6925","name":"@_discord_607029273038946314:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-gdyoalbalrcicnwb"},"content":null,"modes":[]}
2020-03-05 09:43:23.423200 {"type":"join","timestamp":1583401403.4232225,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"snoopdoggydogDis","nickname":"snoopdoggydogDis","username":"disco7816","name":"@_discord_454803159357980672:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-wwcxdltsxlmgvont"},"content":null,"modes":[]}
2020-03-05 09:43:23.453200 {"type":"join","timestamp":1583401403.4531803,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"godparticleDisco","nickname":"godparticleDisco","username":"disco7222","name":"@_discord_328033449845719042:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-ikdngzpulfwqjxxt"},"content":null,"modes":[]}
2020-03-05 09:43:23.440700 {"type":"join","timestamp":1583401403.440704,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"FrenchBackBoneDi","nickname":"FrenchBackBoneDi","username":"disco8520","name":null,"photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-kbopmluhludwyspg"},"content":null,"modes":[]}
2020-03-05 09:43:23.468000 {"type":"join","timestamp":1583401403.4680192,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"macerbi[m]","nickname":"macerbi[m]","username":"disco6338","name":"@_discord_518392799926812672:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-fxqfblmznmhuamuz"},"content":null,"modes":[]}
2020-03-05 09:43:23.429300 {"type":"join","timestamp":1583401403.4292514,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"vasa[m]","nickname":"vasa[m]","username":"disco6344","name":"@_discord_405767429369888779:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-kefpkfccceavwwof"},"content":null,"modes":[]}
2020-03-05 09:43:23.456200 {"type":"join","timestamp":1583401403.4561608,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"nofwayyDiscord[m","nickname":"nofwayyDiscord[m","username":"disco7259","name":"@_discord_516237787029176330:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-lnxysgtktxjgvcio"},"content":null,"modes":[]}
2020-03-05 09:43:23.504900 {"type":"join","timestamp":1583401403.504858,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"zoink92Discord[m","nickname":"zoink92Discord[m","username":"disco7136","name":"@_discord_180376535742545922:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-fgdvxtojkyhrbrct"},"content":null,"modes":[]}
2020-03-05 09:43:23.502700 {"type":"join","timestamp":1583401403.502658,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"Discord[m]2","nickname":"Discord[m]2","username":"disco9073","name":null,"photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-rveajrdmskfxieom"},"content":null,"modes":[]}
2020-03-05 09:43:23.483500 {"type":"join","timestamp":1583401403.4835145,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"mhzDiscord[m]","nickname":"mhzDiscord[m]","username":"disco7158","name":"@_discord_577904775891517480:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-rygrzmunaarqcfvy"},"content":null,"modes":[]}
2020-03-05 09:43:23.513200 {"type":"join","timestamp":1583401403.5131874,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"pvienhageDiscord","nickname":"pvienhageDiscord","username":"disco8487","name":"@_discord_492706907451293717:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-fzoyfztudyufzvtw"},"content":null,"modes":[]}
2020-03-05 09:43:23.529400 {"type":"join","timestamp":1583401403.5294085,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"simibacDiscord[m","nickname":"simibacDiscord[m","username":"disco8811","name":"@_discord_389901855708151808:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-ucabqupnfucfkifh"},"content":null,"modes":[]}
2020-03-05 09:43:23.567300 {"type":"join","timestamp":1583401403.5672522,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"jessicaschilling","nickname":"jessicaschilling","username":"disco7188","name":"@_discord_576446963587874853:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-qvahtqibglgrwqlw"},"content":null,"modes":[]}
2020-03-05 09:43:23.540700 {"type":"join","timestamp":1583401403.5407176,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"raisDiscord[m]","nickname":"raisDiscord[m]","username":"disco8319","name":"@_discord_337797467913322507:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-csnhmtujxyehwilp"},"content":null,"modes":[]}
