2019-08-19 03:59:54.714300 {"type":"join","timestamp":1566187194.7143,"network":"irc","server":"freenode","channel":{"uid":"#litepub","name":"#litepub"},"author":{"uid":"cybercafe","nickname":"cybercafe","username":"~marx","name":"digital","photo":null,"url":null,"tz":null,"host":"73.96.104.158"},"content":null,"modes":[]}
2019-08-19 09:18:37.574600 {"type":"join","timestamp":1566206317.5746,"network":"irc","server":"freenode","channel":{"uid":"#litepub","name":"#litepub"},"author":{"uid":"ersatzpony","nickname":"ersatzpony","username":"~ersatzpon","name":"the pony","photo":null,"url":null,"tz":null,"host":"kameli.bahnhof.cz"},"content":null,"modes":[]}
2019-08-19 10:18:57.022200 {"type":"join","timestamp":1566209937.0222,"network":"irc","server":"freenode","channel":{"uid":"#litepub","name":"#litepub"},"author":{"uid":"ersatzpony","nickname":"ersatzpony","username":"~ersatzpon","name":"the pony","photo":null,"url":null,"tz":null,"host":"kameli.bahnhof.cz"},"content":null,"modes":[]}
2019-08-19 18:38:04.667700 {"type":"join","timestamp":1566239884.6677,"network":"irc","server":"freenode","channel":{"uid":"#litepub","name":"#litepub"},"author":{"uid":"phoe","nickname":"phoe","username":"~phoe","name":"Micha\u0142 \"phoe\" Herda","photo":null,"url":null,"tz":null,"host":"2001:470:64f1:1:dc52:a0ff:fe71:ae52"},"content":null,"modes":[]}
2019-08-19 19:50:01.032600 {"type":"join","timestamp":1566244201.0326,"network":"irc","server":"freenode","channel":{"uid":"#litepub","name":"#litepub"},"author":{"uid":"ziggys","nickname":"ziggys","username":"~ZiggyS","name":null,"photo":null,"url":null,"tz":null,"host":"unaffiliated\/ziggys"},"content":null,"modes":[]}
2019-08-19 20:59:38.777200 {"type":"join","timestamp":1566248378.7772,"network":"irc","server":"freenode","channel":{"uid":"#litepub","name":"#litepub"},"author":{"uid":"ichoquo0Aigh9ie","nickname":"ichoquo0Aigh9ie","username":"~ichoquo0A","name":null,"photo":null,"url":null,"tz":null,"host":"unaffiliated\/webjadmin"},"content":null,"modes":[]}
2019-08-19 21:17:18.672900 {"type":"join","timestamp":1566249438.6729,"network":"irc","server":"freenode","channel":{"uid":"#litepub","name":"#litepub"},"author":{"uid":"ichoquo0Aigh9ie","nickname":"ichoquo0Aigh9ie","username":"~ichoquo0A","name":null,"photo":null,"url":null,"tz":null,"host":"unaffiliated\/webjadmin"},"content":null,"modes":[]}
2019-08-19 22:00:48.538800 {"type":"join","timestamp":1566252048.5388,"network":"irc","server":"freenode","channel":{"uid":"#litepub","name":"#litepub"},"author":{"uid":"ichoquo0Aigh9ie","nickname":"ichoquo0Aigh9ie","username":"~ichoquo0A","name":null,"photo":null,"url":null,"tz":null,"host":"unaffiliated\/webjadmin"},"content":null,"modes":[]}
2019-08-19 22:08:51.507800 {"type":"join","timestamp":1566252531.5078,"network":"irc","server":"freenode","channel":{"uid":"#litepub","name":"#litepub"},"author":{"uid":"swift2plunder","nickname":"swift2plunder","username":"~chris","name":null,"photo":null,"url":null,"tz":null,"host":"184.101.203.219"},"content":null,"modes":[]}
2019-08-19 22:22:41.144200 {"type":"join","timestamp":1566253361.1442,"network":"irc","server":"freenode","channel":{"uid":"#litepub","name":"#litepub"},"author":{"uid":"ichoquo0Aigh9ie","nickname":"ichoquo0Aigh9ie","username":"~ichoquo0A","name":null,"photo":null,"url":null,"tz":null,"host":"unaffiliated\/webjadmin"},"content":null,"modes":[]}
2019-08-19 22:34:33.276000 {"type":"join","timestamp":1566254073.276,"network":"irc","server":"freenode","channel":{"uid":"#litepub","name":"#litepub"},"author":{"uid":"ichoquo0Aigh9ie","nickname":"ichoquo0Aigh9ie","username":"~ichoquo0A","name":null,"photo":null,"url":null,"tz":null,"host":"unaffiliated\/webjadmin"},"content":null,"modes":[]}
2019-08-19 22:56:14.856900 {"type":"join","timestamp":1566255374.8569,"network":"irc","server":"freenode","channel":{"uid":"#litepub","name":"#litepub"},"author":{"uid":"ichoquo0Aigh9ie","nickname":"ichoquo0Aigh9ie","username":"~ichoquo0A","name":null,"photo":null,"url":null,"tz":null,"host":"unaffiliated\/webjadmin"},"content":null,"modes":[]}
