2021-02-19 00:31:02.627700 {"type":"join","timestamp":1613694662.6276586,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[KevinMarks]","nickname":"[KevinMarks]","username":"~slackuser","name":"KevinMarks via slack-irc-gateway","photo":"http:\/\/www.kevinmarks.com\/km.jpg","url":"http:\/\/kevinmarks.com","tz":"Europe\/London","host":"chat.indieweb.org"},"content":null,"modes":[]}
2021-02-19 03:29:38.020400 {"type":"join","timestamp":1613705378.0204084,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"CombatVet","nickname":"CombatVet","username":"~c4","name":null,"photo":null,"url":null,"tz":null,"host":"gateway\/tor-sasl\/combatvet"},"content":null,"modes":[]}
2021-02-19 06:54:28.641000 {"type":"join","timestamp":1613717668.6410139,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"ben_thatmustbeme","nickname":"ben_thatmustbeme","username":"~quassel","name":"Ben Roberts","photo":"https:\/\/ben.thatmustbe.me\/image\/static\/icon_64.jpg","url":"http:\/\/ben.thatmustbe.me","tz":"America\/New_York","host":"c-65-96-10-7.hsd1.ma.comcast.net"},"content":null,"modes":[]}
2021-02-19 07:19:33.346000 {"type":"join","timestamp":1613719173.3460116,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"dagelf","nickname":"dagelf","username":"~quassel","name":"dagelf","photo":null,"url":null,"tz":null,"host":"dsl-197-245-112-110.voxdsl.co.za"},"content":null,"modes":[]}
2021-02-19 07:42:15.539800 {"type":"join","timestamp":1613720535.539758,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"lava2","nickname":"lava2","username":"~quassel","name":null,"photo":null,"url":null,"tz":null,"host":"dsl-197-245-114-234.voxdsl.co.za"},"content":null,"modes":[]}
2021-02-19 08:23:05.592400 {"type":"join","timestamp":1613722985.592376,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"JD9Discord[m]","nickname":"JD9Discord[m]","username":"disco9469","name":"@_discord_194894860057182209:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-dcxaeeberewxujnp"},"content":null,"modes":[]}
2021-02-19 08:23:05.610900 {"type":"join","timestamp":1613722985.6109285,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"Dr_JayWDiscord[m","nickname":"Dr_JayWDiscord[m","username":"disco9850","name":"@_discord_625207949312262154:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-iueyxtvknlphsbwd"},"content":null,"modes":[]}
2021-02-19 08:23:05.609700 {"type":"join","timestamp":1613722985.6097264,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"Imnotsoimpressed","nickname":"Imnotsoimpressed","username":"disco9248","name":"@_discord_637255686794772490:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-felyxiioowwazotm"},"content":null,"modes":[]}
2021-02-19 08:23:05.600500 {"type":"join","timestamp":1613722985.600511,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"maparentDiscord[","nickname":"maparentDiscord[","username":"disco7253","name":"@_discord_542389000909094912:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-dxuknypcyyepzxxd"},"content":null,"modes":[]}
2021-02-19 08:23:05.637100 {"type":"join","timestamp":1613722985.6370938,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"JustMaierDiscord","nickname":"JustMaierDiscord","username":"disco7060","name":"@_discord_303445765865603073:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-tynnalkvrgcwhawv"},"content":null,"modes":[]}
2021-02-19 08:23:05.642200 {"type":"join","timestamp":1613722985.6422346,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"HarryTmeticDisco","nickname":"HarryTmeticDisco","username":"disco7815","name":"@_discord_601225135457959946:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-cmuacfihlslsliuc"},"content":null,"modes":[]}
