2019-09-19 01:59:51.394700 {"type":"join","timestamp":1568858391.3947,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"[dougbeal]","nickname":"[dougbeal]","username":"~slackuser","name":null,"photo":"http:\/\/gravatar.com\/avatar\/4aef6f46cd0c5c51bbf5c15d4e66b35e.png","url":"http:\/\/dougbeal.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-09-19 02:59:03.400800 {"type":"join","timestamp":1568861943.4008,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"anthony-albertor","nickname":"anthony-albertor","username":"disco_7825","name":null,"photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-hetzaaxhdpdcfvfy"},"content":null,"modes":[]}
2019-09-19 02:59:38.028500 {"type":"join","timestamp":1568861978.0285,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"AnthonyADiscord[","nickname":"AnthonyADiscord[","username":"disco_7826","name":null,"photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-muiowhvbyydgvjge"},"content":null,"modes":[]}
2019-09-19 04:31:34.310500 {"type":"join","timestamp":1568867494.3105,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"gRegorLove","nickname":"gRegorLove","username":"~gRegorLov","name":null,"photo":null,"url":null,"tz":null,"host":"2600:8801:9200:8540:3d59:d542:996d:9d1c"},"content":null,"modes":[]}
2019-09-19 04:47:09.200900 {"type":"join","timestamp":1568868429.2009,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"[Michael_Beckwit","nickname":"[Michael_Beckwit","username":"~slackuser","name":"Michael_Beckwith via slack-irc-gateway","photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-09-19 05:45:33.655400 {"type":"join","timestamp":1568871933.6554,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"sunk818Discord[m","nickname":"sunk818Discord[m","username":"disco_7827","name":null,"photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-zphsiokrdqgjwxaj"},"content":null,"modes":[]}
2019-09-19 06:42:27.695200 {"type":"join","timestamp":1568875347.6952,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"[Lewis_Cowles]","nickname":"[Lewis_Cowles]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-09-19 09:12:42.149400 {"type":"join","timestamp":1568884362.1494,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"jgmac1106","nickname":"jgmac1106","username":"~jgmac1106","name":"Greg McVerry","photo":"http:\/\/quickthoughts.jgregorymcverry.com\/file\/6802fbcdd3fada8cb61ffb798978f72f\/thumb.jpg","url":"http:\/\/jgregorymcverry.com","tz":"-5 GMT","host":"c-76-23-135-43.hsd1.ct.comcast.net"},"content":null,"modes":[]}
2019-09-19 09:43:18.858800 {"type":"join","timestamp":1568886198.8588,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"[jgmac1106]","nickname":"[jgmac1106]","username":"~slackuser","name":"jgmac1106 via slack-irc-gateway","photo":"http:\/\/quickthoughts.jgregorymcverry.com\/file\/6802fbcdd3fada8cb61ffb798978f72f\/thumb.jpg","url":"http:\/\/jgregorymcverry.com","tz":"-5 GMT","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-09-19 09:56:29.005600 {"type":"message","timestamp":1568886989.0056,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"beko[m]","nickname":"beko[m]","username":"bekomotion","name":"@bekomotion:matrix.org","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-jcpkhklvzaggyqsp"},"content":"I wonder. If I reply on a comment (wordpress Reply to Comment! Not post-kinds!) that rolled in via webmention\u2026 will this generate a correct reply-to webmention again, so this becomes a nice readable thread?","modes":[]}
2019-09-19 10:20:53.377200 {"type":"join","timestamp":1568888453.3772,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"jeremycherfas","nickname":"jeremycherfas","username":"~jeremyche","name":"Jeremy Cherfas","photo":"https:\/\/www.jeremycherfas.net\/user\/themes\/mytheme\/images\/zoot.jpg","url":"http:\/\/jeremycherfas.net","tz":"Europe\/Rome","host":"jeremy.powered.by.lunarbnc.net"},"content":null,"modes":[]}
2019-09-19 10:22:00.053000 {"type":"join","timestamp":1568888520.053,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"[chrisbergr]","nickname":"[chrisbergr]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-09-19 10:30:22.979500 {"type":"message","timestamp":1568889022.9795,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"beko[m]","nickname":"beko[m]","username":"bekomotion","name":"@bekomotion:matrix.org","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-jcpkhklvzaggyqsp"},"content":"I think I found the answer to my question on https:\/\/chrisaldrich.wordpress.com\/2017\/12\/15\/threaded-replies-with-webmentions-in-wordpress\/","modes":[]}
2019-09-19 10:36:30.025300 {"type":"join","timestamp":1568889390.0253,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":"tantek via slack-irc-gateway","photo":"http:\/\/tantek.com\/logo.jpg","url":"http:\/\/Tantek.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-09-19 10:37:32.377800 {"type":"message","timestamp":1568889452.3778,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"cambridgeport90[","nickname":"cambridgeport90[","username":"cambridgep","name":null,"photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-yajgfojnrbsjvuvw"},"content":"Thanks for the link. I was wondering the same exact thing.","modes":[]}
2019-09-19 10:41:09.197000 {"type":"join","timestamp":1568889669.197,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"[grantcodes]","nickname":"[grantcodes]","username":"~slackuser","name":null,"photo":"https:\/\/grant.codes\/icons\/favicon-32x32.png","url":"http:\/\/grant.codes","tz":"Europe\/London","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-09-19 10:46:10.470400 {"type":"message","timestamp":1568889970.4704,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"beko[m]","nickname":"beko[m]","username":"bekomotion","name":"@bekomotion:matrix.org","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-jcpkhklvzaggyqsp"},"content":"Seems to work just fine: https:\/\/notiz.blog\/2019\/09\/18\/eine-posse\/","modes":[]}
2019-09-19 10:46:41.499600 {"type":"message","timestamp":1568890001.4996,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"beko[m]","nickname":"beko[m]","username":"bekomotion","name":"@bekomotion:matrix.org","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-jcpkhklvzaggyqsp"},"content":"I replied via the inline \"Reply To\" in Wordpress. wordpress-webmention took care of the rest of it","modes":[]}
2019-09-19 10:46:52.768100 {"type":"message","timestamp":1568890012.7681,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"beko[m]","nickname":"beko[m]","username":"bekomotion","name":"@bekomotion:matrix.org","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-jcpkhklvzaggyqsp"},"content":"nifty","modes":[]}
2019-09-19 10:48:35.461400 {"type":"message","timestamp":1568890115.4614,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"cambridgeport90[","nickname":"cambridgeport90[","username":"cambridgep","name":null,"photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-yajgfojnrbsjvuvw"},"content":"I don\u2019t think I\u2019ve seen that work that well.","modes":[]}
2019-09-19 10:48:54.665600 {"type":"message","timestamp":1568890134.6656,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"[chrisbergr]","nickname":"[chrisbergr]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":"I guess this is realized with the Webmention for Comments plugin mentioned by Chris Aldrich in the linked article","modes":[]}
2019-09-19 10:49:25.633700 {"type":"message","timestamp":1568890165.6337,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"beko[m]","nickname":"beko[m]","username":"bekomotion","name":"@bekomotion:matrix.org","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-jcpkhklvzaggyqsp"},"content":"It is. that plugin is deprecated tho and now in  wordpress-webmention core","modes":[]}
2019-09-19 10:49:41.765500 {"type":"message","timestamp":1568890181.7655,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"beko[m]","nickname":"beko[m]","username":"bekomotion","name":"@bekomotion:matrix.org","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-jcpkhklvzaggyqsp"},"content":"So it really became a no-brainer \ud83d\ude42","modes":[]}
2019-09-19 10:50:04.844100 {"type":"message","timestamp":1568890204.8441,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"beko[m]","nickname":"beko[m]","username":"bekomotion","name":"@bekomotion:matrix.org","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-jcpkhklvzaggyqsp"},"content":"Again I feel like a child in a candystore.","modes":[]}
2019-09-19 10:50:12.856300 {"type":"message","timestamp":1568890212.8563,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"[chrisbergr]","nickname":"[chrisbergr]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":"great \ud83d\ude42","modes":[]}
2019-09-19 10:50:36.235200 {"type":"message","timestamp":1568890236.2352,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"cambridgeport90[","nickname":"cambridgeport90[","username":"cambridgep","name":null,"photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-yajgfojnrbsjvuvw"},"content":"What happens if you reply directly from your site?","modes":[]}
2019-09-19 10:50:43.524000 {"type":"message","timestamp":1568890243.524,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"beko[m]","nickname":"beko[m]","username":"bekomotion","name":"@bekomotion:matrix.org","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-jcpkhklvzaggyqsp"},"content":"I did.","modes":[]}
2019-09-19 10:51:29.049300 {"type":"message","timestamp":1568890289.0493,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"beko[m]","nickname":"beko[m]","username":"bekomotion","name":"@bekomotion:matrix.org","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-jcpkhklvzaggyqsp"},"content":"\/me uploaded an image: image.png (23KB) < https:\/\/matrix.org\/_matrix\/media\/v1\/download\/matrix.org\/PrEJScPWFjjFwqAXsydAIhVJ >","modes":[]}
2019-09-19 10:52:49.088900 {"type":"message","timestamp":1568890369.0889,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"beko[m]","nickname":"beko[m]","username":"bekomotion","name":"@bekomotion:matrix.org","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-jcpkhklvzaggyqsp"},"content":"Guess I've a new case for my CSS to play with now \ud83d\ude01","modes":[]}
