2021-01-27 02:07:05.156500 {"type":"join","timestamp":1611713225.1564517,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[schmarty]","nickname":"[schmarty]","username":"~slackuser","name":"schmarty via slack-irc-gateway","photo":"https:\/\/martymcgui.re\/img\/logo.jpg","url":"http:\/\/martymcgui.re","tz":"America\/New_York","host":"chat.indieweb.org"},"content":null,"modes":[]}
2021-01-27 02:15:40.065500 {"type":"join","timestamp":1611713740.0654564,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"lahacker_","nickname":"lahacker_","username":"~lahacker","name":null,"photo":null,"url":null,"tz":null,"host":"76-219-79-243.lightspeed.irvnca.sbcglobal.net"},"content":null,"modes":[]}
2021-01-27 02:38:22.256500 {"type":"join","timestamp":1611715102.2564626,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"btrem","nickname":"btrem","username":"6171009a","name":"btrem via web-irc-gateway","photo":null,"url":null,"tz":null,"host":"97-113-0-154.tukw.qwest.net"},"content":null,"modes":[]}
2021-01-27 03:37:52.024700 {"type":"join","timestamp":1611718672.0246508,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[fluffy]","nickname":"[fluffy]","username":"~slackuser","name":null,"photo":"https:\/\/beesbuzz.biz\/static\/headshot.jpg","url":"http:\/\/beesbuzz.biz","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2021-01-27 04:14:59.922500 {"type":"join","timestamp":1611720899.9225173,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"Loqi___","nickname":"Loqi___","username":"Loqi","name":"cinch","photo":null,"url":null,"tz":null,"host":"2600:3c01::f03c:91ff:fef1:a349"},"content":null,"modes":[]}
2021-01-27 04:34:27.094300 {"type":"join","timestamp":1611722067.0943341,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"ivc_","nickname":"ivc_","username":"ivc3","name":"ivc","photo":null,"url":null,"tz":null,"host":"elitus.x-pec.com"},"content":null,"modes":[]}
2021-01-27 04:38:12.298700 {"type":"join","timestamp":1611722292.2986763,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"ivc_","nickname":"ivc_","username":"ivc3","name":"ivc","photo":null,"url":null,"tz":null,"host":"elitus.x-pec.com"},"content":null,"modes":[]}
2021-01-27 04:46:24.095300 {"type":"join","timestamp":1611722784.0953145,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"JackyAlcin[m]","nickname":"JackyAlcin[m]","username":"jalcinekde","name":null,"photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-ehrntfjmbtpwjycw"},"content":null,"modes":[]}
2021-01-27 04:55:59.848200 {"type":"join","timestamp":1611723359.848228,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"jamietanna[m]","nickname":"jamietanna[m]","username":"jamietanna","name":"@jamietanna:matrix.org","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-hhzxcmibwsurqltu"},"content":null,"modes":[]}
2021-01-27 04:57:11.736000 {"type":"join","timestamp":1611723431.7359524,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"ivc_","nickname":"ivc_","username":"ivc3","name":"ivc","photo":null,"url":null,"tz":null,"host":"elitus.x-pec.com"},"content":null,"modes":[]}
2021-01-27 04:57:11.728100 {"type":"join","timestamp":1611723431.7280543,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"JackyAlcin[m]","nickname":"JackyAlcin[m]","username":"jalcinekde","name":null,"photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/session"},"content":null,"modes":[]}
2021-01-27 04:57:13.646900 {"type":"join","timestamp":1611723433.646926,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"JackyAlcin[m]","nickname":"JackyAlcin[m]","username":"jalcinekde","name":null,"photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/session"},"content":null,"modes":[]}
2021-01-27 06:18:35.445800 {"type":"join","timestamp":1611728315.4458296,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"JackyAlcin[m]","nickname":"JackyAlcin[m]","username":"jalcinekde","name":null,"photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-pntwhxfxtzzhioyd"},"content":null,"modes":[]}
2021-01-27 06:19:11.158500 {"type":"join","timestamp":1611728351.1585052,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"jamietanna[m]","nickname":"jamietanna[m]","username":"jamietanna","name":"@jamietanna:matrix.org","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-cjaipmyhvietqpmu"},"content":null,"modes":[]}
2021-01-27 06:46:23.534000 {"type":"join","timestamp":1611729983.5339973,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[KevinMarks]","nickname":"[KevinMarks]","username":"~slackuser","name":"KevinMarks via slack-irc-gateway","photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2021-01-27 06:54:10.171600 {"type":"join","timestamp":1611730450.1715672,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"jacky","nickname":"jacky","username":"~jacky","name":"Jacky Alcine","photo":"https:\/\/v2.jacky.wtf\/media\/profile-image","url":"http:\/\/jacky.wtf","tz":"America\/Los_Angeles","host":"unaffiliated\/webjadmin"},"content":null,"modes":[]}
2021-01-27 08:13:02.602900 {"type":"join","timestamp":1611735182.6029463,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[fluffy]","nickname":"[fluffy]","username":"~slackuser","name":null,"photo":"https:\/\/beesbuzz.biz\/static\/headshot.jpg","url":"http:\/\/beesbuzz.biz","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2021-01-27 12:10:03.783200 {"type":"message","timestamp":1611749403.783167,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null,"host":null},"content":"[@schofeld] Microformats nerds: \n\nwhat\u2019s the best `h-card` property to assign an organisational department\/division name to?\n\nIs it: `p-extended-address` ? (https:\/\/twitter.com\/_\/status\/1354400073979998211)","modes":[]}
