2021-06-06 01:45:35.052600 {"type":"join","timestamp":1622943935.0525765,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[jacky]","nickname":"[jacky]","username":"~slackuser","name":"jacky via slack-irc-gateway","photo":"https:\/\/v2.jacky.wtf\/media\/profile-image","url":"http:\/\/jacky.wtf","tz":"America\/Los_Angeles","host":"li826-110.members.linode.com"},"content":null,"modes":[]}
2021-06-06 03:33:40.902800 {"type":"join","timestamp":1622950420.9028227,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"calebjasik","nickname":"calebjasik","username":"~kn07","name":"@calebjasik:privacytools.io","photo":null,"url":null,"tz":null,"host":"user\/kn07"},"content":null,"modes":[]}
2021-06-06 03:38:23.064800 {"type":"join","timestamp":1622950703.0648482,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"nekr0z","nickname":"nekr0z","username":"~nekr0z","name":"@nekr0z:matrix.org","photo":"https:\/\/evgenykuznetsov.org\/img\/avatar.jpg","url":"http:\/\/evgenykuznetsov.org","tz":"Europe\/Moscow","host":"2001:470:69fc:105::70b"},"content":null,"modes":[]}
2021-06-06 03:38:23.278500 {"type":"join","timestamp":1622950703.2785444,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"reed","nickname":"reed","username":"~reed","name":"@smaffulli:matrix.org","photo":null,"url":null,"tz":null,"host":"user\/reed"},"content":null,"modes":[]}
2021-06-06 03:38:23.283600 {"type":"join","timestamp":1622950703.283559,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"Abhas[m]","nickname":"Abhas[m]","username":"~ioabhasio","name":null,"photo":null,"url":null,"tz":null,"host":"2001:470:69fc:105::c71"},"content":null,"modes":[]}
2021-06-06 03:38:23.290200 {"type":"join","timestamp":1622950703.2901607,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"batkin[m]","nickname":"batkin[m]","username":"~batkinmat","name":null,"photo":null,"url":null,"tz":null,"host":"2001:470:69fc:105::cd5"},"content":null,"modes":[]}
2021-06-06 03:38:34.569900 {"type":"join","timestamp":1622950714.5698586,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"LaBcasse[m]","nickname":"LaBcasse[m]","username":"~emixam150","name":"@emixam150:cheredeprince.net","photo":null,"url":null,"tz":null,"host":"2001:470:69fc:105::a87"},"content":null,"modes":[]}
2021-06-06 04:20:02.911300 {"type":"join","timestamp":1622953202.911323,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"gRegor","nickname":"gRegor","username":"~gRegorLov","name":null,"photo":null,"url":null,"tz":null,"host":"ip72-197-254-201.sd.sd.cox.net"},"content":null,"modes":[]}
2021-06-06 04:34:58.984600 {"type":"join","timestamp":1622954098.9845707,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"moose3333","nickname":"moose3333","username":"~moose333","name":null,"photo":null,"url":null,"tz":null,"host":"li895-253.members.linode.com"},"content":null,"modes":[]}
2021-06-06 04:35:07.777800 {"type":"join","timestamp":1622954107.7778451,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"doosboox8","nickname":"doosboox8","username":"~megalodon","name":null,"photo":null,"url":null,"tz":null,"host":"h-212-85-79-33.A258.priv.bahnhof.se"},"content":null,"modes":[]}
2021-06-06 04:37:23.250400 {"type":"join","timestamp":1622954243.2504394,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"rhiaro_","nickname":"rhiaro_","username":"~opendatas","name":null,"photo":"http:\/\/rhiaro.co.uk\/stash\/dp.png","url":"http:\/\/rhiaro.co.uk","tz":"Europe\/London","host":"178.62.242.100"},"content":null,"modes":[]}
2021-06-06 04:37:33.130300 {"type":"join","timestamp":1622954253.1303287,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"sknebel_","nickname":"sknebel_","username":"~quassel","name":null,"photo":null,"url":null,"tz":null,"host":"v22016013254630973.happysrv.de"},"content":null,"modes":[]}
2021-06-06 04:37:35.297700 {"type":"join","timestamp":1622954255.2977185,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"wagle_","nickname":"wagle_","username":"~wagle","name":null,"photo":null,"url":"http:\/\/wagle.io","tz":"America\/Toronto","host":"quassel.wagle.io"},"content":null,"modes":[]}
2021-06-06 04:38:26.253100 {"type":"join","timestamp":1622954306.2531385,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"deeden","nickname":"deeden","username":"~deeden_ir","name":null,"photo":null,"url":"http:\/\/deeden.co.uk","tz":"Europe\/Belfast","host":"ps499246.dreamhostps.com"},"content":null,"modes":[]}
2021-06-06 04:52:58.886100 {"type":"join","timestamp":1622955178.8861194,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"inky","nickname":"inky","username":"~inky","name":"purple","photo":null,"url":null,"tz":null,"host":"141.136.79.191"},"content":null,"modes":[]}
2021-06-06 06:20:41.144600 {"type":"join","timestamp":1622960441.1445785,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"hE_01","nickname":"hE_01","username":"~quassel","name":null,"photo":null,"url":null,"tz":null,"host":"066-190-227-130.res.spectrum.com"},"content":null,"modes":[]}
