2019-09-17 00:40:43.506000 {"type":"join","timestamp":1568680843.506,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[jgmac1106]","nickname":"[jgmac1106]","username":"~slackuser","name":"jgmac1106 via slack-irc-gateway","photo":"http:\/\/quickthoughts.jgregorymcverry.com\/file\/6802fbcdd3fada8cb61ffb798978f72f\/thumb.jpg","url":"http:\/\/jgregorymcverry.com","tz":"-5 GMT","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-09-17 01:03:24.655500 {"type":"join","timestamp":1568682204.6555,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":"tantek via slack-irc-gateway","photo":"http:\/\/tantek.com\/logo.jpg","url":"http:\/\/Tantek.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-09-17 01:26:52.941100 {"type":"join","timestamp":1568683612.9411,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"nitot","nickname":"nitot","username":"~nitot","name":null,"photo":null,"url":null,"tz":null,"host":"2a01:e35:8bfa:a0c0:95ad:fc09:99b5:1da4"},"content":null,"modes":[]}
2019-09-17 01:46:25.796600 {"type":"join","timestamp":1568684785.7966,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"nitot","nickname":"nitot","username":"~nitot","name":null,"photo":null,"url":null,"tz":null,"host":"2a01:e35:8bfa:a0c0:a5a9:d219:5af7:9f2e"},"content":null,"modes":[]}
2019-09-17 02:19:51.251200 {"type":"join","timestamp":1568686791.2512,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"ntsrtoh^","nickname":"ntsrtoh^","username":"ntsrtoh","name":null,"photo":null,"url":null,"tz":null,"host":"ip98-186-247-88.mc.at.cox.net"},"content":null,"modes":[]}
2019-09-17 02:28:32.340100 {"type":"join","timestamp":1568687312.3401,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"astrojl_matrix","nickname":"astrojl_matrix","username":"astrojuanl","name":"@astrojuanlu:matrix.org","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-brrjoopixtgxadbf"},"content":null,"modes":[]}
2019-09-17 02:56:20.456200 {"type":"join","timestamp":1568688980.4562,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"Phae","nickname":"Phae","username":"sid455","name":"Frances","photo":null,"url":null,"tz":null,"host":"gateway\/web\/irccloud.com\/x-kedepijdtezmqiqf"},"content":null,"modes":[]}
2019-09-17 02:56:20.460200 {"type":"join","timestamp":1568688980.4602,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"twisted`","nickname":"twisted`","username":"sid6794","name":"twisted","photo":null,"url":null,"tz":null,"host":"gateway\/web\/irccloud.com\/x-nobtjdqlxggjpitw"},"content":null,"modes":[]}
2019-09-17 03:05:59.516300 {"type":"join","timestamp":1568689559.5163,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"sfroment[m]","nickname":"sfroment[m]","username":"disco6241","name":"@_discord_210764864946307073:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-gbbntqvbkpxkbtoc"},"content":null,"modes":[]}
2019-09-17 03:05:59.518000 {"type":"join","timestamp":1568689559.518,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"sacha[m]","nickname":"sacha[m]","username":"disco6239","name":"@_discord_316862566473400331:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-bkaclhctujyezhgd"},"content":null,"modes":[]}
2019-09-17 03:05:59.524800 {"type":"join","timestamp":1568689559.5248,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"discord[m]","nickname":"discord[m]","username":"discordget","name":"@discord:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-qbmdzvggolvcpfeg"},"content":null,"modes":[]}
