2019-10-31 00:02:59.273700 {"type":"join","timestamp":1572480179.2737,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"jeremycherfas","nickname":"jeremycherfas","username":"~jeremyche","name":"Jeremy Cherfas","photo":"https:\/\/www.jeremycherfas.net\/user\/themes\/mytheme\/images\/zoot.jpg","url":"http:\/\/jeremycherfas.net","tz":"Europe\/Rome","host":"jeremy.powered.by.lunarbnc.net"},"content":null,"modes":[]}
2019-10-31 00:07:08.447200 {"type":"join","timestamp":1572480428.4472,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"patterson","nickname":"patterson","username":"~patterson","name":"...","photo":null,"url":null,"tz":null,"host":"73.96.105.31"},"content":null,"modes":[]}
2019-10-31 00:19:34.383400 {"type":"join","timestamp":1572481174.3834,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"myfreeweb1","nickname":"myfreeweb1","username":"gregunrele","name":"@greg:unrelenting.technology","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-krlhuaylypipjfpp"},"content":null,"modes":[]}
2019-10-31 00:19:35.486700 {"type":"join","timestamp":1572481175.4867,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"pierrebocDiscord","nickname":"pierrebocDiscord","username":"disco6651","name":"@_discord_543858563961978881:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-otxxpvvyrroojtrw"},"content":null,"modes":[]}
2019-10-31 00:19:35.497700 {"type":"join","timestamp":1572481175.4977,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"thrrgilag","nickname":"thrrgilag","username":"thrrgilagm","name":"@thrrgilag:monkeystew.net","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-lbuvloywrgdtacph"},"content":null,"modes":[]}
2019-10-31 00:19:40.065300 {"type":"join","timestamp":1572481180.0653,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"pniedzielski[m]","nickname":"pniedzielski[m]","username":"pniedziels","name":"@pniedzielski:pniedzielski.net","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-hizpkfayhvhllzuz"},"content":null,"modes":[]}
2019-10-31 00:19:44.443000 {"type":"join","timestamp":1572481184.443,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"h2Discord[m]","nickname":"h2Discord[m]","username":"disco6606","name":"@_discord_445786513876189185:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-pjmsgaelqsaztbpk"},"content":null,"modes":[]}
2019-10-31 00:19:47.655900 {"type":"join","timestamp":1572481187.6559,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"discord[m]","nickname":"discord[m]","username":"discordget","name":"@discord:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-slohhnahzyjkdhsg"},"content":null,"modes":[]}
2019-10-31 00:19:47.850800 {"type":"join","timestamp":1572481187.8508,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"CantiTurtleCoinD","nickname":"CantiTurtleCoinD","username":"disco7025","name":"@_discord_408364361598369802:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-cdwmgawuxidjbwoa"},"content":null,"modes":[]}
2019-10-31 00:19:49.751000 {"type":"join","timestamp":1572481189.751,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"freekurt","nickname":"freekurt","username":"freekurtma","name":"@freekurt:matrix.org","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-gejrtxrfsctlrfiq"},"content":null,"modes":[]}
2019-10-31 00:19:49.834900 {"type":"join","timestamp":1572481189.8349,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"benaszabDiscord[","nickname":"benaszabDiscord[","username":"disco7147","name":"@_discord_339084625127145472:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-viaqezmzdiwdbefl"},"content":null,"modes":[]}
