2019-08-03 01:07:33.696100 {"type":"join","timestamp":1564794453.6961,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[prtksxna]","nickname":"[prtksxna]","username":"~slackuser","name":null,"photo":"http:\/\/gravatar.com\/avatar\/17f37be7dfd491b7b442a79f69e08f16","url":"http:\/\/prtksxna.com","tz":"Asia\/Calcutta","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-08-03 01:58:02.013800 {"type":"join","timestamp":1564797482.0138,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"seki[m]","nickname":"seki[m]","username":"discord607","name":null,"photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-ckeurnorswypcoip"},"content":null,"modes":[]}
2019-08-03 02:10:55.985700 {"type":"join","timestamp":1564798255.9857,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"seki[m]1","nickname":"seki[m]1","username":"disco_6925","name":null,"photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-oyrjqszkhowmgtki"},"content":null,"modes":[]}
2019-08-03 02:30:51.948700 {"type":"join","timestamp":1564799451.9487,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"ketudb","nickname":"ketudb","username":"~ketudb","name":null,"photo":null,"url":null,"tz":null,"host":"94.142.245.96"},"content":null,"modes":[]}
2019-08-03 02:56:28.138500 {"type":"leave","timestamp":1564800988.1385,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"ketudb[m]","nickname":"ketudb[m]","username":"ketudbcybr","name":"@ketudb:cybre.space","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-dcyccfgidfcbgdvy"},"content":null,"modes":[]}
2019-08-03 04:31:37.083200 {"type":"join","timestamp":1564806697.0832,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[Michael_Beckwit","nickname":"[Michael_Beckwit","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-08-03 05:26:36.358700 {"type":"join","timestamp":1564809996.3587,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[Lewis_Cowles]","nickname":"[Lewis_Cowles]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-08-03 07:09:45.384100 {"type":"join","timestamp":1564816185.3841,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":null,"photo":"http:\/\/tantek.com\/logo.jpg","url":"http:\/\/Tantek.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-08-03 07:20:00.684000 {"type":"leave","timestamp":1564816800.684,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"Magnus[m]","nickname":"Magnus[m]","username":"disco6734","name":"@_discord_181329706505732096:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-zyqmdqqibretqtqn"},"content":null,"modes":[]}
2019-08-03 09:01:34.263100 {"type":"join","timestamp":1564822894.2631,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[KevinMarks]","nickname":"[KevinMarks]","username":"~slackuser","name":null,"photo":"http:\/\/www.kevinmarks.com\/km.jpg","url":"http:\/\/kevinmarks.com","tz":"Europe\/London","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-08-03 09:21:48.898900 {"type":"join","timestamp":1564824108.8989,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"seekr","nickname":"seekr","username":"~seekr","name":"seekr","photo":null,"url":null,"tz":null,"host":"unaffiliated\/seekr"},"content":null,"modes":[]}
