2019-09-05 01:37:50.444400 {"type":"join","timestamp":1567647470.4444,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[manton]","nickname":"[manton]","username":"~slackuser","name":null,"photo":"https:\/\/micro.blog\/manton\/avatar.jpg","url":"http:\/\/Manton.org","tz":"America\/Chicago","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-09-05 02:40:35.475600 {"type":"join","timestamp":1567651235.4756,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[fluffy]","nickname":"[fluffy]","username":"~slackuser","name":"fluffy via slack-irc-gateway","photo":"https:\/\/beesbuzz.biz\/static\/headshot.jpg","url":"http:\/\/beesbuzz.biz","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-09-05 03:34:47.108800 {"type":"join","timestamp":1567654487.1088,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"cghfgh","nickname":"cghfgh","username":"~webuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-09-05 03:38:49.895300 {"type":"join","timestamp":1567654729.8953,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[xavierroy]","nickname":"[xavierroy]","username":"~slackuser","name":"xavierroy via slack-irc-gateway","photo":null,"url":"http:\/\/xavierroy.com","tz":"Asia\/Chennai","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-09-05 03:43:29.330100 {"type":"join","timestamp":1567655009.3301,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"jester","nickname":"jester","username":"~jester","name":null,"photo":null,"url":null,"tz":null,"host":"d207-6-241-65.bchsia.telus.net"},"content":null,"modes":[]}
2019-09-05 03:52:31.580200 {"type":"join","timestamp":1567655551.5802,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"alien8","nickname":"alien8","username":"b3e81041","name":null,"photo":null,"url":null,"tz":null,"host":"179.232.16.65"},"content":null,"modes":[]}
2019-09-05 05:19:39.981500 {"type":"join","timestamp":1567660779.9815,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[jeremycherfas]","nickname":"[jeremycherfas]","username":"~slackuser","name":null,"photo":"https:\/\/www.jeremycherfas.net\/user\/themes\/mytheme\/images\/zoot.jpg","url":"http:\/\/jeremycherfas.net","tz":"Europe\/Rome","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-09-05 05:23:24.343600 {"type":"join","timestamp":1567661004.3436,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"jester","nickname":"jester","username":"~jester","name":null,"photo":null,"url":null,"tz":null,"host":"d207-6-241-65.bchsia.telus.net"},"content":null,"modes":[]}
2019-09-05 05:36:08.400200 {"type":"join","timestamp":1567661768.4002,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":"tantek via slack-irc-gateway","photo":"http:\/\/tantek.com\/logo.jpg","url":"http:\/\/Tantek.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-09-05 05:42:01.134800 {"type":"join","timestamp":1567662121.1348,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"mapkyca","nickname":"mapkyca","username":"~mapkyca","name":"mapkyca","photo":null,"url":null,"tz":null,"host":"250.25-246-81.adsl-static.isp.belgacom.be"},"content":null,"modes":[]}
2019-09-05 07:42:31.780200 {"type":"join","timestamp":1567669351.7802,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"rabbit0","nickname":"rabbit0","username":"~pycer","name":null,"photo":null,"url":null,"tz":null,"host":"unaffiliated\/pycer"},"content":null,"modes":[]}
