2019-09-07 00:31:48.464700 {"type":"join","timestamp":1567816308.4647,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[KevinMarks]","nickname":"[KevinMarks]","username":"~slackuser","name":"KevinMarks via slack-irc-gateway","photo":"http:\/\/www.kevinmarks.com\/km.jpg","url":"http:\/\/kevinmarks.com","tz":"Europe\/London","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-09-07 00:53:08.964100 {"type":"join","timestamp":1567817588.9641,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[fluffy]","nickname":"[fluffy]","username":"~slackuser","name":"fluffy via slack-irc-gateway","photo":"https:\/\/beesbuzz.biz\/static\/headshot.jpg","url":"http:\/\/beesbuzz.biz","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-09-07 01:29:56.372600 {"type":"join","timestamp":1567819796.3726,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"jester","nickname":"jester","username":"~jester","name":null,"photo":null,"url":null,"tz":null,"host":"d207-6-240-108.bchsia.telus.net"},"content":null,"modes":[]}
2019-09-07 01:58:01.166300 {"type":"join","timestamp":1567821481.1663,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"TionisDiscord[m]","nickname":"TionisDiscord[m]","username":"disco_7671","name":null,"photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-czmflruugddvjkln"},"content":null,"modes":[]}
2019-09-07 02:40:40.031100 {"type":"join","timestamp":1567824040.0311,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[jgmac1106]","nickname":"[jgmac1106]","username":"~slackuser","name":"jgmac1106 via slack-irc-gateway","photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-09-07 02:51:41.603800 {"type":"join","timestamp":1567824701.6038,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"defnofdumb","nickname":"defnofdumb","username":"~defnofdum","name":null,"photo":null,"url":null,"tz":null,"host":"c-24-13-49-118.hsd1.il.comcast.net"},"content":null,"modes":[]}
2019-09-07 05:26:20.764000 {"type":"join","timestamp":1567833980.764,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"rabbit0","nickname":"rabbit0","username":"~pycer","name":null,"photo":null,"url":null,"tz":null,"host":"unaffiliated\/pycer"},"content":null,"modes":[]}
2019-09-07 06:37:45.986100 {"type":"join","timestamp":1567838265.9861,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[Rose]","nickname":"[Rose]","username":"~slackuser","name":null,"photo":"https:\/\/i0.wp.com\/rosemaryorchard.com\/wp-content\/uploads\/2019\/03\/igazPjBx.jpg","url":"http:\/\/rosemaryorchard.com","tz":"Europe\/Austria","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-09-07 08:56:12.340300 {"type":"join","timestamp":1567846572.3403,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"mathnoob","nickname":"mathnoob","username":"~pycer","name":null,"photo":null,"url":null,"tz":null,"host":"unaffiliated\/pycer"},"content":null,"modes":[]}
2019-09-07 09:53:15.816000 {"type":"join","timestamp":1567849995.816,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[jgmac1106]","nickname":"[jgmac1106]","username":"~slackuser","name":"jgmac1106 via slack-irc-gateway","photo":"http:\/\/quickthoughts.jgregorymcverry.com\/file\/6802fbcdd3fada8cb61ffb798978f72f\/thumb.jpg","url":"http:\/\/jgregorymcverry.com","tz":"-5 GMT","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-09-07 10:57:46.364300 {"type":"join","timestamp":1567853866.3643,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"jeremych_","nickname":"jeremych_","username":"~textual","name":null,"photo":null,"url":null,"tz":null,"host":"93.48.241.48"},"content":null,"modes":[]}
2019-09-07 11:11:37.864300 {"type":"join","timestamp":1567854697.8643,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"jeremycherfas","nickname":"jeremycherfas","username":"~jeremyche","name":"Jeremy Cherfas","photo":"https:\/\/www.jeremycherfas.net\/user\/themes\/mytheme\/images\/zoot.jpg","url":"http:\/\/jeremycherfas.net","tz":"Europe\/Rome","host":"jeremy.powered.by.lunarbnc.net"},"content":null,"modes":[]}
2019-09-07 11:17:39.649000 {"type":"join","timestamp":1567855059.649,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"ShruthiDiscord[m","nickname":"ShruthiDiscord[m","username":"disco_7674","name":null,"photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-xuibophrlvcdvwoh"},"content":null,"modes":[]}
2019-09-07 12:33:36.452900 {"type":"join","timestamp":1567859616.4529,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"defnofdumb","nickname":"defnofdumb","username":"~defnofdum","name":null,"photo":null,"url":null,"tz":null,"host":"c-24-13-49-118.hsd1.il.comcast.net"},"content":null,"modes":[]}
