2019-09-10 01:34:15.943400 {"type":"join","timestamp":1568079255.9434,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[asuh]","nickname":"[asuh]","username":"~slackuser","name":null,"photo":"https:\/\/asuh.com\/images\/asuh581x583.jpg","url":"http:\/\/asuh.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-09-10 01:39:55.738000 {"type":"join","timestamp":1568079595.738,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"mapkyca","nickname":"mapkyca","username":"~mapkyca","name":"mapkyca","photo":null,"url":null,"tz":null,"host":"77.95.178.3"},"content":null,"modes":[]}
2019-09-10 01:40:17.970200 {"type":"join","timestamp":1568079617.9702,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"jester","nickname":"jester","username":"~jester","name":null,"photo":null,"url":null,"tz":null,"host":"d207-6-241-151.bchsia.telus.net"},"content":null,"modes":[]}
2019-09-10 04:00:25.139900 {"type":"join","timestamp":1568088025.1399,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"testinacct","nickname":"testinacct","username":"~dsol","name":null,"photo":null,"url":null,"tz":null,"host":"c-174-61-43-106.hsd1.fl.comcast.net"},"content":null,"modes":[]}
2019-09-10 04:00:54.853300 {"type":"leave","timestamp":1568088054.8533,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"testinacct","nickname":"testinacct","username":"~dsol","name":null,"photo":null,"url":null,"tz":null,"host":"c-174-61-43-106.hsd1.fl.comcast.net"},"content":null,"modes":[]}
2019-09-10 04:10:27.962300 {"type":"join","timestamp":1568088627.9623,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"niceplace","nickname":"niceplace","username":"~nplace","name":"nplace","photo":null,"url":null,"tz":null,"host":"185.128.25.132"},"content":null,"modes":[]}
2019-09-10 09:21:40.142300 {"type":"join","timestamp":1568107300.1423,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"jeremych_","nickname":"jeremych_","username":"~textual","name":null,"photo":null,"url":null,"tz":null,"host":"93.48.241.48"},"content":null,"modes":[]}
2019-09-10 09:40:38.055800 {"type":"join","timestamp":1568108438.0558,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[jgmac1106]","nickname":"[jgmac1106]","username":"~slackuser","name":"jgmac1106 via slack-irc-gateway","photo":"http:\/\/quickthoughts.jgregorymcverry.com\/file\/6802fbcdd3fada8cb61ffb798978f72f\/thumb.jpg","url":"http:\/\/jgregorymcverry.com","tz":"-5 GMT","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-09-10 10:00:17.066100 {"type":"join","timestamp":1568109617.0661,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"mapkyca","nickname":"mapkyca","username":"~mapkyca","name":"mapkyca","photo":null,"url":null,"tz":null,"host":"77.95.178.3"},"content":null,"modes":[]}
2019-09-10 10:12:08.270200 {"type":"join","timestamp":1568110328.2702,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[Rose]","nickname":"[Rose]","username":"~slackuser","name":null,"photo":"https:\/\/i0.wp.com\/rosemaryorchard.com\/wp-content\/uploads\/2019\/03\/igazPjBx.jpg","url":"http:\/\/rosemaryorchard.com","tz":"Europe\/Austria","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-09-10 10:52:40.593900 {"type":"join","timestamp":1568112760.5939,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"mapkyca","nickname":"mapkyca","username":"~mapkyca","name":"mapkyca","photo":null,"url":null,"tz":null,"host":"77.95.178.3"},"content":null,"modes":[]}
2019-09-10 11:13:49.934900 {"type":"join","timestamp":1568114029.9349,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[grantcodes]","nickname":"[grantcodes]","username":"~slackuser","name":null,"photo":"https:\/\/grant.codes\/icons\/favicon-32x32.png","url":"http:\/\/grant.codes","tz":"Europe\/London","host":"chat.indieweb.org"},"content":null,"modes":[]}
