2019-09-27 02:27:14.235100 {"type":"join","timestamp":1569551234.2351,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[schmarty]","nickname":"[schmarty]","username":"~slackuser","name":"schmarty via slack-irc-gateway","photo":"https:\/\/martymcgui.re\/img\/logo.jpg","url":"http:\/\/martymcgui.re","tz":"America\/New_York","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-09-27 05:01:19.224200 {"type":"join","timestamp":1569560479.2242,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[aaronpk]","nickname":"[aaronpk]","username":"~slackuser","name":null,"photo":"https:\/\/aaronparecki.com\/images\/aaronpk-128.jpg","url":"http:\/\/aaronparecki.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-09-27 05:17:44.251700 {"type":"join","timestamp":1569561464.2517,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[jeremycherfas]","nickname":"[jeremycherfas]","username":"~slackuser","name":null,"photo":"https:\/\/www.jeremycherfas.net\/user\/themes\/mytheme\/images\/zoot.jpg","url":"http:\/\/jeremycherfas.net","tz":"Europe\/Rome","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-09-27 06:25:29.287500 {"type":"join","timestamp":1569565529.2875,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[Michael_Beckwit","nickname":"[Michael_Beckwit","username":"~slackuser","name":"Michael_Beckwith via slack-irc-gateway","photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-09-27 08:25:38.442800 {"type":"join","timestamp":1569572738.4428,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"mapkyca","nickname":"mapkyca","username":"~mapkyca","name":"mapkyca","photo":null,"url":null,"tz":null,"host":"31.185.54.119"},"content":null,"modes":[]}
2019-09-27 08:27:57.329600 {"type":"join","timestamp":1569572877.3296,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"mapkyca","nickname":"mapkyca","username":"~mapkyca","name":"mapkyca","photo":null,"url":null,"tz":null,"host":"31.185.54.119"},"content":null,"modes":[]}
2019-09-27 08:32:49.641600 {"type":"join","timestamp":1569573169.6416,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"mapkyca","nickname":"mapkyca","username":"~mapkyca","name":"mapkyca","photo":null,"url":null,"tz":null,"host":"31.185.54.119"},"content":null,"modes":[]}
2019-09-27 08:57:25.115700 {"type":"join","timestamp":1569574645.1157,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"mapkyca","nickname":"mapkyca","username":"~mapkyca","name":"mapkyca","photo":null,"url":null,"tz":null,"host":"2a00:23c0:e80:a201:3443:5296:2df7:a566"},"content":null,"modes":[]}
2019-09-27 09:00:46.091000 {"type":"join","timestamp":1569574846.091,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"mapkyca_","nickname":"mapkyca_","username":"~mapkyca","name":"mapkyca","photo":null,"url":null,"tz":null,"host":"2a00:23c0:e80:a201:99b7:d788:e9f7:a3"},"content":null,"modes":[]}
2019-09-27 09:03:45.993700 {"type":"join","timestamp":1569575025.9937,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"mapkyca","nickname":"mapkyca","username":"~mapkyca","name":"mapkyca","photo":null,"url":null,"tz":null,"host":"2a00:23c0:e80:a201:3443:5296:2df7:a566"},"content":null,"modes":[]}
2019-09-27 09:04:51.942000 {"type":"join","timestamp":1569575091.942,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"mapkyca__","nickname":"mapkyca__","username":"~mapkyca","name":"mapkyca","photo":null,"url":null,"tz":null,"host":"185.81.162.228"},"content":null,"modes":[]}
2019-09-27 09:14:09.424300 {"type":"join","timestamp":1569575649.4243,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"mapkyca__","nickname":"mapkyca__","username":"~mapkyca","name":"mapkyca","photo":null,"url":null,"tz":null,"host":"185.81.162.228"},"content":null,"modes":[]}
2019-09-27 09:15:22.345900 {"type":"join","timestamp":1569575722.3459,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"mapkyca_","nickname":"mapkyca_","username":"~mapkyca","name":"mapkyca","photo":null,"url":null,"tz":null,"host":"185.81.162.228"},"content":null,"modes":[]}
