2020-01-11 00:03:04.463000 {"type":"message","timestamp":1578700984.4630022,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[KevinMarks]","nickname":"[KevinMarks]","username":"~slackuser","name":null,"photo":"http:\/\/www.kevinmarks.com\/km.jpg","url":"http:\/\/kevinmarks.com","tz":"Europe\/London","host":"chat.indieweb.org"},"content":"Well done superkuh","modes":["voice"]}
2020-01-11 00:18:09.491900 {"type":"join","timestamp":1578701889.4919229,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"gRegorLove","nickname":"gRegorLove","username":"~gRegorLov","name":null,"photo":null,"url":null,"tz":null,"host":"2600:8801:9200:3280:8149:eee0:622d:ebc2"},"content":null,"modes":[]}
2020-01-11 00:27:28.333200 {"type":"join","timestamp":1578702448.3331594,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"sukil","nickname":"sukil","username":"~sukil","name":null,"photo":null,"url":"http:\/\/www.sukiletxe.eu","tz":"Europe\/Madrid","host":"unaffiliated\/sukil"},"content":null,"modes":[]}
2020-01-11 00:35:20.319400 {"type":"join","timestamp":1578702920.3194246,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"turona","nickname":"turona","username":"~quassel","name":null,"photo":null,"url":null,"tz":null,"host":"2a01:c23:5c27:1800:5339:21d1:25a0:2090"},"content":null,"modes":[]}
2020-01-11 01:04:01.782700 {"type":"join","timestamp":1578704641.7827237,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"wolftune","nickname":"wolftune","username":"~aaron","name":"Aaron Wolf","photo":null,"url":"http:\/\/wolftune.com","tz":"America\/Los_Angeles","host":"71-36-114-130.ptld.qwest.net"},"content":null,"modes":[]}
2020-01-11 01:06:54.194100 {"type":"join","timestamp":1578704814.194078,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"oodani","nickname":"oodani","username":"~oodani","name":"Danielle McLean","photo":"https:\/\/cdn.00dani.me\/media\/avatars\/1\/dewdash_crop.png","url":"http:\/\/00dani.me","tz":"Australia\/Sydney","host":"00dani.me"},"content":null,"modes":[]}
2020-01-11 01:08:13.777700 {"type":"join","timestamp":1578704893.777718,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"corenominal","nickname":"corenominal","username":"~corenomin","name":"Philip Newborough","photo":null,"url":null,"tz":null,"host":"li1522-202.members.linode.com"},"content":null,"modes":[]}
2020-01-11 01:08:13.975800 {"type":"join","timestamp":1578704893.975829,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"corenominal","nickname":"corenominal","username":"~corenomin","name":"Philip Newborough","photo":null,"url":null,"tz":null,"host":"li1522-202.members.linode.com"},"content":null,"modes":[]}
2020-01-11 01:09:02.745600 {"type":"join","timestamp":1578704942.7455797,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":null,"photo":"http:\/\/tantek.com\/logo.jpg","url":"http:\/\/Tantek.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-01-11 01:09:03.471400 {"type":"message","timestamp":1578704943.4714494,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":null,"photo":"http:\/\/tantek.com\/logo.jpg","url":"http:\/\/Tantek.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":"Yeah the implying midnight thing is an artificial precision flaw","modes":[]}
2020-01-11 02:07:13.079700 {"type":"join","timestamp":1578708433.079706,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[kimberlyhirsh]","nickname":"[kimberlyhirsh]","username":"~slackuser","name":null,"photo":"https:\/\/kimberlyhirsh.com\/phd\/wp-content\/uploads\/2015\/03\/cropped-Kimberly_Hirsh-3.jpg","url":"http:\/\/kimberlyhirsh.com","tz":"America\/New_York","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-01-11 02:07:14.243800 {"type":"message","timestamp":1578708434.2437572,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[kimberlyhirsh]","nickname":"[kimberlyhirsh]","username":"~slackuser","name":null,"photo":"https:\/\/kimberlyhirsh.com\/phd\/wp-content\/uploads\/2015\/03\/cropped-Kimberly_Hirsh-3.jpg","url":"http:\/\/kimberlyhirsh.com","tz":"America\/New_York","host":"chat.indieweb.org"},"content":"When I use indiebookclub.biz to post to my site hosted on micro.blog it seems the <data> tags and reading-related microformats don't end up in the micro.blog post. Any thoughts on why this is\/what, if anything, I can do about it? (Obv redirect me to another channel as appropriate.) Example on indiebookclub.biz: https:\/\/indiebookclub.biz\/users\/kimberlyhirsh.com vs micro.blog: https:\/\/kimberlyhirsh.com\/2020\/01\/09\/want-to-read.html","modes":[]}
