2016-03-06 01:18:58.492000 {"type":"join","timestamp":"1457227138.492000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"netweb","nickname":"netweb","name":"netweb","username":null},"content":"netweb joined #microformats"}
2016-03-06 03:00:44.758000 {"type":"message","timestamp":"1457233244.758000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[@FirefoxCommit] Michael Kaply -  Merge version 1.4.0 of microformats-shiv; r=mixedpuppy... http:\/\/hg.mozilla.org\/mozilla-central\/rev\/b479a3b0fde9a3dfc67dfb6dbf35d3c958fd1a9c (http:\/\/twtr.io\/1A5CW5WKsp4)"}
2016-03-06 03:19:25.902000 {"type":"join","timestamp":"1457234365.902000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"fuzzyhorns","nickname":"fuzzyhorns","name":"fuzzyhorns","username":null},"content":"fuzzyhorns joined #microformats"}
2016-03-06 04:21:27.842000 {"type":"join","timestamp":"1457238087.842000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"fuzzyhorns","nickname":"fuzzyhorns","name":"fuzzyhorns","username":null},"content":"fuzzyhorns joined #microformats"}
2016-03-06 05:24:16.509000 {"type":"join","timestamp":"1457241856.509000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"fuzzyhorns","nickname":"fuzzyhorns","name":"fuzzyhorns","username":null},"content":"fuzzyhorns joined #microformats"}
2016-03-06 05:41:31.348000 {"type":"message","timestamp":"1457242891.348000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[@polymorphisist] @unormal I hoped that's what schema and microformats were going to do but it looks like that road to semantic web is longer than we thought. (http:\/\/twtr.io\/1A5SxTtUi5b)"}
2016-03-06 06:15:22.596000 {"type":"join","timestamp":"1457244922.596000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"hober","nickname":"hober","name":"hober","username":null},"content":"hober joined #microformats"}
2016-03-06 06:51:22.514000 {"type":"join","timestamp":"1457247082.514000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"gRegorLove","nickname":"gRegorLove","name":"gRegorLove","username":null},"content":"gRegorLove joined #microformats"}
2016-03-06 10:40:22.146000 {"type":"join","timestamp":"1457260822.146000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"dogada","nickname":"dogada","name":"dogada","username":null},"content":"dogada joined #microformats"}
2016-03-06 10:44:23.950000 {"type":"join","timestamp":"1457261063.950000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"fuzzyhorns","nickname":"fuzzyhorns","name":"fuzzyhorns","username":null},"content":"fuzzyhorns joined #microformats"}
2016-03-06 11:46:56.949000 {"type":"join","timestamp":"1457264816.949000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"fuzzyhorns","nickname":"fuzzyhorns","name":"fuzzyhorns","username":null},"content":"fuzzyhorns joined #microformats"}
2016-03-06 12:29:47.734000 {"type":"join","timestamp":"1457267387.734000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Zegnat","nickname":"Zegnat","name":"Zegnat","username":null},"content":"Zegnat joined #microformats"}
2016-03-06 12:47:43.076000 {"type":"join","timestamp":"1457268463.076000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"fuzzyhorns","nickname":"fuzzyhorns","name":"fuzzyhorns","username":null},"content":"fuzzyhorns joined #microformats"}
2016-03-06 13:41:22.750000 {"type":"message","timestamp":"1457271682.750000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[@wordpressbot_] Microformats Made Simple here  http:\/\/www.amazon.com\/Microformats-Made-Simple-Emily-Lewis\/dp\/0321660773%3FSubscriptionId=AKIAJ2HQNLFCLUOUMLHQ&tag=zippylab-20&linkCode=sp1&camp=2025&creative=165953&creativeASIN=0321660773 #html @wordpressbot_ (http:\/\/twtr.io\/1A6A5m66MHt)"}
2016-03-06 13:41:33.483000 {"type":"message","timestamp":"1457271693.483000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[@ElenorFike] RT @wordpressbot_ Microformats Made Simple here  http:\/\/www.amazon.com\/Microformats-Made-Simple-Emily-Lewis\/dp\/0321660773%3FSubscriptionId=AKIAJ2HQNLFCLUOUMLHQ&tag=zippylab-20&linkCode=sp1&camp=2025&creative=165953&creativeASIN=0321660773 #html @wordpressbot_ (http:\/\/twtr.io\/1A6A6qGPSrj)"}
2016-03-06 15:49:59.518000 {"type":"join","timestamp":"1457279399.518000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"fuzzyhorns","nickname":"fuzzyhorns","name":"fuzzyhorns","username":null},"content":"fuzzyhorns joined #microformats"}
2016-03-06 16:28:25.483000 {"type":"join","timestamp":"1457281705.483000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"dogada","nickname":"dogada","name":"dogada","username":null},"content":"dogada joined #microformats"}
2016-03-06 16:50:47.264000 {"type":"join","timestamp":"1457283047.264000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"fuzzyhorns","nickname":"fuzzyhorns","name":"fuzzyhorns","username":null},"content":"fuzzyhorns joined #microformats"}
2016-03-06 16:57:28.049000 {"type":"join","timestamp":"1457283448.049000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"fuzzyhorns","nickname":"fuzzyhorns","name":"fuzzyhorns","username":null},"content":"fuzzyhorns joined #microformats"}
