2012-02-28 00:04:51.000000 {"type":"join","timestamp":"1330387491.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"spinnerin_","nickname":"spinnerin_","name":"spinnerin_","username":null},"content":"spinnerin_ joined #indiewebcamp"}
2012-02-28 01:22:04.000000 {"type":"join","timestamp":"1330392124.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"josephboyle1","nickname":"josephboyle1","name":"josephboyle1","username":null},"content":"josephboyle1 joined #indiewebcamp"}
2012-02-28 01:50:50.000000 {"type":"join","timestamp":"1330393850.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"josephboyle","nickname":"josephboyle","name":"josephboyle","username":null},"content":"josephboyle joined #indiewebcamp"}
2012-02-28 04:24:41.000000 {"type":"join","timestamp":"1330403081.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"davida","nickname":"davida","name":"davida","username":null},"content":"davida joined #indiewebcamp"}
2012-02-28 04:48:35.000000 {"type":"join","timestamp":"1330404515.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"josephboyle1","nickname":"josephboyle1","name":"josephboyle1","username":null},"content":"josephboyle1 joined #indiewebcamp"}
2012-02-28 05:01:46.000000 {"type":"join","timestamp":"1330405306.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"josephboyle","nickname":"josephboyle","name":"josephboyle","username":null},"content":"josephboyle joined #indiewebcamp"}
2012-02-28 06:22:35.000000 {"type":"message","timestamp":"1330410155.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307projects\u000314]]\u00034 \u000310 \u000302http:\/\/indiewebcamp.com\/wiki\/index.php?diff=681&oldid=678&rcid=759\u0003 \u00035*\u0003 \u000303Aaronpk\u0003 \u00035*\u0003 (+73) \u000310\/* explorations *\/ \u0003"}
2012-02-28 06:24:11.000000 {"type":"message","timestamp":"1330410251.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307projects\u000314]]\u00034 \u000310 \u000302http:\/\/indiewebcamp.com\/wiki\/index.php?diff=682&oldid=681&rcid=760\u0003 \u00035*\u0003 \u000303Aaronpk\u0003 \u00035*\u0003 (+99) \u000310\/* production *\/ added OpenVBX\u0003"}
2012-02-28 06:43:06.000000 {"type":"join","timestamp":"1330411386.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #indiewebcamp"}
2012-02-28 07:30:27.000000 {"type":"message","timestamp":"1330414227.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[http:\/\/twitter.com\/aboynejames] #stratactw  links mentioned  https:\/\/t.co\/L1ZwonsJ   http:\/\/t.co\/fakjiLrC"}
2012-02-28 07:38:43.000000 {"type":"join","timestamp":"1330414723.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"josephboyle","nickname":"josephboyle","name":"josephboyle","username":null},"content":"josephboyle joined #indiewebcamp"}
