2021-03-10 00:56:30.600900 {"type":"join","timestamp":1615337790.6008954,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[KevinMarks]","nickname":"[KevinMarks]","username":"~slackuser","name":"KevinMarks via slack-irc-gateway","photo":"http:\/\/www.kevinmarks.com\/km.jpg","url":"http:\/\/kevinmarks.com","tz":"Europe\/London","host":"chat.indieweb.org"},"content":null,"modes":[]}
2021-03-10 01:28:33.601200 {"type":"join","timestamp":1615339713.6012115,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"jeremycherfas","nickname":"jeremycherfas","username":"~jeremy","name":"ZNC - https:\/\/znc.in","photo":"https:\/\/www.jeremycherfas.net\/user\/themes\/mytheme\/images\/zoot.jpg","url":"http:\/\/jeremycherfas.net","tz":"Europe\/Rome","host":"jeremy.powered.by.lunarbnc.net"},"content":null,"modes":[]}
2021-03-10 01:29:14.738800 {"type":"join","timestamp":1615339754.738838,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[fluffy]","nickname":"[fluffy]","username":"~slackuser","name":"fluffy via slack-irc-gateway","photo":"https:\/\/beesbuzz.biz\/static\/headshot.jpg","url":"http:\/\/beesbuzz.biz","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2021-03-10 01:40:34.736100 {"type":"join","timestamp":1615340434.7361493,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[chrisaldrich]","nickname":"[chrisaldrich]","username":"~slackuser","name":"chrisaldrich via slack-irc-gateway","photo":"https:\/\/www.boffosocko.com\/logo.jpg","url":"http:\/\/boffosocko.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2021-03-10 01:44:51.619500 {"type":"join","timestamp":1615340691.6194842,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"Discord[m]4","nickname":"Discord[m]4","username":"disco9073","name":"io.permaweb:_discord_526757813549006848","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-rbadzxysnsseqymi"},"content":null,"modes":[]}
2021-03-10 01:44:51.746100 {"type":"join","timestamp":1615340691.746103,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"khalnayakDiscord","nickname":"khalnayakDiscord","username":"disco9389","name":"io.permaweb:_discord_603941863728087050","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-qnlfylncfiabxuhg"},"content":null,"modes":[]}
2021-03-10 01:45:00.243400 {"type":"join","timestamp":1615340700.2434313,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"cam4507[m]","nickname":"cam4507[m]","username":"disco8706","name":"@_discord_346820152446418945:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-rvnawlqipvtqzwms"},"content":null,"modes":[]}
2021-03-10 01:45:00.399200 {"type":"join","timestamp":1615340700.3992426,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"bltavaresDiscor4","nickname":"bltavaresDiscor4","username":"disco9252","name":"io.permaweb:_discord_456913679389032480","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-uczqnrzensvorjin"},"content":null,"modes":[]}
2021-03-10 01:45:01.081700 {"type":"join","timestamp":1615340701.081703,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"simibacDiscord[m","nickname":"simibacDiscord[m","username":"disco8811","name":"io.permaweb:_discord_389901855708151808","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-sahkthqewxhikyke"},"content":null,"modes":[]}
2021-03-10 01:45:05.767800 {"type":"join","timestamp":1615340705.7677526,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"l^discordDiscord","nickname":"l^discordDiscord","username":"disco7227","name":"io.permaweb:_discord_408671790756528128","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-xhedtgwkukeiowyn"},"content":null,"modes":[]}
2021-03-10 01:46:19.859400 {"type":"join","timestamp":1615340779.8594048,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"ShmultzDiscord[m","nickname":"ShmultzDiscord[m","username":"disco7157","name":"io.permaweb:_discord_276443173817942017","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-wurettklrrazptho"},"content":null,"modes":[]}
