2016-05-22 03:09:16.080000 {"type":"join","timestamp":"1463886556.080000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","name":"KartikPrabhu","username":null},"content":"KartikPrabhu joined #microformats"}
2016-05-22 03:31:24.292000 {"type":"message","timestamp":"1463887884.292000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[@AllTheTwits] Teached Jean-Michel Billaut how to use hCalendar to announce BarCampBank3 on his famous blog http:\/\/billaut.typepad.com\/jm\/2007\/01\/barcampbank3.html (http:\/\/twtr.io\/1CrPC9sdJJf)"}
2016-05-22 04:55:47.247000 {"type":"join","timestamp":"1463892947.247000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"laughinghan","nickname":"laughinghan","name":"laughinghan","username":null},"content":"laughinghan joined #microformats"}
2016-05-22 05:47:10.181000 {"type":"join","timestamp":"1463896030.181000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"globbot","nickname":"globbot","name":"globbot","username":null},"content":"globbot joined #microformats"}
2016-05-22 05:58:20.094000 {"type":"message","timestamp":"1463896700.094000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[@SEOSEMprofit] Reviews: Author HReview Plugin http:\/\/www.InfignosMedia.com?CFID=2250311&CFTOKEN=39562373ff952e8f-6665851C-91C1-D3F3-77B1696A8B018831 #SEO (http:\/\/twtr.io\/1CrbQoaXC_8)"}
2016-05-22 06:27:05.817000 {"type":"join","timestamp":"1463898425.817000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"globbot","nickname":"globbot","name":"globbot","username":null},"content":"globbot joined #microformats"}
2016-05-22 06:39:46.643000 {"type":"join","timestamp":"1463899186.643000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"miklb","nickname":"miklb","name":"miklb","username":null},"content":"miklb joined #microformats"}
2016-05-22 08:16:35.162000 {"type":"join","timestamp":"1463904995.162000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"dogada","nickname":"dogada","name":"dogada","username":null},"content":"dogada joined #microformats"}
2016-05-22 09:26:05.242000 {"type":"join","timestamp":"1463909165.242000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"nitot","nickname":"nitot","name":"nitot","username":null},"content":"nitot joined #microformats"}
2016-05-22 13:39:56.529000 {"type":"join","timestamp":"1463924396.529000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"globbot","nickname":"globbot","name":"globbot","username":null},"content":"globbot joined #microformats"}
2016-05-22 18:07:18.764000 {"type":"join","timestamp":"1463940438.764000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"laughinghan","nickname":"laughinghan","name":"laughinghan","username":null},"content":"laughinghan joined #microformats"}
2016-05-22 18:21:50.866000 {"type":"join","timestamp":"1463941310.866000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"laughinghan","nickname":"laughinghan","name":"laughinghan","username":null},"content":"laughinghan joined #microformats"}
2016-05-22 19:54:23.790000 {"type":"join","timestamp":"1463946863.790000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"laughinghan","nickname":"laughinghan","name":"laughinghan","username":null},"content":"laughinghan joined #microformats"}
