2020-10-01 01:21:40.765100 {"type":"join","timestamp":1601515300.7651455,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[chrisaldrich]","nickname":"[chrisaldrich]","username":"~slackuser","name":null,"photo":"https:\/\/www.boffosocko.com\/logo.jpg","url":"http:\/\/boffosocko.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-10-01 01:34:40.882700 {"type":"join","timestamp":1601516080.8826818,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":"tantek via slack-irc-gateway","photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-10-01 02:15:32.349900 {"type":"join","timestamp":1601518532.3498812,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"beko","nickname":"beko","username":"~beko","name":"Bernd Kosmahl","photo":null,"url":null,"tz":null,"host":"tripskip.maxr.org"},"content":null,"modes":[]}
2020-10-01 02:55:50.627200 {"type":"join","timestamp":1601520950.6272461,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","username":"~kartik","name":"purple","photo":null,"url":null,"tz":null,"host":"216-59-73-10.static.firstlight.net"},"content":null,"modes":[]}
2020-10-01 04:31:20.955800 {"type":"join","timestamp":1601526680.9557536,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":"tantek via slack-irc-gateway","photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-10-01 04:40:30.941400 {"type":"join","timestamp":1601527230.9413688,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","username":"~kartik","name":"purple","photo":null,"url":null,"tz":null,"host":"216-59-73-10.static.firstlight.net"},"content":null,"modes":[]}
2020-10-01 06:50:20.826100 {"type":"join","timestamp":1601535020.8261487,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","username":"~kartik","name":"purple","photo":null,"url":null,"tz":null,"host":"216-59-73-10.static.firstlight.net"},"content":null,"modes":[]}
2020-10-01 06:55:22.468800 {"type":"join","timestamp":1601535322.4687893,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","username":"~kartik","name":"purple","photo":null,"url":null,"tz":null,"host":"216-59-73-10.static.firstlight.net"},"content":null,"modes":[]}
2020-10-01 07:21:12.461200 {"type":"join","timestamp":1601536872.461233,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[James_Gallaghe]","nickname":"[James_Gallaghe]","username":"~slackuser","name":"James_Gallaghe via slack-irc-gateway","photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-10-01 07:29:02.167900 {"type":"join","timestamp":1601537342.167851,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"fLaMEd","nickname":"fLaMEd","username":"~fLaMEd","name":null,"photo":null,"url":null,"tz":null,"host":"219.88.232.44"},"content":null,"modes":[]}
2020-10-01 08:07:30.737200 {"type":"join","timestamp":1601539650.737203,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"peterrother","nickname":"peterrother","username":"sid349822","name":"Peter Rother","photo":null,"url":null,"tz":null,"host":"gateway\/web\/irccloud.com\/x-jawqjzupnmcpmean"},"content":null,"modes":[]}
2020-10-01 08:07:30.747100 {"type":"join","timestamp":1601539650.7471175,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"ivc_","nickname":"ivc_","username":"ivc3","name":"ivc","photo":null,"url":null,"tz":null,"host":"elitus.x-pec.com"},"content":null,"modes":[]}
2020-10-01 08:09:39.429600 {"type":"join","timestamp":1601539779.4295766,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[Ana_Rodrigues]","nickname":"[Ana_Rodrigues]","username":"~slackuser","name":"Ana_Rodrigues via slack-irc-gateway","photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-10-01 08:51:55.659100 {"type":"join","timestamp":1601542315.659057,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"locutor99","nickname":"locutor99","username":"~webuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-10-01 09:10:13.002000 {"type":"join","timestamp":1601543413.0020282,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"ivc_","nickname":"ivc_","username":"ivc3","name":"ivc","photo":null,"url":null,"tz":null,"host":"elitus.x-pec.com"},"content":null,"modes":[]}
2020-10-01 09:10:13.011000 {"type":"join","timestamp":1601543413.0109963,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"peterrother","nickname":"peterrother","username":"sid349822","name":"Peter Rother","photo":null,"url":null,"tz":null,"host":"gateway\/web\/irccloud.com\/x-jawqjzupnmcpmean"},"content":null,"modes":[]}
2020-10-01 09:46:52.260100 {"type":"join","timestamp":1601545612.2601485,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","username":"~kartik","name":"purple","photo":null,"url":null,"tz":null,"host":"216-59-73-10.static.firstlight.net"},"content":null,"modes":[]}
2020-10-01 10:30:48.514200 {"type":"join","timestamp":1601548248.514155,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","username":"~kartik","name":"purple","photo":null,"url":null,"tz":null,"host":"216-59-73-10.static.firstlight.net"},"content":null,"modes":[]}
2020-10-01 10:36:27.554400 {"type":"join","timestamp":1601548587.5544274,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","username":"~kartik","name":"purple","photo":null,"url":null,"tz":null,"host":"216-59-73-10.static.firstlight.net"},"content":null,"modes":[]}
2020-10-01 10:38:08.644800 {"type":"join","timestamp":1601548688.6448152,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[mapkyca]","nickname":"[mapkyca]","username":"~slackuser","name":null,"photo":"https:\/\/www.marcus-povey.co.uk\/wp-content\/4879322645_3b0290d2b2_o.jpg","url":"http:\/\/marcus-povey.co.uk","tz":"Europe\/London","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-10-01 10:51:45.241300 {"type":"join","timestamp":1601549505.241347,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","username":"~kartik","name":"purple","photo":null,"url":null,"tz":null,"host":"216-59-73-10.static.firstlight.net"},"content":null,"modes":[]}
2020-10-01 11:06:48.038600 {"type":"join","timestamp":1601550408.0385973,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","username":"~kartik","name":"purple","photo":null,"url":null,"tz":null,"host":"216-59-73-10.static.firstlight.net"},"content":null,"modes":[]}
2020-10-01 11:10:51.999600 {"type":"join","timestamp":1601550651.999622,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"sebbu","nickname":"sebbu","username":"~sebbu","name":"sebbu","photo":null,"url":null,"tz":null,"host":"unaffiliated\/sebbu"},"content":null,"modes":[]}
2020-10-01 11:46:24.504600 {"type":"join","timestamp":1601552784.5046341,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","username":"~kartik","name":"purple","photo":null,"url":null,"tz":null,"host":"216-59-73-10.static.firstlight.net"},"content":null,"modes":[]}
2020-10-01 11:51:18.533700 {"type":"join","timestamp":1601553078.533732,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","username":"~kartik","name":"purple","photo":"https:\/\/lh3.googleusercontent.com\/-r3A9y0QWUGA\/T4XzCE5BhCI\/AAAAAAAAPRU\/zAXHDpcuuqg\/s50-c\/Recursion-small.jpg","url":"http:\/\/kartikprabhu.com","tz":"America\/New_York","host":"216-59-73-10.static.firstlight.net"},"content":null,"modes":[]}
