2020-10-20 02:29:45.287400 {"type":"join","timestamp":1603160985.2873676,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[fluffy]","nickname":"[fluffy]","username":"~slackuser","name":null,"photo":"https:\/\/beesbuzz.biz\/static\/headshot.jpg","url":"http:\/\/beesbuzz.biz","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-10-20 03:37:23.159000 {"type":"join","timestamp":1603165043.1590478,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"digiSal","nickname":"digiSal","username":"~webuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-10-20 09:28:04.439400 {"type":"join","timestamp":1603186084.439425,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"sebbu","nickname":"sebbu","username":"~sebbu","name":null,"photo":null,"url":null,"tz":null,"host":"unaffiliated\/sebbu"},"content":null,"modes":[]}
2020-10-20 09:34:20.072600 {"type":"join","timestamp":1603186460.0725636,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"jalcine[m]","nickname":"jalcine[m]","username":"jalcinekde","name":"@jalcine:kde.org","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-iemznkuthhhnovvm"},"content":null,"modes":[]}
2020-10-20 09:55:59.151900 {"type":"join","timestamp":1603187759.1518905,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"JK_na","nickname":"JK_na","username":"jknipponal","name":"@jk:nipponalba.scot","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-yslxagbcgegbxosq"},"content":null,"modes":[]}
2020-10-20 09:55:59.263200 {"type":"join","timestamp":1603187759.2632003,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"hirusi[m]","nickname":"hirusi[m]","username":"whitelight","name":"@whitelights:matrix.org","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-iolhgyezxxzfbfuh"},"content":null,"modes":[]}
2020-10-20 09:55:59.367700 {"type":"join","timestamp":1603187759.3676908,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"jamietanna[m]","nickname":"jamietanna[m]","username":"jamietanna","name":"@jamietanna:matrix.org","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-dcqmgrsiuiwxyvzf"},"content":null,"modes":[]}
2020-10-20 10:16:01.032000 {"type":"join","timestamp":1603188961.032008,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[chrisbergr]","nickname":"[chrisbergr]","username":"~slackuser","name":"chrisbergr via slack-irc-gateway","photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-10-20 10:37:20.486600 {"type":"join","timestamp":1603190240.4866238,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[chrisbergr]1","nickname":"[chrisbergr]1","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-10-20 12:22:23.520400 {"type":"join","timestamp":1603196543.520354,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"Alex13","nickname":"Alex13","username":"~webuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-10-20 14:11:05.596600 {"type":"join","timestamp":1603203065.596636,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[bthooper]","nickname":"[bthooper]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-10-20 14:16:21.093300 {"type":"join","timestamp":1603203381.093275,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[Rose]","nickname":"[Rose]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
