2020-09-16 00:24:52.221400 {"type":"join","timestamp":1600215892.2213902,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[schmarty]","nickname":"[schmarty]","username":"~slackuser","name":null,"photo":"https:\/\/martymcgui.re\/img\/logo.jpg","url":"http:\/\/martymcgui.re","tz":"America\/New_York","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-09-16 00:48:15.646000 {"type":"join","timestamp":1600217295.6460018,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[Emma_Humphries]","nickname":"[Emma_Humphries]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-09-16 01:31:24.721000 {"type":"join","timestamp":1600219884.721011,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[chrisaldrich]","nickname":"[chrisaldrich]","username":"~slackuser","name":null,"photo":"https:\/\/www.boffosocko.com\/logo.jpg","url":"http:\/\/boffosocko.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-09-16 03:15:59.212700 {"type":"join","timestamp":1600226159.2127042,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[snarfed]","nickname":"[snarfed]","username":"~slackuser","name":null,"photo":null,"url":"http:\/\/snarfed.org","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-09-16 05:09:13.969700 {"type":"join","timestamp":1600232953.969713,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"lava2","nickname":"lava2","username":"~quassel","name":null,"photo":null,"url":null,"tz":null,"host":"169-1-140-217.ip.afrihost.co.za"},"content":null,"modes":[]}
2020-09-16 05:20:04.817700 {"type":"message","timestamp":1600233604.8176541,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null,"host":null},"content":"[@EdLyons19] In a unmarked airoplane direct to iran officials. Hole deal was  ELEGAL against americas laws dealing withknown   TRRRIOST with palosies approval from house realease of funds also exchange of american dollars to foreign dollars generated extra overfow of funds distributed to (https:\/\/twitter.com\/_\/status\/1306100386462302211)","modes":[]}
2020-09-16 05:21:30.627500 {"type":"message","timestamp":1600233690.6275175,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[chrisaldrich]","nickname":"[chrisaldrich]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":"*sigh*","modes":[]}
2020-09-16 05:31:49.122800 {"type":"join","timestamp":1600234309.1227694,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[tw2113]","nickname":"[tw2113]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-09-16 06:44:49.846200 {"type":"join","timestamp":1600238689.8462162,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[mapkyca]","nickname":"[mapkyca]","username":"~slackuser","name":null,"photo":"https:\/\/www.marcus-povey.co.uk\/wp-content\/4879322645_3b0290d2b2_o.jpg","url":"http:\/\/marcus-povey.co.uk","tz":"Europe\/London","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-09-16 06:44:50.459500 {"type":"message","timestamp":1600238690.459493,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[mapkyca]","nickname":"[mapkyca]","username":"~slackuser","name":null,"photo":"https:\/\/www.marcus-povey.co.uk\/wp-content\/4879322645_3b0290d2b2_o.jpg","url":"http:\/\/marcus-povey.co.uk","tz":"Europe\/London","host":"chat.indieweb.org"},"content":"I\u2019m not sure if it\u2019s just because I\u2019ve been staring at research applications for too long, but TRRRIOST looks like the name someone would give to an EC high energy physics project","modes":[]}
2020-09-16 07:21:46.416300 {"type":"message","timestamp":1600240906.4162753,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"sknebel","nickname":"sknebel","username":"~quassel","name":"sknebel","photo":null,"url":null,"tz":null,"host":"v22016013254630973.happysrv.de"},"content":"\ud83d\ude02","modes":[]}
2020-09-16 07:29:55.724200 {"type":"join","timestamp":1600241395.7241762,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"supercoven","nickname":"supercoven","username":"~Supercove","name":null,"photo":null,"url":null,"tz":null,"host":"dsl-hkibng32-54fb54-166.dhcp.inet.fi"},"content":null,"modes":[]}
2020-09-16 07:31:19.334600 {"type":"join","timestamp":1600241479.3345828,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[Chris_Bongers]","nickname":"[Chris_Bongers]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-09-16 07:38:50.384500 {"type":"join","timestamp":1600241930.384501,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[James_Gallaghe]","nickname":"[James_Gallaghe]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-09-16 07:40:37.663900 {"type":"join","timestamp":1600242037.6639338,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"jeremycherfas","nickname":"jeremycherfas","username":"~jeremy","name":null,"photo":"https:\/\/www.jeremycherfas.net\/user\/themes\/mytheme\/images\/zoot.jpg","url":"http:\/\/jeremycherfas.net","tz":"Europe\/Rome","host":"jeremy.powered.by.lunarbnc.net"},"content":null,"modes":[]}
2020-09-16 07:42:49.676800 {"type":"join","timestamp":1600242169.6768043,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"jeremycherfas","nickname":"jeremycherfas","username":"~jeremy","name":null,"photo":"https:\/\/www.jeremycherfas.net\/user\/themes\/mytheme\/images\/zoot.jpg","url":"http:\/\/jeremycherfas.net","tz":"Europe\/Rome","host":"jeremy.powered.by.lunarbnc.net"},"content":null,"modes":[]}
