2018-01-08 00:11:46.275500 {"type":"join","timestamp":1515370306.2755,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[miklb]","nickname":"[miklb]","username":"~slackuser","name":null,"photo":"http:\/\/cdn.miklb.com\/images\/profile_4_16.jpg","url":"http:\/\/miklb.com","tz":"America\/New_York"},"content":null,"modes":[]}
2018-01-08 00:16:12.840100 {"type":"join","timestamp":1515370572.8401,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"wakest","nickname":"wakest","username":"wakestmatr","name":"@wakest:matrix.org","photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-01-08 00:34:10.093500 {"type":"join","timestamp":1515371650.0935,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"raucao","nickname":"raucao","username":"~raucao","name":"Basti","photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-01-08 00:39:55.310900 {"type":"join","timestamp":1515371995.3109,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"schmarty","nickname":"schmarty","username":"martymaktr","name":"@marty:maktro.net","photo":"https:\/\/martymcgui.re\/img\/logo.jpg","url":"http:\/\/martymcgui.re","tz":"US\/Eastern"},"content":null,"modes":[]}
2018-01-08 00:39:55.382400 {"type":"join","timestamp":1515371995.3824,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"pvagner","nickname":"pvagner","username":"pvagnerpva","name":"@pvagner:pvagner.tk","photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-01-08 00:39:55.380000 {"type":"join","timestamp":1515371995.38,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"jaduncan[m]","nickname":"jaduncan[m]","username":"jaduncanma","name":"@jaduncan:matrix.org","photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-01-08 00:39:55.898800 {"type":"join","timestamp":1515371995.8988,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"plindner","nickname":"plindner","username":"lindnermat","name":"@lindner:matrix.org","photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-01-08 02:01:09.587300 {"type":"join","timestamp":1515376869.5873,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"devsl","nickname":"devsl","username":"~webuser","name":null,"photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-01-08 03:27:20.258600 {"type":"join","timestamp":1515382040.2586,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[kevinmarks]","nickname":"[kevinmarks]","username":"~slackuser","name":null,"photo":"http:\/\/www.kevinmarks.com\/km.jpg","url":"http:\/\/kevinmarks.com","tz":"Europe\/London"},"content":null,"modes":[]}
2018-01-08 03:48:08.839000 {"type":"join","timestamp":1515383288.839,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"tantek","nickname":"tantek","username":"~tantek","name":"Tantek \u00c7elik","photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-01-08 04:00:04.039500 {"type":"join","timestamp":1515384004.0395,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"hobbsome","nickname":"hobbsome","username":"~webuser","name":null,"photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-01-08 05:11:41.324900 {"type":"join","timestamp":1515388301.3249,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"tantek","nickname":"tantek","username":"~tantek","name":"Tantek \u00c7elik","photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-01-08 05:52:52.916500 {"type":"join","timestamp":1515390772.9165,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"tantek","nickname":"tantek","username":"~tantek","name":"Tantek \u00c7elik","photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-01-08 06:04:27.392100 {"type":"join","timestamp":1515391467.3921,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"tantek","nickname":"tantek","username":"~tantek","name":"Tantek \u00c7elik","photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-01-08 06:48:57.548900 {"type":"join","timestamp":1515394137.5489,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"tantek","nickname":"tantek","username":"~tantek","name":"Tantek \u00c7elik","photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-01-08 07:05:48.970500 {"type":"join","timestamp":1515395148.9705,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"tantek","nickname":"tantek","username":"~tantek","name":"Tantek \u00c7elik","photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-01-08 07:56:40.876900 {"type":"join","timestamp":1515398200.8769,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"tantek","nickname":"tantek","username":"~tantek","name":"Tantek \u00c7elik","photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-01-08 09:09:25.812000 {"type":"join","timestamp":1515402565.812,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"loicm","nickname":"loicm","username":"~bballizli","name":null,"photo":null,"url":null,"tz":null},"content":null,"modes":[]}
