2018-09-29 00:03:39.036400 {"type":"join","timestamp":1538179419.0364,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"[kevinmarks]","nickname":"[kevinmarks]","username":"~slackuser","name":null,"photo":"http:\/\/www.kevinmarks.com\/km.jpg","url":"http:\/\/kevinmarks.com","tz":"Europe\/London"},"content":null,"modes":[]}
2018-09-29 00:10:42.565200 {"type":"message","timestamp":1538179842.5652,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"GWG","nickname":"GWG","username":"~GWG","name":"GWG","photo":"https:\/\/david.shanske.com\/wp-content\/uploads\/avatar-privacy\/cache\/gravatar\/2\/c\/2cb1f8afd9c8d3b646b4071c5ed887c970d81d625eeed87e447706940e2c403d-125.png","url":"http:\/\/david.shanske.com","tz":"America\/New_York"},"content":"I am at the diner down the street","modes":["voice"]}
2018-09-29 00:20:28.428100 {"type":"join","timestamp":1538180428.4281,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"benwerd","nickname":"benwerd","username":"~benwerd","name":null,"photo":"http:\/\/werd.io\/file\/538d0a4cbed7de5111a1ad31\/thumb.jpg","url":"http:\/\/Werd.io","tz":"America\/Los_Angeles"},"content":null,"modes":[]}
2018-09-29 00:23:09.294400 {"type":"join","timestamp":1538180589.2944,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"benwerd","nickname":"benwerd","username":"~benwerd","name":null,"photo":"http:\/\/werd.io\/file\/538d0a4cbed7de5111a1ad31\/thumb.jpg","url":"http:\/\/Werd.io","tz":"America\/Los_Angeles"},"content":null,"modes":[]}
2018-09-29 00:57:32.513600 {"type":"message","timestamp":1538182652.5136,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":"US\/Pacific"},"content":"[@bmann] My IndieWeb tooling adventure continues! A post via Omnibear. https:\/\/omnibear.com (http:\/\/twtr.io\/1imeeZNpKD5)","modes":[]}
2018-09-29 01:18:29.539300 {"type":"message","timestamp":1538183909.5393,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":"http:\/\/loqi.me\/logo\/loqisaur.png","url":"http:\/\/loqi.me","tz":"US\/Pacific"},"content":"\u000314[[\u000307publ micropub client\u000314]]\u00034 !N\u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?oldid=52197&rcid=52061\u0003 \u00035*\u0003 \u000303Gregorlove.com\u0003 \u00035*\u0003 (+612) \u000310disambiguation\u0003\n","modes":[]}
2018-09-29 01:20:44.158000 {"type":"message","timestamp":1538184044.158,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":"http:\/\/loqi.me\/logo\/loqisaur.png","url":"http:\/\/loqi.me","tz":"US\/Pacific"},"content":"\u000314[[\u000307Publ CMS\u000314]]\u00034 !N\u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?oldid=52198&rcid=52062\u0003 \u00035*\u0003 \u000303Gregorlove.com\u0003 \u00035*\u0003 (+175) \u000310disambiguation\u0003\n","modes":[]}
2018-09-29 01:21:39.257500 {"type":"message","timestamp":1538184099.2575,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":"http:\/\/loqi.me\/logo\/loqisaur.png","url":"http:\/\/loqi.me","tz":"US\/Pacific"},"content":"\u000314[[\u000307publ\u000314]]\u00034 !\u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=52199&oldid=52194&rcid=52063\u0003 \u00035*\u0003 \u000303Gregorlove.com\u0003 \u00035*\u0003 (\u0002-535\u0002) \u000310disambiguation\u0003\n","modes":[]}
2018-09-29 01:45:56.780000 {"type":"message","timestamp":1538185556.78,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null},"content":"[@jgmac1106] I just published \u201cMy Goals For #IndieWebCamp NYC: #OpenBadges Endorsement at the DNS Level\u201d https:\/\/medium.com\/p\/my-goals-for-indiewebcamp-nyc-openbadges-endorsement-at-the-dns-level-757f7456b632 (http:\/\/twtr.io\/1imj0r4VbdQ)","modes":[]}
2018-09-29 02:40:47.460100 {"type":"message","timestamp":1538188847.4601,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null},"content":"\u000314[[\u000307assertion\u000314]]\u00034 !\u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=52200&oldid=52182&rcid=52064\u0003 \u00035*\u0003 \u000303David.shanske.com\u0003 \u00035*\u0003 (+172) \u000310\/* Brainstorming *\/\u0003\n","modes":[]}
2018-09-29 02:51:11.568100 {"type":"join","timestamp":1538189471.5681,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"benwerd","nickname":"benwerd","username":"~benwerd","name":null,"photo":"http:\/\/werd.io\/file\/538d0a4cbed7de5111a1ad31\/thumb.jpg","url":"http:\/\/Werd.io","tz":"America\/Los_Angeles"},"content":null,"modes":[]}
