2018-07-28 00:36:16.860700 {"type":"join","timestamp":1532738176.8607,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"[cleverdevil]","nickname":"[cleverdevil]","username":"~slackuser","name":null,"photo":"http:\/\/cleverdevil.io\/file\/aebc8830bb7d63be725f43949ed90fa4\/thumb.jpg","url":"http:\/\/cleverdevil.io","tz":"America\/Los_Angeles"},"content":null,"modes":[]}
2018-07-28 01:09:57.674900 {"type":"join","timestamp":1532740197.6749,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"tantek__","nickname":"tantek__","username":"d0479fc2","name":"50.0.92.91 - http:\/\/webchat.freenode.net","photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-07-28 02:13:40.776300 {"type":"join","timestamp":1532744020.7763,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"tantek__","nickname":"tantek__","username":"68015b2c","name":"50.0.92.91 - http:\/\/webchat.freenode.net","photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-07-28 02:38:49.365000 {"type":"join","timestamp":1532745529.365,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"[snarfed]","nickname":"[snarfed]","username":"~slackuser","name":null,"photo":"https:\/\/twitter.com\/schnarfed\/profile_image","url":"http:\/\/snarfed.org","tz":"America\/Los_Angeles"},"content":null,"modes":[]}
2018-07-28 03:24:20.564900 {"type":"join","timestamp":1532748260.5649,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"donblanco","nickname":"donblanco","username":"~kvirc","name":null,"photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-07-28 03:25:59.830600 {"type":"join","timestamp":1532748359.8306,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"donblanco1","nickname":"donblanco1","username":"~webuser","name":null,"photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-07-28 03:26:00.165600 {"type":"message","timestamp":1532748360.1656,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"donblanco1","nickname":"donblanco1","username":"~webuser","name":null,"photo":null,"url":null,"tz":null},"content":"found it! I feel like a genius. All draft GoodReads import entries are now post_kind of 'read' - yay","modes":[]}
2018-07-28 03:26:01.085200 {"type":"message","timestamp":1532748361.0852,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":"http:\/\/loqi.me\/logo\/loqisaur.png","url":"http:\/\/loqi.me","tz":"US\/Pacific"},"content":"woot","modes":[]}
2018-07-28 03:26:43.632700 {"type":"message","timestamp":1532748403.6327,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"donblanco","nickname":"donblanco","username":"~kvirc","name":null,"photo":null,"url":null,"tz":null},"content":"now I get to edit the PHP to display all the new custom fields. And the CSS. Ugh.","modes":[]}
2018-07-28 03:34:56.666700 {"type":"message","timestamp":1532748896.6667,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"dougbeal","nickname":"dougbeal","username":"~dougbeal","name":null,"photo":"http:\/\/gravatar.com\/avatar\/4aef6f46cd0c5c51bbf5c15d4e66b35e.png","url":"http:\/\/dougbeal.com","tz":"US\/Pacific"},"content":"donblanco++ nice","modes":["voice"]}
2018-07-28 03:34:56.691100 {"type":"message","timestamp":1532748896.6911,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":"http:\/\/loqi.me\/logo\/loqisaur.png","url":"http:\/\/loqi.me","tz":"US\/Pacific"},"content":"donblanco has 1 karma","modes":[]}
2018-07-28 03:40:44.563300 {"type":"message","timestamp":1532749244.5633,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"donblanco","nickname":"donblanco","username":"~kvirc","name":null,"photo":null,"url":null,"tz":null},"content":"did a brief outline\/write-up https:\/\/glenn.thedixons.net\/how-to-import-your-goodreads-list-into-wordpress-for-free\/","modes":[]}
2018-07-28 03:45:56.376600 {"type":"message","timestamp":1532749556.3766,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"dougbeal","nickname":"dougbeal","username":"~dougbeal","name":null,"photo":"http:\/\/gravatar.com\/avatar\/4aef6f46cd0c5c51bbf5c15d4e66b35e.png","url":"http:\/\/dougbeal.com","tz":"US\/Pacific"},"content":"I want to write OwnYourReads so I can go kindle->goodreads->blog","modes":["voice"]}
2018-07-28 04:14:16.521600 {"type":"message","timestamp":1532751256.5216,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"donblanco","nickname":"donblanco","username":"~kvirc","name":null,"photo":null,"url":null,"tz":null},"content":"@dougbeal Please do! Include markup so all the fields display. That part is Killing me. Can't find where Mr. Shanske hid that part of the code.","modes":[]}
2018-07-28 04:33:59.924800 {"type":"message","timestamp":1532752439.9248,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"GWG","nickname":"GWG","username":"~GWG","name":"GWG","photo":"https:\/\/david.shanske.com\/wp-content\/uploads\/2017\/06\/David-Shanske_avatar_1498011060-125x125.png","url":"http:\/\/david.shanske.com","tz":"America\/New_York"},"content":" hiding?","modes":["voice"]}
2018-07-28 05:07:05.138000 {"type":"join","timestamp":1532754425.138,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"[snarfed]","nickname":"[snarfed]","username":"~slackuser","name":null,"photo":"https:\/\/twitter.com\/schnarfed\/profile_image","url":"http:\/\/snarfed.org","tz":"America\/Los_Angeles"},"content":null,"modes":[]}
2018-07-28 06:11:19.745200 {"type":"join","timestamp":1532758279.7452,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"[xavierroy]","nickname":"[xavierroy]","username":"~slackuser","name":null,"photo":null,"url":"http:\/\/xavierroy.com","tz":"Asia\/Chennai"},"content":null,"modes":[]}
2018-07-28 06:11:19.794000 {"type":"message","timestamp":1532758279.794,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"[xavierroy]","nickname":"[xavierroy]","username":"~slackuser","name":null,"photo":null,"url":"http:\/\/xavierroy.com","tz":"Asia\/Chennai"},"content":"@donblanco++","modes":[]}
2018-07-28 06:11:19.830700 {"type":"message","timestamp":1532758279.8307,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null},"content":"donblanco has 2 karma","modes":[]}
2018-07-28 06:11:29.213100 {"type":"message","timestamp":1532758289.2131,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"[xavierroy]","nickname":"[xavierroy]","username":"~slackuser","name":null,"photo":null,"url":"http:\/\/xavierroy.com","tz":"Asia\/Chennai"},"content":"donblanco++","modes":["voice"]}
2018-07-28 06:32:31.361300 {"type":"message","timestamp":1532759551.3613,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"jeremych-","nickname":"jeremych-","username":"jeremycher","name":"jeremycherfas","photo":null,"url":null,"tz":null},"content":"!tell dougbeal I do Kindle > website > Goodreads by hand because it gives me more control as I write the review on my own site.","modes":[]}
2018-07-28 06:32:31.543600 {"type":"message","timestamp":1532759551.5436,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":"http:\/\/loqi.me\/logo\/loqisaur.png","url":"http:\/\/loqi.me","tz":"US\/Pacific"},"content":"Ok, I'll tell them that when I see them next","modes":[]}
2018-07-28 07:48:27.780000 {"type":"join","timestamp":1532764107.78,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"jeremycherfas","nickname":"jeremycherfas","username":"~textual","name":"jeremycherfas","photo":"https:\/\/vaviblog.com\/file\/d9b90caf00a8b8fb5f95f920696557e8\/jeremycherfas-avatar.jpg","url":"http:\/\/jeremycherfas.net","tz":"Europe\/Rome"},"content":null,"modes":[]}
2018-07-28 08:30:38.757600 {"type":"join","timestamp":1532766638.7576,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"tantek__","nickname":"tantek__","username":"68015b2c","name":"50.0.92.91 - http:\/\/webchat.freenode.net","photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-07-28 09:56:48.723700 {"type":"join","timestamp":1532771808.7237,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"jgmac1106_","nickname":"jgmac1106_","username":"~mcverryj1","name":null,"photo":null,"url":null,"tz":null},"content":null,"modes":[]}
