2019-03-30 00:10:03.607700 {"type":"join","timestamp":1553904603.6077,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"nitot","nickname":"nitot","username":"~nitot","name":"Tristan Nitot","photo":null,"url":"http:\/\/standblog.org","tz":"Europe\/Paris","host":"2a01:e35:8bfa:a0c0:9c3d:8c4e:3943:422a"},"content":null,"modes":[]}
2019-03-30 00:14:53.297900 {"type":"join","timestamp":1553904893.2979,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"swibble","nickname":"swibble","username":"~swibble","name":null,"photo":null,"url":null,"tz":null,"host":"cpe-67-247-131-197.rochester.res.rr.com"},"content":null,"modes":[]}
2019-03-30 00:15:44.790200 {"type":"leave","timestamp":1553904944.7902,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"swibble","nickname":"swibble","username":"~swibble","name":null,"photo":null,"url":null,"tz":null,"host":"cpe-67-247-131-197.rochester.res.rr.com"},"content":null,"modes":[]}
2019-03-30 00:21:11.566500 {"type":"join","timestamp":1553905271.5665,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"iasai","nickname":"iasai","username":"~iasai","name":"iasai","photo":null,"url":null,"tz":null,"host":"cm-2214.cable.globalnet.hr"},"content":null,"modes":[]}
2019-03-30 00:26:07.156000 {"type":"join","timestamp":1553905567.156,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[kevinmarks]","nickname":"[kevinmarks]","username":"~slackuser","name":null,"photo":"http:\/\/www.kevinmarks.com\/km.jpg","url":"http:\/\/kevinmarks.com","tz":"Europe\/London","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-03-30 00:30:30.115500 {"type":"join","timestamp":1553905830.1155,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"seekr","nickname":"seekr","username":"~seekr","name":"seekr","photo":null,"url":null,"tz":null,"host":"209.6.195.202"},"content":null,"modes":[]}
2019-03-30 00:30:30.298800 {"type":"join","timestamp":1553905830.2988,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"seekr","nickname":"seekr","username":"~seekr","name":"seekr","photo":null,"url":null,"tz":null,"host":"209.6.195.202"},"content":null,"modes":[]}
2019-03-30 00:33:15.265600 {"type":"join","timestamp":1553905995.2656,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","username":"~kartik","name":"purple","photo":null,"url":null,"tz":null,"host":"careybuilding.fltg.net"},"content":null,"modes":[]}
2019-03-30 01:02:01.188700 {"type":"join","timestamp":1553907721.1887,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"snarfed","nickname":"snarfed","username":"~Adium","name":"Ryan Barrett","photo":null,"url":"http:\/\/snarfed.org","tz":"America\/Los_Angeles","host":"2601:645:1:3ec0:ec58:ccd1:a53c:d71b"},"content":null,"modes":[]}
2019-03-30 01:20:30.058900 {"type":"join","timestamp":1553908830.0589,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"snarfed","nickname":"snarfed","username":"~Adium","name":"Ryan Barrett","photo":null,"url":"http:\/\/snarfed.org","tz":"America\/Los_Angeles","host":"2601:645:1:3ec0:1c2b:f9d7:7348:2598"},"content":null,"modes":[]}
2019-03-30 01:25:39.215700 {"type":"join","timestamp":1553909139.2157,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"wolftune","nickname":"wolftune","username":"~aaron","name":"Aaron Wolf","photo":null,"url":"http:\/\/wolftune.com","tz":"America\/Los_Angeles","host":"71-36-101-221.ptld.qwest.net"},"content":null,"modes":[]}
