2019-07-22 00:04:37.589400 {"type":"join","timestamp":1563753877.5894,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","username":"~kartik","name":"purple","photo":null,"url":null,"tz":null,"host":"careybuilding.fltg.net"},"content":null,"modes":[]}
2019-07-22 01:45:26.622700 {"type":"join","timestamp":1563759926.6227,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"rawtext","nickname":"rawtext","username":"60e92a9c","name":null,"photo":null,"url":null,"tz":null,"host":"pool-96-233-42-156.bstnma.fios.verizon.net"},"content":null,"modes":[]}
2019-07-22 01:47:28.622000 {"type":"join","timestamp":1563760048.622,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"rawtext","nickname":"rawtext","username":"60e92a9c","name":null,"photo":null,"url":null,"tz":null,"host":"pool-96-233-42-156.bstnma.fios.verizon.net"},"content":null,"modes":[]}
2019-07-22 02:05:07.740400 {"type":"join","timestamp":1563761107.7404,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[dogeared]","nickname":"[dogeared]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-07-22 02:09:50.484000 {"type":"join","timestamp":1563761390.484,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"ben_thatmustbeme","nickname":"ben_thatmustbeme","username":"~quassel","name":"Ben Roberts","photo":null,"url":null,"tz":null,"host":"c-76-118-213-88.hsd1.ma.comcast.net"},"content":null,"modes":[]}
2019-07-22 02:46:24.451300 {"type":"join","timestamp":1563763584.4513,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[Michael_Beckwit","nickname":"[Michael_Beckwit","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-07-22 03:07:01.648800 {"type":"join","timestamp":1563764821.6488,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"rawtext","nickname":"rawtext","username":"4d6ff7aa","name":null,"photo":null,"url":null,"tz":null,"host":"77.111.247.170"},"content":null,"modes":[]}
2019-07-22 05:03:20.605200 {"type":"join","timestamp":1563771800.6052,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[xavierroy]","nickname":"[xavierroy]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-07-22 05:30:36.444400 {"type":"join","timestamp":1563773436.4444,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[tonz]","nickname":"[tonz]","username":"~slackuser","name":null,"photo":"https:\/\/www.zylstra.org\/wp\/wp-content\/uploads\/2012\/03\/AntonZijlstra_TheGreenLand-150x150.jpg","url":"http:\/\/www.zylstra.org_blog","tz":"Europe\/Amsterdam","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-07-22 07:12:02.539500 {"type":"join","timestamp":1563779522.5395,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[Rose]","nickname":"[Rose]","username":"~slackuser","name":null,"photo":"https:\/\/i0.wp.com\/rosemaryorchard.com\/wp-content\/uploads\/2019\/03\/igazPjBx.jpg","url":"http:\/\/rosemaryorchard.com","tz":"Europe\/Austria","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-07-22 07:53:28.751600 {"type":"join","timestamp":1563782008.7516,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"galaxie","nickname":"galaxie","username":"~weechat","name":"weechat","photo":null,"url":null,"tz":null,"host":"gateway\/tor-sasl\/galaxie"},"content":null,"modes":[]}
