2020-05-27 00:19:01.006300 {"type":"join","timestamp":1590538741.0062804,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"gRegorLove","nickname":"gRegorLove","username":"~gRegorLov","name":null,"photo":null,"url":null,"tz":null,"host":"2600:8801:9200:3280:1112:6642:c737:f855"},"content":null,"modes":[]}
2020-05-27 00:56:13.072600 {"type":"message","timestamp":1590540973.072584,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"jacky","nickname":"jacky","username":"~jacky","name":"Jacky Alcine","photo":null,"url":null,"tz":null,"host":"unaffiliated\/webjadmin"},"content":"I just tried making an account for http:\/\/microformats.org and I got an error about a verification code","modes":[]}
2020-05-27 00:56:38.916500 {"type":"message","timestamp":1590540998.9164803,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"jacky","nickname":"jacky","username":"~jacky","name":"Jacky Alcine","photo":null,"url":null,"tz":null,"host":"unaffiliated\/webjadmin"},"content":"https:\/\/i.imgur.com\/iwb8FUg.png","modes":[]}
2020-05-27 00:58:06.596200 {"type":"message","timestamp":1590541086.5962033,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","username":"~kartik","name":"purple","photo":null,"url":null,"tz":null,"host":"216-59-73-10.static.firstlight.net"},"content":"yuo known issue","modes":[]}
2020-05-27 00:58:22.924500 {"type":"message","timestamp":1590541102.9245498,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","username":"~kartik","name":"purple","photo":null,"url":null,"tz":null,"host":"216-59-73-10.static.firstlight.net"},"content":"the backend needs to be replaced by someone","modes":[]}
2020-05-27 00:59:07.284000 {"type":"message","timestamp":1590541147.2839932,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"jacky","nickname":"jacky","username":"~jacky","name":"Jacky Alcine","photo":null,"url":null,"tz":null,"host":"unaffiliated\/webjadmin"},"content":"hm","modes":[]}
2020-05-27 01:00:24.477300 {"type":"message","timestamp":1590541224.4772742,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"jacky","nickname":"jacky","username":"~jacky","name":"Jacky Alcine","photo":null,"url":null,"tz":null,"host":"unaffiliated\/webjadmin"},"content":"how long has that been outstanding?","modes":[]}
2020-05-27 01:00:37.163500 {"type":"message","timestamp":1590541237.1635287,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","username":"~kartik","name":"purple","photo":null,"url":null,"tz":null,"host":"216-59-73-10.static.firstlight.net"},"content":"few years?","modes":[]}
2020-05-27 01:00:45.596500 {"type":"join","timestamp":1590541245.5964808,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[chrisaldrich]","nickname":"[chrisaldrich]","username":"~slackuser","name":null,"photo":"https:\/\/www.boffosocko.com\/logo.jpg","url":"http:\/\/boffosocko.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-05-27 01:00:53.023200 {"type":"message","timestamp":1590541253.0231743,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"jacky","nickname":"jacky","username":"~jacky","name":"Jacky Alcine","photo":null,"url":null,"tz":null,"host":"unaffiliated\/webjadmin"},"content":"sheesh","modes":[]}
2020-05-27 01:01:19.788300 {"type":"message","timestamp":1590541279.788317,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","username":"~kartik","name":"purple","photo":null,"url":null,"tz":null,"host":"216-59-73-10.static.firstlight.net"},"content":"you could volunteer (?)","modes":[]}
2020-05-27 01:02:13.912700 {"type":"message","timestamp":1590541333.912681,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"jacky","nickname":"jacky","username":"~jacky","name":"Jacky Alcine","photo":null,"url":null,"tz":null,"host":"unaffiliated\/webjadmin"},"content":"sure - is there something\/somewhere this issue is tracked?","modes":[]}
2020-05-27 01:02:23.239600 {"type":"message","timestamp":1590541343.2396178,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"jacky","nickname":"jacky","username":"~jacky","name":"Jacky Alcine","photo":null,"url":null,"tz":null,"host":"unaffiliated\/webjadmin"},"content":"just to prevent repeating past mistakes","modes":[]}
2020-05-27 01:04:21.090200 {"type":"message","timestamp":1590541461.090203,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","username":"~kartik","name":"purple","photo":null,"url":null,"tz":null,"host":"216-59-73-10.static.firstlight.net"},"content":"maybe github?","modes":[]}
2020-05-27 01:05:11.104700 {"type":"message","timestamp":1590541511.1046667,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"jacky","nickname":"jacky","username":"~jacky","name":"Jacky Alcine","photo":null,"url":null,"tz":null,"host":"unaffiliated\/webjadmin"},"content":"nope","modes":[]}
2020-05-27 01:05:36.991400 {"type":"message","timestamp":1590541536.991426,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","username":"~kartik","name":"purple","photo":null,"url":null,"tz":null,"host":"216-59-73-10.static.firstlight.net"},"content":"yeah can't find it either. Mostly it is migrating media wiki setup and all that","modes":[]}
2020-05-27 01:05:43.166600 {"type":"message","timestamp":1590541543.1665666,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","username":"~kartik","name":"purple","photo":null,"url":null,"tz":null,"host":"216-59-73-10.static.firstlight.net"},"content":"aaronpk might know more","modes":[]}
2020-05-27 01:06:04.777300 {"type":"message","timestamp":1590541564.7773006,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","username":"~kartik","name":"purple","photo":null,"url":null,"tz":null,"host":"216-59-73-10.static.firstlight.net"},"content":"and also migrating all the content","modes":[]}
2020-05-27 01:06:29.752300 {"type":"message","timestamp":1590541589.7522657,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"jacky","nickname":"jacky","username":"~jacky","name":"Jacky Alcine","photo":null,"url":null,"tz":null,"host":"unaffiliated\/webjadmin"},"content":"grr okay","modes":[]}
2020-05-27 01:06:35.089300 {"type":"message","timestamp":1590541595.0893166,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"jacky","nickname":"jacky","username":"~jacky","name":"Jacky Alcine","photo":null,"url":null,"tz":null,"host":"unaffiliated\/webjadmin"},"content":"that kinda sounds like a weekend project tbh","modes":[]}
2020-05-27 01:49:59.268100 {"type":"message","timestamp":1590544199.2681296,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"aaronpk","nickname":"aaronpk","username":"~aaronpk","name":"aaronpk","photo":null,"url":null,"tz":null,"host":"electra.pin13.net"},"content":"It's maybe a double team weekend project","modes":["op"]}
2020-05-27 01:50:06.076100 {"type":"message","timestamp":1590544206.0760849,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"aaronpk","nickname":"aaronpk","username":"~aaronpk","name":"aaronpk","photo":null,"url":null,"tz":null,"host":"electra.pin13.net"},"content":"there's some advance work that could use some help","modes":["op"]}
2020-05-27 01:50:56.096200 {"type":"message","timestamp":1590544256.0962327,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"aaronpk","nickname":"aaronpk","username":"~aaronpk","name":"aaronpk","photo":null,"url":null,"tz":null,"host":"electra.pin13.net"},"content":"http:\/\/microformats.org\/wiki\/admin-to-do#server_migration_project","modes":["op"]}
2020-05-27 01:51:43.502700 {"type":"message","timestamp":1590544303.5027075,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"aaronpk","nickname":"aaronpk","username":"~aaronpk","name":"aaronpk","photo":null,"url":null,"tz":null,"host":"electra.pin13.net"},"content":"I could be convinced to dedicate a weekend and pair program this up with you if you want Jacky. We could even livestream it to hold ourselves accountable","modes":["op"]}
