2020-08-08 00:30:11.409400 {"type":"join","timestamp":1596846611.4093874,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[schmarty]","nickname":"[schmarty]","username":"~slackuser","name":null,"photo":"https:\/\/martymcgui.re\/img\/logo.jpg","url":"http:\/\/martymcgui.re","tz":"America\/New_York","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-08-08 00:30:35.041900 {"type":"join","timestamp":1596846635.0418527,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"dagelf","nickname":"dagelf","username":"~quassel","name":null,"photo":null,"url":null,"tz":null,"host":"169-1-134-26.ip.afrihost.co.za"},"content":null,"modes":[]}
2020-08-08 00:46:01.420900 {"type":"join","timestamp":1596847561.420868,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[fluffy]","nickname":"[fluffy]","username":"~slackuser","name":null,"photo":"https:\/\/beesbuzz.biz\/static\/headshot.jpg","url":"http:\/\/beesbuzz.biz","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-08-08 00:46:26.450400 {"type":"join","timestamp":1596847586.4503713,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":"tantek via slack-irc-gateway","photo":"http:\/\/tantek.com\/logo.jpg","url":"http:\/\/Tantek.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-08-08 01:15:56.645600 {"type":"join","timestamp":1596849356.645562,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"justache","nickname":"justache","username":"~justache","name":"The Lounge User","photo":null,"url":null,"tz":null,"host":"unaffiliated\/justache"},"content":null,"modes":[]}
2020-08-08 02:45:44.577700 {"type":"join","timestamp":1596854744.5776772,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[tb]","nickname":"[tb]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-08-08 02:59:34.801900 {"type":"join","timestamp":1596855574.8019307,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":"tantek via slack-irc-gateway","photo":"http:\/\/tantek.com\/logo.jpg","url":"http:\/\/Tantek.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-08-08 03:55:14.994200 {"type":"join","timestamp":1596858914.9941847,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[chrisaldrich]","nickname":"[chrisaldrich]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-08-08 05:12:46.995000 {"type":"join","timestamp":1596863566.9949744,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[jeremycherfas]","nickname":"[jeremycherfas]","username":"~slackuser","name":null,"photo":"https:\/\/www.jeremycherfas.net\/user\/themes\/mytheme\/images\/zoot.jpg","url":"http:\/\/jeremycherfas.net","tz":"Europe\/Rome","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-08-08 06:05:05.328700 {"type":"message","timestamp":1596866705.3287308,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":"US\/Pacific","host":null},"content":"[@TYLTK] @withknown what's going on over there? (https:\/\/twitter.com\/_\/status\/1291978183382720513)","modes":[]}
2020-08-08 08:40:19.648800 {"type":"join","timestamp":1596876019.6488478,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"Alaura","nickname":"Alaura","username":"~quassel","name":null,"photo":null,"url":null,"tz":null,"host":"2001:19f0:6401:a2d:5400:ff:fe0b:fb93"},"content":null,"modes":[]}
2020-08-08 08:40:20.014100 {"type":"join","timestamp":1596876020.014107,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[chrisaldrich]","nickname":"[chrisaldrich]","username":"~slackuser","name":null,"photo":"https:\/\/www.boffosocko.com\/logo.jpg","url":"http:\/\/boffosocko.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-08-08 08:40:20.837200 {"type":"message","timestamp":1596876020.837212,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[chrisaldrich]","nickname":"[chrisaldrich]","username":"~slackuser","name":null,"photo":"https:\/\/www.boffosocko.com\/logo.jpg","url":"http:\/\/boffosocko.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":"paging [benatwork] or [mapkyca] ^^; looks like hosted known is down...","modes":[]}
2020-08-08 08:43:53.550600 {"type":"join","timestamp":1596876233.5506337,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"Alaura","nickname":"Alaura","username":"~quassel","name":null,"photo":null,"url":null,"tz":null,"host":"2001:19f0:6401:a2d:5400:ff:fe0b:fb93"},"content":null,"modes":[]}
2020-08-08 08:44:00.531600 {"type":"join","timestamp":1596876240.53161,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"Alaura","nickname":"Alaura","username":"~quassel","name":null,"photo":null,"url":null,"tz":null,"host":"2001:19f0:6401:a2d:5400:ff:fe0b:fb93"},"content":null,"modes":[]}
2020-08-08 08:48:31.112500 {"type":"join","timestamp":1596876511.1124928,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"jeremy","nickname":"jeremy","username":"~jeremy","name":null,"photo":null,"url":null,"tz":null,"host":"jeremy.powered.by.lunarbnc.net"},"content":null,"modes":[]}
