2019-03-06 00:04:01.627100 {"type":"join","timestamp":1551830641.6271,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"jjuran","nickname":"jjuran","username":"~jjuran","name":"Josh Juran","photo":"https:\/\/www.jjuran.org\/avatar.jpg","url":"http:\/\/jjuran.org","tz":"America\/New_York","host":"c-98-231-147-29.hsd1.md.comcast.net"},"content":null,"modes":[]}
2019-03-06 00:34:30.476300 {"type":"join","timestamp":1551832470.4763,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":"tantek via slack-irc-gateway","photo":"http:\/\/tantek.com\/logo.jpg","url":"http:\/\/Tantek.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-03-06 00:41:06.846300 {"type":"message","timestamp":1551832866.8463,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"jacky","nickname":"jacky","username":"~ichoquo0A","name":"Jacky Alcine","photo":"https:\/\/jacky.wtf\/assets\/favicon\/apple-touch-icon-2920754d510f96188bfd41ca877ed8f7099fa66c578b75e663646394bba4599f.png","url":"http:\/\/jacky.wtf","tz":"America\/Los_Angeles","host":"unaffiliated\/webjadmin"},"content":"[tantek]: definitely!","modes":["voice"]}
2019-03-06 00:47:28.103300 {"type":"message","timestamp":1551833248.1033,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":"tantek via slack-irc-gateway","photo":"http:\/\/tantek.com\/logo.jpg","url":"http:\/\/Tantek.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":"woot!","modes":["voice"]}
2019-03-06 00:47:33.511400 {"type":"message","timestamp":1551833253.5114,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":"http:\/\/loqi.me\/logo\/loqisaur.png","url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"[@jgmac1106] \u21a9\ufe0f Hey @chrisaldrich https:\/\/boffosocko.com Feel free to grab what we did in #edu522 we have an example of teaching on #IndieWeb WordPress for #pressedconf19. Plus the course templates and webmention badges  have come so far since then: \u2026 https:\/\/quickthoughts.jgregorymcverry.com\/2019\/03\/06\/hey-chrisaldrich-feel-free-to-grab (https:\/\/twitter.com\/_\/status\/1103094705661845504)","modes":[]}
2019-03-06 00:47:34.170800 {"type":"message","timestamp":1551833254.1708,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":"http:\/\/loqi.me\/logo\/loqisaur.png","url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"\ud83d\ude0a","modes":[]}
2019-03-06 00:55:37.411100 {"type":"join","timestamp":1551833737.4111,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"gRegorLove","nickname":"gRegorLove","username":"~gRegorLov","name":"realname","photo":"https:\/\/gregorlove.com\/site\/assets\/files\/3473\/profile-2016-med.jpg","url":"http:\/\/gregorlove.com","tz":"America\/Los_Angeles","host":"2600:8801:9200:c90:b5cd:9d1d:b481:46f3"},"content":null,"modes":[]}
2019-03-06 01:36:42.496100 {"type":"message","timestamp":1551836202.4961,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null,"host":null},"content":"[@jgmac1106] \u21a9\ufe0f I use  Commonplace Book philosophy...https:\/\/indieweb.org\/commonplace_book set up main site at https:\/\/jgregorymcverry.com currently using @withknown. I have done the same with WordPress as https:\/\/boffosocko.com does now. (https:\/\/quickthoughts.jgregorymcverry.com\/s\/2hLUON) (https:\/\/twitter.com\/_\/status\/1103107074513428481)","modes":[]}
2019-03-06 01:49:03.701600 {"type":"message","timestamp":1551836943.7016,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":"http:\/\/loqi.me\/logo\/loqisaur.png","url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"[@jgmac1106] \u21a9\ufe0f If you want to learn more check out https:\/\/indieweb.org\/Events we have an online conference coming up this weekend...if you think I have quantified my lifestream...haven't seen nothing yet.  Hard timezone for Aussie friends but we have many in\u2026 https:\/\/quickthoughts.jgregorymcverry.com\/2019\/03\/06\/kayoddone-if-you-want-to-learn (https:\/\/twitter.com\/_\/status\/1103110181515345921)","modes":[]}
2019-03-06 01:54:07.417100 {"type":"join","timestamp":1551837247.4171,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"gRegorLove","nickname":"gRegorLove","username":"~gRegorLov","name":"realname","photo":"https:\/\/gregorlove.com\/site\/assets\/files\/3473\/profile-2016-med.jpg","url":"http:\/\/gregorlove.com","tz":"America\/Los_Angeles","host":"2600:8801:9200:c90:b5cd:9d1d:b481:46f3"},"content":null,"modes":[]}
2019-03-06 02:02:51.594100 {"type":"join","timestamp":1551837771.5941,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":"tantek via slack-irc-gateway","photo":"http:\/\/tantek.com\/logo.jpg","url":"http:\/\/Tantek.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-03-06 02:22:07.449500 {"type":"join","timestamp":1551838927.4495,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"gRegorLove","nickname":"gRegorLove","username":"~gRegorLov","name":"realname","photo":"https:\/\/gregorlove.com\/site\/assets\/files\/3473\/profile-2016-med.jpg","url":"http:\/\/gregorlove.com","tz":"America\/Los_Angeles","host":"2600:8801:9200:c90:b5cd:9d1d:b481:46f3"},"content":null,"modes":[]}
2019-03-06 02:34:07.432800 {"type":"join","timestamp":1551839647.4328,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"gRegorLove","nickname":"gRegorLove","username":"~gRegorLov","name":"realname","photo":"https:\/\/gregorlove.com\/site\/assets\/files\/3473\/profile-2016-med.jpg","url":"http:\/\/gregorlove.com","tz":"America\/Los_Angeles","host":"2600:8801:9200:c90:b5cd:9d1d:b481:46f3"},"content":null,"modes":[]}
2019-03-06 02:46:55.531100 {"type":"join","timestamp":1551840415.5311,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"mblaney","nickname":"mblaney","username":"~mal","name":null,"photo":null,"url":null,"tz":null,"host":"sov2416190.lnk.telstra.net"},"content":null,"modes":[]}
