2020-02-29 00:37:07.293900 {"type":"join","timestamp":1582936627.293858,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[KevinMarks]","nickname":"[KevinMarks]","username":"~slackuser","name":null,"photo":"http:\/\/www.kevinmarks.com\/km.jpg","url":"http:\/\/kevinmarks.com","tz":"Europe\/London","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-02-29 00:40:55.633400 {"type":"join","timestamp":1582936855.6334298,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[Jeff_Hawkins]","nickname":"[Jeff_Hawkins]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-02-29 00:56:42.477100 {"type":"join","timestamp":1582937802.4770918,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"cheim","nickname":"cheim","username":"~ego","name":null,"photo":null,"url":null,"tz":null,"host":"76-228-31-101.lightspeed.frokca.sbcglobal.net"},"content":null,"modes":[]}
2020-02-29 01:55:40.824200 {"type":"join","timestamp":1582941340.8242106,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"gRegorLove","nickname":"gRegorLove","username":"~gRegorLov","name":null,"photo":null,"url":null,"tz":null,"host":"2600:8801:9200:3280:a503:1a44:e4cd:3e69"},"content":null,"modes":[]}
2020-02-29 03:42:15.558700 {"type":"join","timestamp":1582947735.558659,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[Michael_Beckwit","nickname":"[Michael_Beckwit","username":"~slackuser","name":"Michael_Beckwith via slack-irc-gateway","photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-02-29 03:42:17.094100 {"type":"join","timestamp":1582947737.0940979,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"gRegorLove","nickname":"gRegorLove","username":"~gRegorLov","name":null,"photo":null,"url":null,"tz":null,"host":"2600:8801:9200:3280:a503:1a44:e4cd:3e69"},"content":null,"modes":[]}
2020-02-29 05:01:27.012200 {"type":"join","timestamp":1582952487.0122447,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"gRegorLove","nickname":"gRegorLove","username":"~gRegorLov","name":null,"photo":null,"url":null,"tz":null,"host":"2600:8801:9200:3280:a503:1a44:e4cd:3e69"},"content":null,"modes":[]}
2020-02-29 05:11:52.228500 {"type":"join","timestamp":1582953112.2285163,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","username":"~kartik","name":"purple","photo":null,"url":null,"tz":null,"host":"216-59-73-10.static.firstlight.net"},"content":null,"modes":[]}
2020-02-29 05:17:25.010800 {"type":"message","timestamp":1582953445.0108175,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null,"host":null},"content":"[@lovingarchives] \u21a9\ufe0f This reminds me of Tim Berners-Lee's story of young coders bringing him their newly invented open standards systems, like various microformats. I might be getting this wrong, but I think he would generally shrug and tell them it looks good... (https:\/\/twitter.com\/_\/status\/1233622249975906304)","modes":[]}
2020-02-29 05:36:25.707400 {"type":"join","timestamp":1582954585.7073822,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[asuh]","nickname":"[asuh]","username":"~slackuser","name":null,"photo":"https:\/\/asuh.com\/images\/asuh581x583.jpg","url":"http:\/\/asuh.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-02-29 06:53:42.402200 {"type":"join","timestamp":1582959222.4022229,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","username":"~kartik","name":"purple","photo":null,"url":null,"tz":null,"host":"216-59-73-10.static.firstlight.net"},"content":null,"modes":[]}
