2012-12-09 00:59:56.000000 {"type":"join","timestamp":"1355014796.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #microformats"}
2012-12-09 01:00:58.000000 {"type":"message","timestamp":"1355014858.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307Special:Log\/block\u000314]]\u00034 block\u000310 \u000302\u0003 \u00035*\u0003 \u000303Tantek\u0003 \u00035*\u0003  \u000310blocked [[\u000302User:HarveBlackwell\u000310]] with an expiry time of infinite (account creation disabled): Spamming links to external sites\u0003"}
2012-12-09 01:01:06.000000 {"type":"message","timestamp":"1355014866.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307Special:Log\/delete\u000314]]\u00034 delete\u000310 \u000302\u0003 \u00035*\u0003 \u000303Tantek\u0003 \u00035*\u0003  \u000310deleted \"[[\u000302Behind every toshiba repair toronto is a girl who got tired of being broken\u000310]]\": content was spam\u0003"}
2012-12-09 01:01:33.000000 {"type":"message","timestamp":"1355014893.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"http:\/\/twitter.com\/NighLon :: Migrating to Author hReview for Review Microdata http:\/\/www.dragonblogger.com\/author-hreview-review\/ via @dragonblogger"}
2012-12-09 01:19:13.000000 {"type":"message","timestamp":"1355015953.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"http:\/\/twitter.com\/dragonblogger :: Read Migrating to #Author#hReview for Review Microdata http:\/\/www.dragonblogger.com\/author-hreview-review\/?utm_source=dlvr.it&utm_medium=twitter"}
2012-12-09 03:07:13.000000 {"type":"message","timestamp":"1355022433.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"http:\/\/twitter.com\/JustInTheSouth :: Migrating to Author hReview for Review Microdata http:\/\/www.dragonblogger.com\/author-hreview-review\/ via @dragonblogger"}
2012-12-09 03:15:24.000000 {"type":"join","timestamp":"1355022924.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"benward_","nickname":"benward_","name":"benward_","username":null},"content":"benward_ joined #microformats"}
2012-12-09 04:13:40.000000 {"type":"message","timestamp":"1355026420.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307I think I started last night tho DJs In Chicago\u000314]]\u00034 N\u000310 \u000302http:\/\/microformats.org\/wiki\/index.php?title=I_think_I_started_last_night_tho_DJs_In_Chicago&rcid=65679\u0003 \u00035*\u0003 \u000303ChantalGomes5\u0003 \u00035*\u0003 (+2475) \u000310New page: [[Image:DJs_In_Chicago_797.jpg|thumb|]]  aaaaaaw lief hahah eu queria ver ele em rebelde It seemed the great Black Parliament sitting in Tophet. Welcome to the family White Kenny!!! I stil...\u0003"}
2012-12-09 04:28:31.000000 {"type":"join","timestamp":"1355027311.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"xtof_fr","nickname":"xtof_fr","name":"xtof_fr","username":null},"content":"xtof_fr joined #microformats"}
2012-12-09 05:31:27.000000 {"type":"message","timestamp":"1355031087.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"http:\/\/twitter.com\/TechnicallyEasy :: Migrating to Author hReview for Review Microdata http:\/\/www.dragonblogger.com\/author-hreview-review\/"}
2012-12-09 05:31:28.000000 {"type":"message","timestamp":"1355031088.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"http:\/\/twitter.com\/TechnicallyEasy :: Migrating to Author hReview for Review Microdata http:\/\/www.dragonblogger.com\/author-hreview-review\/ via @dragonbloggers"}
2012-12-09 09:07:16.000000 {"type":"join","timestamp":"1355044036.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tobyink","nickname":"tobyink","name":"tobyink","username":null},"content":"tobyink joined #microformats"}
2012-12-09 09:45:52.000000 {"type":"join","timestamp":"1355046352.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"nonge","nickname":"nonge","name":"nonge","username":null},"content":"nonge joined #microformats"}
2012-12-09 10:27:01.000000 {"type":"join","timestamp":"1355048821.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"xtof_fr","nickname":"xtof_fr","name":"xtof_fr","username":null},"content":"xtof_fr joined #microformats"}
2012-12-09 10:48:17.000000 {"type":"join","timestamp":"1355050097.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"barnabywalters","nickname":"barnabywalters","name":"barnabywalters","username":null},"content":"barnabywalters joined #microformats"}
2012-12-09 10:53:20.000000 {"type":"join","timestamp":"1355050400.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tobyink","nickname":"tobyink","name":"tobyink","username":null},"content":"tobyink joined #microformats"}
