2020-02-18 01:14:12.391900 {"type":"join","timestamp":1581988452.391873,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"almostdvs","nickname":"almostdvs","username":"~almostdvs","name":"almostdvs","photo":null,"url":null,"tz":null,"host":"162.154.195.113"},"content":null,"modes":[]}
2020-02-18 02:09:43.261200 {"type":"join","timestamp":1581991783.2611673,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"[LewisCowles]","nickname":"[LewisCowles]","username":"~slackuser","name":null,"photo":null,"url":"http:\/\/Www.lewiscowles.co.uk","tz":"Europe\/London","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-02-18 03:51:52.405400 {"type":"join","timestamp":1581997912.4053986,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"[chrisaldrich]","nickname":"[chrisaldrich]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-02-18 06:35:09.005000 {"type":"join","timestamp":1582007709.0049648,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"Dante","nickname":"Dante","username":"~wp_dev_zy","name":null,"photo":null,"url":null,"tz":null,"host":"18.77.222.87.dynamic.jazztel.es"},"content":null,"modes":[]}
2020-02-18 07:50:54.194500 {"type":"join","timestamp":1582012254.1945412,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"vika_nezrimaya","nickname":"vika_nezrimaya","username":"~webuser","name":null,"photo":"https:\/\/avatars1.githubusercontent.com\/u\/7953163","url":"http:\/\/fireburn.ru","tz":"Europe\/Moscow","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-02-18 08:09:59.229000 {"type":"join","timestamp":1582013399.2290254,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"[datashaman]","nickname":"[datashaman]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-02-18 09:23:09.246800 {"type":"join","timestamp":1582017789.24676,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"ondrejkolin","nickname":"ondrejkolin","username":"~ondrejkol","name":null,"photo":null,"url":null,"tz":null,"host":"89.246.111.156"},"content":null,"modes":[]}
2020-02-18 09:23:45.340400 {"type":"message","timestamp":1582017825.3403876,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"ondrejkolin","nickname":"ondrejkolin","username":"~ondrejkol","name":null,"photo":null,"url":null,"tz":null,"host":"89.246.111.156"},"content":"Hello,","modes":[]}
2020-02-18 09:23:49.834800 {"type":"message","timestamp":1582017829.8348026,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"ondrejkolin","nickname":"ondrejkolin","username":"~ondrejkol","name":null,"photo":null,"url":null,"tz":null,"host":"89.246.111.156"},"content":"Does someone has experience with migrating WP to https without losing FB-likes and comments?","modes":[]}
2020-02-18 09:23:54.448000 {"type":"message","timestamp":1582017834.4479523,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"ondrejkolin","nickname":"ondrejkolin","username":"~ondrejkol","name":null,"photo":null,"url":null,"tz":null,"host":"89.246.111.156"},"content":"Forced canonical url\/data-href\/og:url for widgets doesn\u2019t seem to solve it, any thoughts?","modes":[]}
2020-02-18 09:47:39.181300 {"type":"join","timestamp":1582019259.181326,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"[LewisCowles]","nickname":"[LewisCowles]","username":"~slackuser","name":null,"photo":null,"url":"http:\/\/Www.lewiscowles.co.uk","tz":"Europe\/London","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-02-18 09:57:00.842400 {"type":"join","timestamp":1582019820.8424294,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"[calumryan]","nickname":"[calumryan]","username":"~slackuser","name":null,"photo":"https:\/\/calumryan.com\/images\/profile_md.jpg","url":"http:\/\/calumryan.com","tz":"Europe\/London","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-02-18 10:42:07.512000 {"type":"join","timestamp":1582022527.5119936,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"[jgmac1106]","nickname":"[jgmac1106]","username":"~slackuser","name":null,"photo":"http:\/\/quickthoughts.jgregorymcverry.com\/file\/6802fbcdd3fada8cb61ffb798978f72f\/thumb.jpg","url":"http:\/\/jgregorymcverry.com","tz":"-5 GMT","host":"chat.indieweb.org"},"content":null,"modes":[]}
