2020-02-16 00:17:31.173100 {"type":"join","timestamp":1581812251.173057,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"[jgmac1106]","nickname":"[jgmac1106]","username":"~slackuser","name":null,"photo":"http:\/\/quickthoughts.jgregorymcverry.com\/file\/6802fbcdd3fada8cb61ffb798978f72f\/thumb.jpg","url":"http:\/\/jgregorymcverry.com","tz":"-5 GMT","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-02-16 00:45:12.397500 {"type":"join","timestamp":1581813912.397546,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"[Michael_Beckwit","nickname":"[Michael_Beckwit","username":"~slackuser","name":"Michael_Beckwith via slack-irc-gateway","photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-02-16 02:00:13.238300 {"type":"join","timestamp":1581818413.238307,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"joebuhlig","nickname":"joebuhlig","username":"~joebuhlig","name":null,"photo":null,"url":null,"tz":null,"host":"096-039-133-246.res.spectrum.com"},"content":null,"modes":[]}
2020-02-16 02:31:33.283200 {"type":"join","timestamp":1581820293.2831688,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":null,"photo":"http:\/\/tantek.com\/logo.jpg","url":"http:\/\/Tantek.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-02-16 04:01:28.832300 {"type":"join","timestamp":1581825688.832294,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"gRegorLove","nickname":"gRegorLove","username":"~gRegorLov","name":null,"photo":"https:\/\/gregorlove.com\/site\/assets\/files\/3473\/profile-2016-med.jpg","url":"http:\/\/gregorlove.com","tz":"America\/Los_Angeles","host":"2600:8801:9200:3280:7d1f:2ddf:dad0:2978"},"content":null,"modes":[]}
2020-02-16 06:31:54.692700 {"type":"join","timestamp":1581834714.6927042,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"User016","nickname":"User016","username":"~User016","name":null,"photo":null,"url":null,"tz":null,"host":"2405:204:5218:2188:9252:26e1:3eef:7d03"},"content":null,"modes":[]}
2020-02-16 06:32:56.153900 {"type":"join","timestamp":1581834776.1539476,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"Mallikarjun92","nickname":"Mallikarjun92","username":"~webuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-02-16 06:33:06.715100 {"type":"message","timestamp":1581834786.7150679,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"Mallikarjun92","nickname":"Mallikarjun92","username":"~webuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":"Hi","modes":[]}
2020-02-16 07:10:13.580900 {"type":"message","timestamp":1581837013.5808868,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"User016","nickname":"User016","username":"~User016","name":null,"photo":null,"url":null,"tz":null,"host":"2405:204:5218:2188:9252:26e1:3eef:7d03"},"content":"Hello","modes":[]}
2020-02-16 07:39:48.349800 {"type":"join","timestamp":1581838788.349824,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"[snarfed]","nickname":"[snarfed]","username":"~slackuser","name":"snarfed via slack-irc-gateway","photo":null,"url":"http:\/\/snarfed.org","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-02-16 07:46:55.865100 {"type":"join","timestamp":1581839215.8650575,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"[Christina_Hendr","nickname":"[Christina_Hendr","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
