2020-04-28 00:04:39.006500 {"type":"join","timestamp":1588032279.0065463,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[manton]","nickname":"[manton]","username":"~slackuser","name":null,"photo":"https:\/\/micro.blog\/manton\/avatar.jpg","url":"http:\/\/Manton.org","tz":"America\/Chicago","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-04-28 00:47:29.020100 {"type":"join","timestamp":1588034849.020051,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[chrisaldrich]","nickname":"[chrisaldrich]","username":"~slackuser","name":null,"photo":"https:\/\/www.boffosocko.com\/logo.jpg","url":"http:\/\/boffosocko.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-04-28 02:41:05.541500 {"type":"join","timestamp":1588041665.541542,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[prtksxna]","nickname":"[prtksxna]","username":"~slackuser","name":null,"photo":"http:\/\/gravatar.com\/avatar\/17f37be7dfd491b7b442a79f69e08f16","url":"http:\/\/prtksxna.com","tz":"Asia\/Calcutta","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-04-28 02:57:44.972200 {"type":"join","timestamp":1588042664.972194,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"gRegorLove","nickname":"gRegorLove","username":"~gRegorLov","name":null,"photo":null,"url":null,"tz":null,"host":"ip174-65-16-66.sd.sd.cox.net"},"content":null,"modes":[]}
2020-04-28 04:18:06.887600 {"type":"join","timestamp":1588047486.8876052,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"gRegorLove","nickname":"gRegorLove","username":"~gRegorLov","name":null,"photo":"https:\/\/gregorlove.com\/site\/assets\/files\/3473\/profile-2016-med.jpg","url":"http:\/\/gregorlove.com","tz":"America\/Los_Angeles","host":"ip174-65-16-66.sd.sd.cox.net"},"content":null,"modes":[]}
2020-04-28 05:31:55.740400 {"type":"join","timestamp":1588051915.7403948,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","username":"~kartik","name":"purple","photo":null,"url":null,"tz":null,"host":"216-59-73-10.static.firstlight.net"},"content":null,"modes":[]}
2020-04-28 06:31:49.018200 {"type":"join","timestamp":1588055509.018152,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[LewisCowles]","nickname":"[LewisCowles]","username":"~slackuser","name":null,"photo":null,"url":"http:\/\/Www.lewiscowles.co.uk","tz":"Europe\/London","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-04-28 06:34:15.848900 {"type":"join","timestamp":1588055655.8489103,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[chrisaldrich]","nickname":"[chrisaldrich]","username":"~slackuser","name":null,"photo":"https:\/\/www.boffosocko.com\/logo.jpg","url":"http:\/\/boffosocko.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-04-28 06:46:30.689100 {"type":"join","timestamp":1588056390.6891334,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"pabs3","nickname":"pabs3","username":"~pabs3","name":null,"photo":null,"url":null,"tz":null,"host":"unaffiliated\/pabs3"},"content":null,"modes":[]}
2020-04-28 06:47:04.576500 {"type":"message","timestamp":1588056424.5764632,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"pabs3","nickname":"pabs3","username":"~pabs3","name":null,"photo":null,"url":null,"tz":null,"host":"unaffiliated\/pabs3"},"content":"who should I ping about microformats.org not having https?","modes":[]}
2020-04-28 06:49:40.591600 {"type":"message","timestamp":1588056580.5915544,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"pabs3","nickname":"pabs3","username":"~pabs3","name":null,"photo":null,"url":null,"tz":null,"host":"unaffiliated\/pabs3"},"content":"also, I'd like to create my userpage, can anyone enable that? it would be here when created: http:\/\/microformats.org\/wiki\/User:PaulWise","modes":[]}
2020-04-28 06:50:22.133400 {"type":"message","timestamp":1588056622.133412,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"pabs3","nickname":"pabs3","username":"~pabs3","name":null,"photo":null,"url":null,"tz":null,"host":"unaffiliated\/pabs3"},"content":"my account apparently cannot: \"You do not have permission to create new pages on Microformats Wiki.\"","modes":[]}
