2014-10-27 00:35:09.325000 {"type":"join","timestamp":"1414370109.325000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"netweb","nickname":"netweb","name":"netweb","username":null},"content":"netweb joined #microformats"}
2014-10-27 00:54:23.956000 {"type":"join","timestamp":"1414371263.956000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"EsoRottica","nickname":"EsoRottica","name":"EsoRottica","username":null},"content":"EsoRottica joined #microformats"}
2014-10-27 01:07:01.180000 {"type":"join","timestamp":"1414372021.180000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Aranjedeath","nickname":"Aranjedeath","name":"Aranjedeath","username":null},"content":"Aranjedeath joined #microformats"}
2014-10-27 01:12:42.205000 {"type":"join","timestamp":"1414372362.205000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"KevinMarks","nickname":"KevinMarks","name":"KevinMarks","username":null},"content":"KevinMarks joined #microformats"}
2014-10-27 01:30:44.144000 {"type":"join","timestamp":"1414373444.144000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Soopaman","nickname":"Soopaman","name":"Soopaman","username":null},"content":"Soopaman joined #microformats"}
2014-10-27 02:06:49.032000 {"type":"join","timestamp":"1414375609.032000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"KevinMarks","nickname":"KevinMarks","name":"KevinMarks","username":null},"content":"KevinMarks joined #microformats"}
2014-10-27 02:10:07.178000 {"type":"join","timestamp":"1414375807.178000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"caseorganic","nickname":"caseorganic","name":"caseorganic","username":null},"content":"caseorganic joined #microformats"}
2014-10-27 02:13:35.639000 {"type":"join","timestamp":"1414376015.639000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Soopaman1","nickname":"Soopaman1","name":"Soopaman1","username":null},"content":"Soopaman1 joined #microformats"}
2014-10-27 02:24:53.823000 {"type":"join","timestamp":"1414376693.823000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Soopaman","nickname":"Soopaman","name":"Soopaman","username":null},"content":"Soopaman joined #microformats"}
2014-10-27 02:27:18.794000 {"type":"join","timestamp":"1414376838.794000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Soopaman1","nickname":"Soopaman1","name":"Soopaman1","username":null},"content":"Soopaman1 joined #microformats"}
2014-10-27 02:28:48.115000 {"type":"join","timestamp":"1414376928.115000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Soopaman","nickname":"Soopaman","name":"Soopaman","username":null},"content":"Soopaman joined #microformats"}
2014-10-27 02:40:57.328000 {"type":"join","timestamp":"1414377657.328000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","name":"KartikPrabhu","username":null},"content":"KartikPrabhu joined #microformats"}
2014-10-27 03:11:06.855000 {"type":"join","timestamp":"1414379466.855000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","name":"KartikPrabhu","username":null},"content":"KartikPrabhu joined #microformats"}
2014-10-27 03:12:34.914000 {"type":"join","timestamp":"1414379554.914000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #microformats"}
2014-10-27 03:47:43.014000 {"type":"join","timestamp":"1414381663.014000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","name":"KartikPrabhu","username":null},"content":"KartikPrabhu joined #microformats"}
2014-10-27 04:46:37.077000 {"type":"join","timestamp":"1414385197.077000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","name":"KartikPrabhu","username":null},"content":"KartikPrabhu joined #microformats"}
2014-10-27 04:57:04.681000 {"type":"join","timestamp":"1414385824.681000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"EsoRottica","nickname":"EsoRottica","name":"EsoRottica","username":null},"content":"EsoRottica joined #microformats"}
2014-10-27 05:30:23.669000 {"type":"join","timestamp":"1414387823.669000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","name":"KartikPrabhu","username":null},"content":"KartikPrabhu joined #microformats"}
2014-10-27 05:37:23.304000 {"type":"join","timestamp":"1414388243.304000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #microformats"}
2014-10-27 05:56:57.665000 {"type":"join","timestamp":"1414389417.665000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #microformats"}
