2021-09-23 00:53:37.606400 {"type":"join","timestamp":1632358417.6064208,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"oodani","nickname":"oodani","username":"~oodani","name":"Danielle McLean","photo":"https:\/\/cdn.00dani.me\/media\/avatars\/1\/dewdash_crop.png","url":"http:\/\/00dani.me","tz":"Australia\/Sydney","host":"00dani.me"},"content":null,"modes":[]}
2021-09-23 00:56:13.133300 {"type":"message","timestamp":1632358573.1332984,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[snarfed]","nickname":"[snarfed]","username":"~slackuser","name":"snarfed via slack-irc-gateway","photo":null,"url":"http:\/\/snarfed.org","tz":"America\/Los_Angeles","host":"li826-110.members.linode.com"},"content":"Tim Bray's Bluesky contest entry (kind of): https:\/\/www.tbray.org\/ongoing\/When\/202x\/2021\/09\/19\/Blueskid-demo","modes":["voice"]}
2021-09-23 00:59:36.589400 {"type":"message","timestamp":1632358776.5893934,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[snarfed]","nickname":"[snarfed]","username":"~slackuser","name":"snarfed via slack-irc-gateway","photo":null,"url":"http:\/\/snarfed.org","tz":"America\/Los_Angeles","host":"li826-110.members.linode.com"},"content":"\"Blueskid is not an entry in the Satellite contest. First of all, I\u2019m sort of a @bluesky insider and the idea is to bring in ideas from the community. Second, Satellite is looking for something with a focus on decentralization and radical innovation. Blueskid uses public-key and ledger technologies that, in the software-technology context, are as old as dirt. I offer Blueskid as a low bar that the Satellite offerings really ought to","modes":["voice"]}
2021-09-23 00:59:36.659700 {"type":"message","timestamp":1632358776.6596735,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[snarfed]","nickname":"[snarfed]","username":"~slackuser","name":"snarfed via slack-irc-gateway","photo":null,"url":"http:\/\/snarfed.org","tz":"America\/Los_Angeles","host":"li826-110.members.linode.com"},"content":"raise.\"","modes":["voice"]}
2021-09-23 01:10:29.703500 {"type":"join","timestamp":1632359429.7034736,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"edburns","nickname":"edburns","username":"~webuser","name":null,"photo":null,"url":null,"tz":null,"host":"li826-110.members.linode.com"},"content":null,"modes":[]}
2021-09-23 01:12:45.187400 {"type":"message","timestamp":1632359565.187403,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"edburns","nickname":"edburns","username":"~webuser","name":null,"photo":null,"url":null,"tz":null,"host":"li826-110.members.linode.com"},"content":"https:\/\/docs.microsoft.com\/en-us\/azure\/static-web-apps\/overview","modes":["voice"]}
2021-09-23 01:16:10.437200 {"type":"message","timestamp":1632359770.43715,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":"tantek via slack-irc-gateway","photo":"https:\/\/tantek.com\/logo.jpg","url":"http:\/\/Tantek.com","tz":"America\/Los_Angeles","host":"li826-110.members.linode.com"},"content":"wasn't Tim a blockchain skeptic?","modes":["voice"]}
2021-09-23 01:19:56.450700 {"type":"join","timestamp":1632359996.450716,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"kevinc[d]","nickname":"kevinc[d]","username":"kevinc","name":null,"photo":null,"url":null,"tz":null,"host":"2a01:4f8:150:8305::1"},"content":null,"modes":[]}
2021-09-23 01:20:12.462300 {"type":"join","timestamp":1632360012.462265,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"kaeldra[d]","nickname":"kaeldra[d]","username":"kaeldra","name":null,"photo":null,"url":null,"tz":null,"host":"2a01:4f8:150:8305::1"},"content":null,"modes":[]}
2021-09-23 01:22:27.409300 {"type":"join","timestamp":1632360147.4092696,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"edburns[d]","nickname":"edburns[d]","username":"edburns","name":null,"photo":null,"url":null,"tz":null,"host":"2a01:4f8:150:8305::1"},"content":null,"modes":[]}
2021-09-23 01:41:53.426700 {"type":"message","timestamp":1632361313.4267433,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"edburns[d]","nickname":"edburns[d]","username":"edburns","name":null,"photo":null,"url":null,"tz":null,"host":"2a01:4f8:150:8305::1"},"content":"Thanks for being welcoming. I am going to digest this information and see how I can get more involved.","modes":[]}
2021-09-23 01:42:01.988100 {"type":"message","timestamp":1632361321.9880848,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"edburns[d]","nickname":"edburns[d]","username":"edburns","name":null,"photo":null,"url":null,"tz":null,"host":"2a01:4f8:150:8305::1"},"content":"I must depart now for another meeting.","modes":[]}
2021-09-23 01:45:42.409100 {"type":"message","timestamp":1632361542.4091244,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"GWG","nickname":"GWG","username":"~GWG","name":"GWG - ZNC","photo":"https:\/\/david.shanske.com\/wp-content\/uploads\/avatar-privacy\/cache\/gravatar\/2\/c\/2cb1f8afd9c8d3b646b4071c5ed887c970d81d625eeed87e447706940e2c403d-96.png","url":"http:\/\/david.shanske.com","tz":"America\/New_York","host":"pool-72-69-18-11.nycmny.fios.verizon.net"},"content":"edburns[d]: Don't be a stranger","modes":["voice"]}
2021-09-23 02:15:36.740600 {"type":"message","timestamp":1632363336.7405581,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"edburns[d]","nickname":"edburns[d]","username":"edburns","name":null,"photo":null,"url":null,"tz":null,"host":"2a01:4f8:150:8305::1"},"content":"GWG: \ud83d\udc4d","modes":[]}
2021-09-23 02:22:05.915200 {"type":"join","timestamp":1632363725.9152367,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"neocow","nickname":"neocow","username":"~neocow","name":"neocow","photo":null,"url":null,"tz":null,"host":"185.38.14.210"},"content":null,"modes":[]}
2021-09-23 02:52:46.093600 {"type":"join","timestamp":1632365566.0936224,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"sennomo","nickname":"sennomo","username":"~sennomo","name":null,"photo":null,"url":null,"tz":null,"host":"cpe-108-183-47-81.stny.res.rr.com"},"content":null,"modes":[]}
