2021-10-20 00:00:11.254600 {"type":"join","timestamp":1634688011.2546198,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"angelo","nickname":"angelo","username":"~angelo","name":"Angelo Gladding","photo":null,"url":null,"tz":null,"host":"2600:1700:8780:c7c0:6434:1451:af30:2e97"},"content":null,"modes":[]}
2021-10-20 00:05:53.313400 {"type":"join","timestamp":1634688353.3134203,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"gRegorLove_","nickname":"gRegorLove_","username":"~gRegorLov","name":null,"photo":null,"url":null,"tz":null,"host":"2600:8801:9d0f:c400:51a8:7567:8b7b:8840"},"content":null,"modes":[]}
2021-10-20 00:18:32.571500 {"type":"join","timestamp":1634689112.5714765,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"delirium","nickname":"delirium","username":"~igloo","name":null,"photo":null,"url":null,"tz":null,"host":"107.127.59.17"},"content":null,"modes":[]}
2021-10-20 02:35:35.597700 {"type":"join","timestamp":1634697335.59769,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"Moosadee","nickname":"Moosadee","username":"~Moosadee","name":null,"photo":null,"url":null,"tz":null,"host":"136.32.155.193"},"content":null,"modes":[]}
2021-10-20 03:12:10.595300 {"type":"join","timestamp":1634699530.5952847,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[timothy_chambe]","nickname":"[timothy_chambe]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"li826-110.members.linode.com"},"content":null,"modes":[]}
2021-10-20 03:12:11.086300 {"type":"message","timestamp":1634699531.086296,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[timothy_chambe]","nickname":"[timothy_chambe]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"li826-110.members.linode.com"},"content":"Hi everyone:","modes":["voice"]}
2021-10-20 03:12:11.085600 {"type":"message","timestamp":1634699531.085559,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[timothy_chambe]","nickname":"[timothy_chambe]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"li826-110.members.linode.com"},"content":"I wanted to do an update and two requests about the Mastodon instance I created focused on the Indieweb, named indieweb.social.   It's been live for well over a year and grew in part out of discussions in this slack group.","modes":["voice"]}
2021-10-20 03:12:11.135300 {"type":"message","timestamp":1634699531.1353033,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[timothy_chambe]","nickname":"[timothy_chambe]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"li826-110.members.linode.com"},"content":"https:\/\/joinmastodon.org\/communities\/tech","modes":["voice"]}
2021-10-20 03:12:11.150900 {"type":"message","timestamp":1634699531.1508875,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[timothy_chambe]","nickname":"[timothy_chambe]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"li826-110.members.linode.com"},"content":"The mission statement for that was to be place where we could evangelize Indieweb tech and ideas to the #Fediverse, as well as engage and see where ideas from that area could gel with IndieWeb and related efforts. This instance was a place to intentionally cross those two streams of Indieweb and Fediverse development and thinking.","modes":["voice"]}
2021-10-20 03:12:11.143500 {"type":"message","timestamp":1634699531.14351,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[timothy_chambe]","nickname":"[timothy_chambe]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"li826-110.members.linode.com"},"content":"Right now we are about the 6th largest tech focused Instance on the Join Mastodon site:","modes":["voice"]}
2021-10-20 03:12:11.148000 {"type":"message","timestamp":1634699531.1479752,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[timothy_chambe]","nickname":"[timothy_chambe]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"li826-110.members.linode.com"},"content":" We have had 1.2 thousand people create their Mastodon accounts on this instance. Many many more reading content federated out from this site.  You can browse those here:  https:\/\/indieweb.social\/explore","modes":["voice"]}
2021-10-20 03:12:11.167100 {"type":"message","timestamp":1634699531.1670797,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[timothy_chambe]","nickname":"[timothy_chambe]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"li826-110.members.linode.com"},"content":"As an instance of users, we've created a lot of Indieweb and related posts there. And we repost \"This Week in Inidieweb\" to the group as regular posts.","modes":["voice"]}
2021-10-20 03:12:11.185400 {"type":"message","timestamp":1634699531.185406,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[timothy_chambe]","nickname":"[timothy_chambe]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"li826-110.members.linode.com"},"content":"My first request: is there places in the IndieWeb Wiki that this can be featured?  Any placement in the wiki or in any emails would be very appreciated.","modes":["voice"]}
2021-10-20 03:12:11.514600 {"type":"message","timestamp":1634699531.5145936,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[timothy_chambe]","nickname":"[timothy_chambe]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"li826-110.members.linode.com"},"content":"Second Request: we try to encourage folks there to follow any IndieWeb thought leaders that POSSE and syndicate out their accounts to Mastodon.","modes":["voice"]}
2021-10-20 03:12:11.522600 {"type":"message","timestamp":1634699531.5225997,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[timothy_chambe]","nickname":"[timothy_chambe]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"li826-110.members.linode.com"},"content":" Here are the ones we posted on a page I've not updated in some while:","modes":["voice"]}
2021-10-20 03:12:12.514900 {"type":"message","timestamp":1634699532.5149183,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[timothy_chambe]","nickname":"[timothy_chambe]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"li826-110.members.linode.com"},"content":"https:\/\/indieweb.social\/about\/more","modes":["voice"]}
2021-10-20 03:12:12.577200 {"type":"message","timestamp":1634699532.577171,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[timothy_chambe]","nickname":"[timothy_chambe]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"li826-110.members.linode.com"},"content":"Is anyone here want to be added, or has any recommendations LMK.","modes":["voice"]}
