2025-01-19 00:32:26.112300 {"type":"join","timestamp":1737246746.1123426,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"njd","nickname":"njd","username":"~njd","name":null,"photo":null,"url":null,"tz":null,"host":"104.248.191.35"},"content":null,"modes":[]}
2025-01-19 00:57:40.273400 {"type":"message","timestamp":1737248260.2734156,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"xuid0","nickname":"xuid0","username":"indieweb","name":"discord","photo":null,"url":"http:\/\/norealnames.org","tz":"Australia\/Brisbane","host":"discord.indieweb.org"},"content":"jmac: Welcome !","modes":[]}
2025-01-19 00:58:19.152700 {"type":"message","timestamp":1737248299.1527305,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"xuid0","nickname":"xuid0","username":"indieweb","name":"discord","photo":null,"url":"http:\/\/norealnames.org","tz":"Australia\/Brisbane","host":"discord.indieweb.org"},"content":"If it helps you feel at home I was once with DDG (as a Community Manager).","modes":[]}
2025-01-19 01:25:29.720200 {"type":"join","timestamp":1737249929.720175,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"klymilark","nickname":"klymilark","username":"~Thunderbi","name":null,"photo":null,"url":null,"tz":null,"host":"pool-108-4-7-194.rcmdva.fios.verizon.net"},"content":null,"modes":[]}
2025-01-19 01:32:00.084100 {"type":"join","timestamp":1737250320.0840745,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"klymilark","nickname":"klymilark","username":"~Thunderbi","name":null,"photo":null,"url":null,"tz":null,"host":"pool-108-4-7-194.rcmdva.fios.verizon.net"},"content":null,"modes":[]}
2025-01-19 01:38:17.787700 {"type":"join","timestamp":1737250697.7877045,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"klymilark","nickname":"klymilark","username":"~Thunderbi","name":null,"photo":null,"url":null,"tz":null,"host":"pool-108-4-7-194.rcmdva.fios.verizon.net"},"content":null,"modes":[]}
2025-01-19 01:39:37.813700 {"type":"join","timestamp":1737250777.8136961,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"ren","nickname":"ren","username":"~ren","name":null,"photo":null,"url":null,"tz":null,"host":"user\/ren"},"content":null,"modes":[]}
2025-01-19 01:48:57.401000 {"type":"message","timestamp":1737251337.4010496,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[morganm]","nickname":"[morganm]","username":"morgantzlQ","name":null,"photo":null,"url":null,"tz":null,"host":"gateway.indieweb.org"},"content":"On holiday at a Pacific Northwest cabin, setting up a raspberry Pi with a tiny screen to sync with obsidian notes and ideally publish more posts to my website that I plan to write","modes":[]}
2025-01-19 01:48:57.801700 {"type":"message","timestamp":1737251337.8017159,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[morganm]","nickname":"[morganm]","username":"morgantzlQ","name":null,"photo":null,"url":null,"tz":null,"host":"gateway.indieweb.org"},"content":"https:\/\/chat-uploads.indieweb.org\/files\/2025\/01\/indieweb-20250119-014857-pxl_20250119_011642701.jpg","modes":[]}
2025-01-19 01:48:57.919800 {"type":"message","timestamp":1737251337.919787,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[morganm]","nickname":"[morganm]","username":"morgantzlQ","name":null,"photo":null,"url":null,"tz":null,"host":"gateway.indieweb.org"},"content":"https:\/\/chat-uploads.indieweb.org\/files\/2025\/01\/indieweb-20250119-014857-pxl_20250119_010149890.jpg","modes":[]}
2025-01-19 01:54:39.665000 {"type":"join","timestamp":1737251679.6649714,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"klymilark1","nickname":"klymilark1","username":"~Thunderbi","name":null,"photo":null,"url":null,"tz":null,"host":"108.4.7.194"},"content":null,"modes":[]}
2025-01-19 02:52:09.721400 {"type":"join","timestamp":1737255129.7214482,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"klymilark","nickname":"klymilark","username":"~Thunderbi","name":null,"photo":null,"url":null,"tz":null,"host":"pool-108-4-7-194.rcmdva.fios.verizon.net"},"content":null,"modes":[]}
2025-01-19 03:14:47.590600 {"type":"join","timestamp":1737256487.590606,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"klymilark","nickname":"klymilark","username":"~Thunderbi","name":null,"photo":null,"url":null,"tz":null,"host":"pool-108-4-7-194.rcmdva.fios.verizon.net"},"content":null,"modes":[]}
