2019-06-24 00:31:21.941600 {"type":"join","timestamp":1561336281.9416,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"[fluffy]","nickname":"[fluffy]","username":"~slackuser","name":null,"photo":"https:\/\/beesbuzz.biz\/static\/headshot.jpg","url":"http:\/\/beesbuzz.biz","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-06-24 00:45:46.293900 {"type":"join","timestamp":1561337146.2939,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"[Michael_Beckwit","nickname":"[Michael_Beckwit","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-06-24 00:45:51.182600 {"type":"message","timestamp":1561337151.1826,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"[Michael_Beckwit","nickname":"[Michael_Beckwit","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":"i wish more services offered webhooks, it\u2019d help with syndication","modes":[]}
2019-06-24 00:51:21.691300 {"type":"join","timestamp":1561337481.6913,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"MarcoZDe","nickname":"MarcoZDe","username":"sid79431","name":"Marco Zehe","photo":"https:\/\/www.marcozehe.de\/wp-content\/uploads\/2018\/07\/Marco_Profilbild.jpg","url":"http:\/\/marcozehe.de","tz":"Europe\/Germany","host":"gateway\/web\/irccloud.com\/x-grtdglxbkcwlddoi"},"content":null,"modes":[]}
2019-06-24 00:51:59.246400 {"type":"message","timestamp":1561337519.2464,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"GWG","nickname":"GWG","username":"~GWG","name":"GWG","photo":"https:\/\/david.shanske.com\/wp-content\/uploads\/avatar-privacy\/cache\/gravatar\/2\/c\/2cb1f8afd9c8d3b646b4071c5ed887c970d81d625eeed87e447706940e2c403d-96.png","url":"http:\/\/david.shanske.com","tz":"America\/New_York","host":"pool-72-69-18-11.nycmny.fios.verizon.net"},"content":"Oh?","modes":["voice"]}
2019-06-24 00:52:25.370500 {"type":"message","timestamp":1561337545.3705,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"[Michael_Beckwit","nickname":"[Michael_Beckwit","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":"at least if you\u2019re posting on their things first","modes":[]}
2019-06-24 01:32:46.367400 {"type":"join","timestamp":1561339966.3674,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"[jgmac1106]","nickname":"[jgmac1106]","username":"~slackuser","name":"jgmac1106 via slack-irc-gateway","photo":"http:\/\/quickthoughts.jgregorymcverry.com\/file\/6802fbcdd3fada8cb61ffb798978f72f\/thumb.jpg","url":"http:\/\/jgregorymcverry.com","tz":"-5 GMT","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-06-24 01:42:17.843300 {"type":"join","timestamp":1561340537.8433,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"[eddie]","nickname":"[eddie]","username":"~slackuser","name":null,"photo":"https:\/\/eddiehinkle.com\/images\/profile.jpg","url":"http:\/\/eddiehinkle.com","tz":"America\/New_York","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-06-24 03:24:22.099900 {"type":"join","timestamp":1561346662.0999,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"Nebulous[m]","nickname":"Nebulous[m]","username":"disco4557","name":null,"photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-liugdoxetvygwvdx"},"content":null,"modes":[]}
2019-06-24 05:30:14.803200 {"type":"join","timestamp":1561354214.8032,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"gRegorLove","nickname":"gRegorLove","username":"~gRegorLov","name":null,"photo":null,"url":null,"tz":null,"host":"2600:8801:9200:c90:f93a:2c39:631:10fb"},"content":null,"modes":[]}
2019-06-24 06:06:37.681800 {"type":"join","timestamp":1561356397.6818,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"gRegorLove_","nickname":"gRegorLove_","username":"~gRegorLov","name":null,"photo":null,"url":null,"tz":null,"host":"2600:8801:9200:c90:f93a:2c39:631:10fb"},"content":null,"modes":[]}
