2022-03-30 00:00:55.823600 {"type":"join","timestamp":1648598455.8235977,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Murray[d]","nickname":"Murray[d]","username":"GnorthernG","name":"GnorthernGnome","photo":null,"url":null,"tz":null,"host":"alia.petermolnar.eu"},"content":null,"modes":[]}
2022-03-30 00:05:03.377000 {"type":"message","timestamp":1648598703.377033,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":{"value":"http:\/\/loqi.me\/logo\/loqisaur.png","alt":""},"url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"[@kevinmarks] \u21a9\ufe0f Have a look at http:\/\/indieweb.org for more on that. Webfinger is a bit more complicated than is needed. (https:\/\/twitter.com\/_\/status\/1508957676331540484)","modes":[]}
2022-03-30 00:10:03.898200 {"type":"message","timestamp":1648599003.8982203,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":{"value":"http:\/\/loqi.me\/logo\/loqisaur.png","alt":""},"url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"[@gvelez17] \u21a9\ufe0f hm Indieweb looks like a whole community thing is it also protocol?  looking...in 3 mins I didn't see a protocol alternative to webfinger yet...? (https:\/\/twitter.com\/_\/status\/1508958714576834562)","modes":[]}
2022-03-30 00:10:43.897600 {"type":"message","timestamp":1648599043.8976388,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":{"value":"http:\/\/loqi.me\/logo\/loqisaur.png","alt":""},"url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"\u000314[[\u000307decentralized\u000314]]\u00034 \u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=80474&oldid=78079&rcid=80372\u0003 \u00035*\u0003 \u000303Tantek.com\u0003 \u00035*\u0003 (+843) \u000310\/* Criticism *\/ add a few recent top of mind criticisms\u0003\n","modes":[]}
2022-03-30 00:12:29.004700 {"type":"message","timestamp":1648599149.004672,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":{"value":"http:\/\/loqi.me\/logo\/loqisaur.png","alt":""},"url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"\u000314[[\u000307decentralized\u000314]]\u00034 \u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=80475&oldid=80474&rcid=80373\u0003 \u00035*\u0003 \u000303Tantek.com\u0003 \u00035*\u0003 (+270) \u000310Brainstorming \/ Local autonomy\u0003\n","modes":[]}
2022-03-30 00:15:03.605200 {"type":"message","timestamp":1648599303.6052234,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":{"value":"http:\/\/loqi.me\/logo\/loqisaur.png","alt":""},"url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"[@kevinmarks] \u21a9\ufe0f there's a page on why Webfinger isn't great https:\/\/indieweb.org\/WebFinger \nsee also https:\/\/www.w3.org\/wiki\/Socialwg\/AccountDiscovery (https:\/\/twitter.com\/_\/status\/1508960136278249472)","modes":[]}
2022-03-30 00:15:03.741600 {"type":"message","timestamp":1648599303.74159,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":{"value":"http:\/\/loqi.me\/logo\/loqisaur.png","alt":""},"url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"[@kevinmarks] \u21a9\ufe0f webfinger is redundant if you use URLs for ID instead of some fake thing that looks like an email address but isn't\n\nsee https:\/\/indieweb.org\/discovery-algorithms (https:\/\/twitter.com\/_\/status\/1508959897328799745)","modes":[]}
2022-03-30 00:18:13.448300 {"type":"message","timestamp":1648599493.448261,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":{"value":"http:\/\/loqi.me\/logo\/loqisaur.png","alt":""},"url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"\u000314[[\u000307decentralized\u000314]]\u00034 \u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=80476&oldid=80475&rcid=80374\u0003 \u00035*\u0003 \u000303Tantek.com\u0003 \u00035*\u0003 (+574) \u000310\/* Brainstorming *\/ Plumbing vs Architecture vs User-problems\u0003\n","modes":[]}
2022-03-30 00:20:32.847200 {"type":"message","timestamp":1648599632.8472245,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":{"value":"http:\/\/loqi.me\/logo\/loqisaur.png","alt":""},"url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"\u000314[[\u000307decentralized\u000314]]\u00034 \u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=80477&oldid=80476&rcid=80375\u0003 \u00035*\u0003 \u000303Tantek.com\u0003 \u00035*\u0003 (+243) \u000310\/* Criticism *\/ Negative framing\u0003\n","modes":[]}
2022-03-30 00:24:04.646900 {"type":"message","timestamp":1648599844.6469135,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":{"value":"http:\/\/loqi.me\/logo\/loqisaur.png","alt":""},"url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"\u000314[[\u000307User:Andrew.kvalhe.im\u000314]]\u00034 !N\u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?oldid=80479&rcid=80377\u0003 \u00035*\u0003 \u000303Andrew.kvalhe.im\u0003 \u00035*\u0003 (+113) \u000310Add h-card\u0003\n","modes":[]}
2022-03-30 00:26:22.789900 {"type":"join","timestamp":1648599982.7898955,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"darkkirb","nickname":"darkkirb","username":"~darkkirb","name":null,"photo":null,"url":null,"tz":null,"host":"80.243.52.144"},"content":null,"modes":[]}
2022-03-30 00:26:47.649300 {"type":"message","timestamp":1648600007.64929,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"angelo","nickname":"angelo","username":"~angelo","name":"Angelo Gladding","photo":{"value":"https:\/\/lahacker.net\/images\/faces\/Ph7fnw7\/9d4ed3afe15ce62ca6034c686d572514ba55250d4833f4e867263a761e9cbe4b.jpg","alt":""},"url":"http:\/\/angelogladding.com","tz":"America\/Los_Angeles","host":"2600:1700:8780:c7c0:c592:b47c:762a:8cb0"},"content":"GWG I can start it if you can't","modes":[]}
2022-03-30 00:27:43.611000 {"type":"message","timestamp":1648600063.611029,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"GWG","nickname":"GWG","username":"~GWG","name":"GWG - ZNC","photo":{"value":"https:\/\/david.shanske.com\/avatar\/dshanske","alt":""},"url":"http:\/\/david.shanske.com","tz":"America\/New_York","host":"pool-72-69-18-11.nycmny.fios.verizon.net"},"content":"angelo: Be prepared","modes":["voice"]}
2022-03-30 00:27:56.393600 {"type":"message","timestamp":1648600076.3936305,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":"tantek via slack-irc-gateway","photo":{"value":"https:\/\/tantek.com\/logo.jpg","alt":""},"url":"http:\/\/Tantek.com","tz":"America\/Los_Angeles","host":"li826-110.members.linode.com"},"content":"angelo++","modes":["voice"]}
2022-03-30 00:27:56.424200 {"type":"message","timestamp":1648600076.4241729,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":{"value":"http:\/\/loqi.me\/logo\/loqisaur.png","alt":""},"url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"angelo has 2 karma in this channel over the last year (8 in all channels)","modes":[]}
2022-03-30 00:27:56.757800 {"type":"message","timestamp":1648600076.7578497,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"GWG","nickname":"GWG","username":"~GWG","name":"GWG - ZNC","photo":{"value":"https:\/\/david.shanske.com\/avatar\/dshanske","alt":""},"url":"http:\/\/david.shanske.com","tz":"America\/New_York","host":"pool-72-69-18-11.nycmny.fios.verizon.net"},"content":"angelo: The flight might be late","modes":["voice"]}
2022-03-30 00:28:03.361900 {"type":"message","timestamp":1648600083.3618655,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"angelo","nickname":"angelo","username":"~angelo","name":"Angelo Gladding","photo":{"value":"https:\/\/lahacker.net\/images\/faces\/Ph7fnw7\/9d4ed3afe15ce62ca6034c686d572514ba55250d4833f4e867263a761e9cbe4b.jpg","alt":""},"url":"http:\/\/angelogladding.com","tz":"America\/Los_Angeles","host":"2600:1700:8780:c7c0:c592:b47c:762a:8cb0"},"content":"i've just never done it before and don't have the credentials","modes":[]}
2022-03-30 00:28:15.353100 {"type":"message","timestamp":1648600095.353054,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"angelo","nickname":"angelo","username":"~angelo","name":"Angelo Gladding","photo":{"value":"https:\/\/lahacker.net\/images\/faces\/Ph7fnw7\/9d4ed3afe15ce62ca6034c686d572514ba55250d4833f4e867263a761e9cbe4b.jpg","alt":""},"url":"http:\/\/angelogladding.com","tz":"America\/Los_Angeles","host":"2600:1700:8780:c7c0:c592:b47c:762a:8cb0"},"content":"i like to show up five minutes late but i can be on time if i need to! :)","modes":[]}
2022-03-30 00:28:34.949500 {"type":"message","timestamp":1648600114.9495358,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"GWG","nickname":"GWG","username":"~GWG","name":"GWG - ZNC","photo":{"value":"https:\/\/david.shanske.com\/avatar\/dshanske","alt":""},"url":"http:\/\/david.shanske.com","tz":"America\/New_York","host":"pool-72-69-18-11.nycmny.fios.verizon.net"},"content":"I can start the meeting an hour early and you could just lurk in it.","modes":["voice"]}
2022-03-30 00:28:43.744400 {"type":"message","timestamp":1648600123.7443728,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"GWG","nickname":"GWG","username":"~GWG","name":"GWG - ZNC","photo":{"value":"https:\/\/david.shanske.com\/avatar\/dshanske","alt":""},"url":"http:\/\/david.shanske.com","tz":"America\/New_York","host":"pool-72-69-18-11.nycmny.fios.verizon.net"},"content":"I don't know how to share the 1Password with you","modes":["voice"]}
2022-03-30 00:29:29.380900 {"type":"message","timestamp":1648600169.3808634,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":{"value":"http:\/\/loqi.me\/logo\/loqisaur.png","alt":""},"url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"\u000314[[\u000307Template:andrewkvalheim\u000314]]\u00034 !N\u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?oldid=80480&rcid=80378\u0003 \u00035*\u0003 \u000303Andrew.kvalhe.im\u0003 \u00035*\u0003 (+110) \u000310Create small h-card template\u0003\n","modes":[]}
2022-03-30 00:29:53.368700 {"type":"message","timestamp":1648600193.3687408,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"angelo","nickname":"angelo","username":"~angelo","name":"Angelo Gladding","photo":{"value":"https:\/\/lahacker.net\/images\/faces\/Ph7fnw7\/9d4ed3afe15ce62ca6034c686d572514ba55250d4833f4e867263a761e9cbe4b.jpg","alt":""},"url":"http:\/\/angelogladding.com","tz":"America\/Los_Angeles","host":"2600:1700:8780:c7c0:c592:b47c:762a:8cb0"},"content":"i can show up an hour early. is it a short flight or something?","modes":[]}
