2020-03-23 00:05:17.244300 {"type":"join","timestamp":1584921917.2442791,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"KempfCreative","nickname":"KempfCreative","username":"Thunderbir","name":null,"photo":null,"url":null,"tz":null,"host":"gateway\/vpn\/privateinternetaccess\/kempfcreative"},"content":null,"modes":[]}
2020-03-23 00:40:11.397800 {"type":"join","timestamp":1584924011.397844,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":null,"photo":"http:\/\/tantek.com\/logo.jpg","url":"http:\/\/Tantek.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-03-23 00:45:10.380600 {"type":"join","timestamp":1584924310.3805676,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"electronicmaji","nickname":"electronicmaji","username":"~plpl","name":null,"photo":null,"url":null,"tz":null,"host":"69.235.41.106"},"content":null,"modes":[]}
2020-03-23 00:50:11.866500 {"type":"join","timestamp":1584924611.866474,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[chrisaldrich]","nickname":"[chrisaldrich]","username":"~slackuser","name":null,"photo":"https:\/\/www.boffosocko.com\/logo.jpg","url":"http:\/\/boffosocko.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-03-23 00:54:29.156600 {"type":"join","timestamp":1584924869.1566098,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"gRegorLove","nickname":"gRegorLove","username":"~gRegorLov","name":null,"photo":null,"url":null,"tz":null,"host":"2600:8801:9200:3280:adec:b537:9e1e:bb0d"},"content":null,"modes":[]}
2020-03-23 00:59:01.533800 {"type":"join","timestamp":1584925141.5337656,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"octect","nickname":"octect","username":"~O","name":null,"photo":null,"url":null,"tz":null,"host":"187.84.1.109"},"content":null,"modes":[]}
2020-03-23 01:05:01.550600 {"type":"join","timestamp":1584925501.5505807,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"octect","nickname":"octect","username":"~O","name":null,"photo":null,"url":null,"tz":null,"host":"187.84.1.109"},"content":null,"modes":[]}
2020-03-23 01:28:31.963600 {"type":"join","timestamp":1584926911.9636297,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","username":"~kartik","name":"purple","photo":null,"url":null,"tz":null,"host":"216-59-73-10.static.firstlight.net"},"content":null,"modes":[]}
2020-03-23 02:19:17.039900 {"type":"join","timestamp":1584929957.0399053,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"octect","nickname":"octect","username":"~O","name":null,"photo":null,"url":null,"tz":null,"host":"187.84.1.109"},"content":null,"modes":[]}
2020-03-23 02:20:41.976700 {"type":"join","timestamp":1584930041.9766765,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"octect","nickname":"octect","username":"~O","name":null,"photo":null,"url":null,"tz":null,"host":"187.84.1.109"},"content":null,"modes":[]}
2020-03-23 02:22:16.956500 {"type":"join","timestamp":1584930136.9564939,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"octect","nickname":"octect","username":"~O","name":null,"photo":null,"url":null,"tz":null,"host":"187.84.1.109"},"content":null,"modes":[]}
2020-03-23 02:23:41.968600 {"type":"join","timestamp":1584930221.9685845,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"octect","nickname":"octect","username":"~O","name":null,"photo":null,"url":null,"tz":null,"host":"187.84.1.109"},"content":null,"modes":[]}
2020-03-23 02:25:00.942400 {"type":"join","timestamp":1584930300.9423792,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"octect","nickname":"octect","username":"~O","name":null,"photo":null,"url":null,"tz":null,"host":"187.84.1.109"},"content":null,"modes":[]}
