2019-10-30 00:05:37.893700 {"type":"join","timestamp":1572393937.8937,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[jgmac1106]","nickname":"[jgmac1106]","username":"~slackuser","name":null,"photo":"http:\/\/quickthoughts.jgregorymcverry.com\/file\/6802fbcdd3fada8cb61ffb798978f72f\/thumb.jpg","url":"http:\/\/jgregorymcverry.com","tz":"-5 GMT","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-10-30 00:20:13.588700 {"type":"message","timestamp":1572394813.5887,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":null,"photo":"http:\/\/tantek.com\/logo.jpg","url":"http:\/\/Tantek.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":"I like a good adactio takedown","modes":[]}
2019-10-30 00:20:18.337300 {"type":"message","timestamp":1572394818.3373,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":null,"photo":"http:\/\/tantek.com\/logo.jpg","url":"http:\/\/Tantek.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":"adactio++","modes":[]}
2019-10-30 00:20:18.383500 {"type":"message","timestamp":1572394818.3835,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":"http:\/\/loqi.me\/logo\/loqisaur.png","url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"adactio has 2 karma in this channel over the last year (14 in all channels)","modes":[]}
2019-10-30 00:45:06.722300 {"type":"join","timestamp":1572396306.7223,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"petwilly71","nickname":"petwilly71","username":"45a70860","name":null,"photo":null,"url":null,"tz":null,"host":"69.167.8.96"},"content":null,"modes":[]}
2019-10-30 01:07:23.014800 {"type":"message","timestamp":1572397643.0148,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null,"host":null},"content":"[@kevinmarks] \u21a9\ufe0f You could use a microdata itemscope\/itemtype , or class=\"google-no-snippets\" if you wanted a microformats-like model. (https:\/\/twitter.com\/_\/status\/1189348007109681155)","modes":[]}
2019-10-30 02:13:25.986200 {"type":"join","timestamp":1572401605.9862,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"miketx","nickname":"miketx","username":"~textual","name":null,"photo":null,"url":null,"tz":null,"host":"pool-173-54-218-144.nwrknj.fios.verizon.net"},"content":null,"modes":[]}
2019-10-30 03:34:27.058000 {"type":"join","timestamp":1572406467.058,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"gRegorLove","nickname":"gRegorLove","username":"~gRegorLov","name":null,"photo":null,"url":null,"tz":null,"host":"2600:8801:9200:8540:a9af:7355:a098:b2f0"},"content":null,"modes":[]}
2019-10-30 05:19:31.133300 {"type":"join","timestamp":1572412771.1333,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[jeremycherfas]","nickname":"[jeremycherfas]","username":"~slackuser","name":null,"photo":"https:\/\/www.jeremycherfas.net\/user\/themes\/mytheme\/images\/zoot.jpg","url":"http:\/\/jeremycherfas.net","tz":"Europe\/Rome","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-10-30 05:52:22.971100 {"type":"join","timestamp":1572414742.9711,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":null,"photo":"http:\/\/tantek.com\/logo.jpg","url":"http:\/\/Tantek.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-10-30 06:38:14.200200 {"type":"join","timestamp":1572417494.2002,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[Lewis_Cowles]","nickname":"[Lewis_Cowles]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-10-30 06:48:13.916900 {"type":"message","timestamp":1572418093.9169,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"[Lewis_Cowles]","nickname":"[Lewis_Cowles]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":"mildly upset https:\/\/html.spec.whatwg.org\/multipage\/dom.html#embedding-custom-non-visible-data-with-the-data-*-attributes wasn't linked","modes":[]}
2019-10-30 07:00:59.002900 {"type":"join","timestamp":1572418859.0029,"network":"irc","server":"freenode","channel":{"uid":"#microformats","name":"#microformats"},"author":{"uid":"gRegorLove","nickname":"gRegorLove","username":"~gRegorLov","name":null,"photo":null,"url":null,"tz":null,"host":"2600:8801:9200:8540:a9af:7355:a098:b2f0"},"content":null,"modes":[]}
