2013-02-19 00:18:39.000000 {"type":"join","timestamp":"1361233119.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"zztr","nickname":"zztr","name":"zztr","username":null},"content":"zztr joined #indiewebcamp"}
2013-02-19 00:26:23.000000 {"type":"join","timestamp":"1361233583.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"samobk","nickname":"samobk","name":"samobk","username":null},"content":"samobk joined #indiewebcamp"}
2013-02-19 00:37:43.000000 {"type":"join","timestamp":"1361234263.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"spinnerin","nickname":"spinnerin","name":"spinnerin","username":null},"content":"spinnerin joined #indiewebcamp"}
2013-02-19 01:18:57.000000 {"type":"join","timestamp":"1361236737.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"scor","nickname":"scor","name":"scor","username":null},"content":"scor joined #indiewebcamp"}
2013-02-19 01:18:57.000000 {"type":"join","timestamp":"1361236737.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"scor","nickname":"scor","name":"scor","username":null},"content":"scor joined #indiewebcamp"}
2013-02-19 01:29:11.000000 {"type":"join","timestamp":"1361237351.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"dpk","nickname":"dpk","name":"dpk","username":null},"content":"dpk joined #indiewebcamp"}
2013-02-19 01:31:16.000000 {"type":"join","timestamp":"1361237476.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"bnvk","nickname":"bnvk","name":"bnvk","username":null},"content":"bnvk joined #indiewebcamp"}
2013-02-19 01:39:00.000000 {"type":"message","timestamp":"1361237940.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307code-of-conduct\u000314]]\u00034 !M\u000310 \u000302http:\/\/indiewebcamp.com\/wiki\/index.php?diff=1949&oldid=1939&rcid=2030\u0003 \u00035*\u0003 \u000303Userfirstweb.com\u0003 \u00035*\u0003 (+0) \u000310Grammar: Changing from good intentioned to well-intentioned\u0003"}
2013-02-19 01:53:47.000000 {"type":"join","timestamp":"1361238827.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"spinnerin","nickname":"spinnerin","name":"spinnerin","username":null},"content":"spinnerin joined #indiewebcamp"}
2013-02-19 02:11:03.000000 {"type":"join","timestamp":"1361239863.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"scor","nickname":"scor","name":"scor","username":null},"content":"scor joined #indiewebcamp"}
2013-02-19 02:11:03.000000 {"type":"join","timestamp":"1361239863.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"scor","nickname":"scor","name":"scor","username":null},"content":"scor joined #indiewebcamp"}
2013-02-19 02:19:52.000000 {"type":"message","timestamp":"1361240392.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307Special:Log\/patrol\u000314]]\u00034 patrol\u000310 \u000302\u0003 \u00035*\u0003 \u000303Tantek.com\u0003 \u00035*\u0003  \u000310marked revision 1949 of [[\u000302code-of-conduct\u000310]] patrolled \u0003"}
2013-02-19 02:21:35.000000 {"type":"join","timestamp":"1361240495.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"scor","nickname":"scor","name":"scor","username":null},"content":"scor joined #indiewebcamp"}
2013-02-19 02:21:35.000000 {"type":"join","timestamp":"1361240495.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"scor","nickname":"scor","name":"scor","username":null},"content":"scor joined #indiewebcamp"}
2013-02-19 02:51:50.000000 {"type":"join","timestamp":"1361242310.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"dpk","nickname":"dpk","name":"dpk","username":null},"content":"dpk joined #indiewebcamp"}
2013-02-19 03:11:51.000000 {"type":"message","timestamp":"1361243511.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"https:\/\/twitter.com\/Silona :: RT @t: drafted @IndieWebCamp code of conduct: http:\/\/indiewebcamp.com\/code-of-conduct input and feedback welcome. #respect #speakingup (ttk.me t4NW1)"}
2013-02-19 04:41:54.000000 {"type":"join","timestamp":"1361248914.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"bnvk","nickname":"bnvk","name":"bnvk","username":null},"content":"bnvk joined #indiewebcamp"}
2013-02-19 05:10:05.000000 {"type":"join","timestamp":"1361250605.000000","network":"irc","server":"freenode","channel":{"id":"#indiewebcamp","name":"#indiewebcamp"},"author":{"uid":"bnvk","nickname":"bnvk","name":"bnvk","username":null},"content":"bnvk joined #indiewebcamp"}
