2025-07-03 00:34:23.369100 {"type":"join","timestamp":1751502863.3690913,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"sebbu","nickname":"sebbu","username":"~sebbu","name":null,"photo":null,"url":"http:\/\/sebbu.fr","tz":"Europe\/Paris","host":"user\/sebbu"},"content":null,"modes":[]}
2025-07-03 01:01:47.770200 {"type":"join","timestamp":1751504507.7702448,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"sebbu","nickname":"sebbu","username":"~sebbu","name":null,"photo":null,"url":"http:\/\/sebbu.fr","tz":"Europe\/Paris","host":"user\/sebbu"},"content":null,"modes":[]}
2025-07-03 02:19:37.327800 {"type":"message","timestamp":1751509177.3278472,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"[social]","nickname":"[social]","username":"socialsUoE","name":null,"photo":null,"url":null,"tz":null,"host":"gateway.indieweb.org"},"content":"The move to Fediverse is dependent on the move to WordPress. The amount of work to transition Tumblr was a large and more broad swath of work than initially considered. Plus the move of Tumblr to WP also was slowing some of the fixes and completing feature work for Tumblr. The move of Tumblr to a WP backend isn\u2019t stopped, it is just on hold.","modes":[]}
2025-07-03 04:59:00.860200 {"type":"message","timestamp":1751518740.8601952,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"[snarfed]","nickname":"[snarfed]","username":"snarfeL7Pg","name":null,"photo":null,"url":"http:\/\/snarfed.org","tz":"America\/Los_Angeles","host":"gateway.indieweb.org"},"content":"it's not necessarily dependent. from the article ^ : \u201cI think if there was a big push to implement fediverse, we would just do it on the Tumblr code base\u201d","modes":[]}
2025-07-03 08:24:44.623100 {"type":"join","timestamp":1751531084.6230755,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"[pfefferle]","nickname":"[pfefferle]","username":"pfeffeknnQ","name":null,"photo":{"value":"https:\/\/pbs.twimg.com\/profile_images\/1176088943160414208\/BeLItBV-_400x400.jpg","alt":""},"url":"http:\/\/Notiz.blog","tz":"Europe\/Berlin","host":"gateway.indieweb.org"},"content":null,"modes":[]}
2025-07-03 08:24:45.000900 {"type":"message","timestamp":1751531085.000909,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"[pfefferle]","nickname":"[pfefferle]","username":"pfeffeknnQ","name":null,"photo":{"value":"https:\/\/pbs.twimg.com\/profile_images\/1176088943160414208\/BeLItBV-_400x400.jpg","alt":""},"url":"http:\/\/Notiz.blog","tz":"Europe\/Berlin","host":"gateway.indieweb.org"},"content":"https:\/\/canada.wordcamp.org\/2025\/wceh-keynote-evan-prodromou\/","modes":[]}
2025-07-03 10:38:06.643700 {"type":"join","timestamp":1751539086.643651,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"[KevinMarks]","nickname":"[KevinMarks]","username":"KevinMVVNs","name":null,"photo":{"value":"http:\/\/www.kevinmarks.com\/km.jpg","alt":""},"url":"http:\/\/kevinmarks.com","tz":"Europe\/London","host":"gateway.indieweb.org"},"content":null,"modes":[]}
2025-07-03 16:28:23.188900 {"type":"join","timestamp":1751560103.1889198,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"gRegor","nickname":"gRegor","username":"~gRegorLov","name":null,"photo":{"value":"https:\/\/gregorlove.com\/site\/assets\/files\/6268\/profile-2021-square.300x0.jpg","alt":""},"url":"http:\/\/gregorlove.com","tz":"America\/Los_Angeles","host":"2600:8801:9914:2700:81a5:cc2a:c39c:d5a2"},"content":null,"modes":[]}
2025-07-03 17:32:23.389100 {"type":"message","timestamp":1751563943.3891497,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"[mattl]","nickname":"[mattl]","username":"mattlb8wTU","name":null,"photo":{"value":"https:\/\/mat.tl\/img\/mattl.png","alt":""},"url":"http:\/\/mat.tl","tz":"America\/New_York","host":"gateway.indieweb.org"},"content":"I have no idea why they\u2019d want to do this.","modes":[]}
2025-07-03 17:32:45.523100 {"type":"message","timestamp":1751563965.5231297,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"[mattl]","nickname":"[mattl]","username":"mattlb8wTU","name":null,"photo":{"value":"https:\/\/mat.tl\/img\/mattl.png","alt":""},"url":"http:\/\/mat.tl","tz":"America\/New_York","host":"gateway.indieweb.org"},"content":"Moving Tumblr to WordPress just makes it harder for them to decouple things in future.","modes":[]}
2025-07-03 17:39:25.636600 {"type":"join","timestamp":1751564365.6366334,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"[aciccarello]","nickname":"[aciccarello]","username":"aciccaJZZk","name":null,"photo":{"value":"https:\/\/secure.gravatar.com\/avatar\/17d306899b5f20953440eca1d65d34e0?s=128","alt":""},"url":"http:\/\/www.ciccarello.me","tz":"America\/Los_Angeles","host":"gateway.indieweb.org"},"content":null,"modes":[]}
2025-07-03 22:02:53.270300 {"type":"join","timestamp":1751580173.2702835,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-wordpress","name":"#indieweb-wordpress"},"author":{"uid":"angelo","nickname":"angelo","username":"~angelo","name":null,"photo":{"value":"http:\/\/ragt.ag\/static\/eye.png","alt":""},"url":"http:\/\/ragt.ag","tz":"America\/Los_Angeles","host":"2600:1700:8780:c7c0:552f:66df:b865:259b"},"content":null,"modes":[]}
