2020-01-23 06:20:00.623400 {"type":"join","timestamp":1579760400.6234355,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[manton]","nickname":"[manton]","username":"~slackuser","name":null,"photo":"https:\/\/micro.blog\/manton\/avatar.jpg","url":"http:\/\/Manton.org","tz":"America\/Chicago","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-01-23 08:10:55.623000 {"type":"join","timestamp":1579767055.6229525,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[Marlin_Forbes]","nickname":"[Marlin_Forbes]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-01-23 08:45:36.966400 {"type":"join","timestamp":1579769136.96636,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"Zegnat","nickname":"Zegnat","username":"~Martijn","name":"Martijn van der Ven","photo":null,"url":null,"tz":null,"host":"v22016013254630973.happysrv.de"},"content":null,"modes":[]}
2020-01-23 08:45:36.962000 {"type":"join","timestamp":1579769136.961976,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"egoexpress","nickname":"egoexpress","username":"wonder","name":"Watching Empires Burn","photo":null,"url":null,"tz":null,"host":"mass.atrocity.me"},"content":null,"modes":[]}
2020-01-23 09:33:21.100000 {"type":"join","timestamp":1579772001.0999753,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":null,"photo":"http:\/\/tantek.com\/logo.jpg","url":"http:\/\/Tantek.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-01-23 09:46:20.397200 {"type":"join","timestamp":1579772780.397161,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[LewisCowles]","nickname":"[LewisCowles]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-01-23 10:04:28.171700 {"type":"join","timestamp":1579773868.1716986,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"mapkyca","nickname":"mapkyca","username":"~mapkyca","name":null,"photo":null,"url":null,"tz":null,"host":"77.95.178.3"},"content":null,"modes":[]}
2020-01-23 11:07:48.501000 {"type":"join","timestamp":1579777668.500983,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"jeremych_","nickname":"jeremych_","username":"~textual","name":null,"photo":null,"url":null,"tz":null,"host":"141.98.255.148"},"content":null,"modes":[]}
2020-01-23 11:40:38.047700 {"type":"join","timestamp":1579779638.047653,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"felixschlDiscord","nickname":"felixschlDiscord","username":"disco7216","name":"@_discord_493642519997841418:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-xpcwobfpjpsptxon"},"content":null,"modes":[]}
2020-01-23 12:09:47.145300 {"type":"message","timestamp":1579781387.1452935,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null,"host":null},"content":"[@jgmac1106] @reclaimhosting @namedotcom we are updating the installatron script for @withknown so folks can have one button install and automatic updates again. What is the best way to test functionality? https:\/\/github.com\/idno\/installatron\/pull\/5 (https:\/\/quickthoughts.jgregorymcverry.com\/s\/16QND6) (https:\/\/twitter.com\/_\/status\/1220317679359266818)","modes":[]}
2020-01-23 12:09:52.879200 {"type":"join","timestamp":1579781392.8791938,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"jgmac1106","nickname":"jgmac1106","username":"~jgmac1106","name":null,"photo":"http:\/\/quickthoughts.jgregorymcverry.com\/file\/6802fbcdd3fada8cb61ffb798978f72f\/thumb.jpg","url":"http:\/\/jgregorymcverry.com","tz":"-5 GMT","host":"c-76-23-135-43.hsd1.ct.comcast.net"},"content":null,"modes":[]}
2020-01-23 12:10:17.182900 {"type":"message","timestamp":1579781417.182889,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"jgmac1106","nickname":"jgmac1106","username":"~jgmac1106","name":null,"photo":"http:\/\/quickthoughts.jgregorymcverry.com\/file\/6802fbcdd3fada8cb61ffb798978f72f\/thumb.jpg","url":"http:\/\/jgregorymcverry.com","tz":"-5 GMT","host":"c-76-23-135-43.hsd1.ct.comcast.net"},"content":"hey folks check this out from LewisCowles I have asked reclaim and name.com on ways to test: https:\/\/github.com\/idno\/installatron\/pull\/5","modes":[]}
2020-01-23 12:10:19.749800 {"type":"message","timestamp":1579781419.7497694,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null,"host":null},"content":"[Lewiscowles1986] #5 PHP7 0.9.9 Installer","modes":[]}
2020-01-23 12:26:38.874000 {"type":"message","timestamp":1579782398.8740203,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"jeremycherfas","nickname":"jeremycherfas","username":"~jeremyche","name":"Jeremy Cherfas","photo":null,"url":null,"tz":null,"host":"jeremy.powered.by.lunarbnc.net"},"content":"!tell jgmac1106 I have no idea what I would do with that. Is it something individuals would use? How?","modes":[]}
2020-01-23 12:26:38.891300 {"type":"message","timestamp":1579782398.8912575,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null,"host":null},"content":"Ok, I'll tell them that when I see them next","modes":[]}
2020-01-23 12:32:05.573300 {"type":"message","timestamp":1579782725.5732837,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null,"host":null},"content":"[@ReclaimHosting] \u21a9\ufe0f Recommend working directly with @Installatron to see if they will add to their library and support it rather than putting the onus of support on hosting providers. Would also expand reach as all providers using Installatron could use it then. (https:\/\/twitter.com\/_\/status\/1220323292470546432)","modes":[]}
2020-01-23 12:34:41.704800 {"type":"join","timestamp":1579782881.7048326,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"crestDiscord[m]","nickname":"crestDiscord[m]","username":"disco7126","name":"@_discord_154558827604213760:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-nbkquofegbdhmyrw"},"content":null,"modes":[]}
2020-01-23 12:34:41.910600 {"type":"join","timestamp":1579782881.9106343,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"macerbiDiscord[m","nickname":"macerbiDiscord[m","username":"disco7256","name":"@_discord_518392799926812672:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-yqwuckgyfkbzokzk"},"content":null,"modes":[]}
2020-01-23 12:34:41.918400 {"type":"join","timestamp":1579782881.9183893,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"baluptonDiscord[","nickname":"baluptonDiscord[","username":"disco6865","name":"@_discord_105816512060751872:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-nzdxfasqagqtlohl"},"content":null,"modes":[]}
2020-01-23 12:34:41.911500 {"type":"join","timestamp":1579782881.9115298,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"achingbrainDisco","nickname":"achingbrainDisco","username":"disco7877","name":"@_discord_556078926892630026:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-ehqjeemfcgmrstiw"},"content":null,"modes":[]}
2020-01-23 12:34:41.933500 {"type":"join","timestamp":1579782881.9334652,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"braditzDiscord[4","nickname":"braditzDiscord[4","username":"disco7056","name":"@_discord_144264453343543297:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-wkuwzwlexrazkthl"},"content":null,"modes":[]}
2020-01-23 12:34:41.939500 {"type":"join","timestamp":1579782881.9395154,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"Googol30Discord[","nickname":"Googol30Discord[","username":"disco9296","name":null,"photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-kfxppysgibkgncye"},"content":null,"modes":[]}
2020-01-23 12:34:41.940800 {"type":"join","timestamp":1579782881.9407911,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"eddy[m]","nickname":"eddy[m]","username":"disco6491","name":"@_discord_571365262780006451:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-uouxzpkjzhyewcjf"},"content":null,"modes":[]}
2020-01-23 12:34:42.110400 {"type":"join","timestamp":1579782882.1103737,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"M[AXEL]JulianDis","nickname":"M[AXEL]JulianDis","username":"disco6793","name":"@_discord_593213017261473849:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-qxbtgglwoyxlewtp"},"content":null,"modes":[]}
2020-01-23 12:34:42.116500 {"type":"join","timestamp":1579782882.116549,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"TyphooNDiscord[m","nickname":"TyphooNDiscord[m","username":"disco9470","name":null,"photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-cyzwxovtqgdedxxx"},"content":null,"modes":[]}
2020-01-23 12:34:42.121400 {"type":"join","timestamp":1579782882.1213846,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"celsoDiscord[m]1","nickname":"celsoDiscord[m]1","username":"disco7148","name":"@_discord_327775979860918275:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-ogwhuevryqaiskqd"},"content":null,"modes":[]}
2020-01-23 12:34:42.138400 {"type":"join","timestamp":1579782882.1383824,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"kirol54Discord[m","nickname":"kirol54Discord[m","username":"disco8857","name":"@_discord_239708425963962371:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-abvrzqxhriqfmolf"},"content":null,"modes":[]}
2020-01-23 12:34:42.140300 {"type":"join","timestamp":1579782882.1402535,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"sander[m]","nickname":"sander[m]","username":"disco6262","name":"@_discord_415955810393522187:getepona.com","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-ifupelrrnrgdtyum"},"content":null,"modes":[]}
