2015-09-19 01:00:16.468000 {"type":"join","timestamp":"1442624416.468000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"netweb","nickname":"netweb","name":"netweb","username":null},"content":"netweb joined #microformats"}
2015-09-19 03:48:53.571000 {"type":"join","timestamp":"1442634533.571000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"gRegorLove","nickname":"gRegorLove","name":"gRegorLove","username":null},"content":"gRegorLove joined #microformats"}
2015-09-19 04:24:29.995000 {"type":"join","timestamp":"1442636669.995000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"nitot_","nickname":"nitot_","name":"nitot_","username":null},"content":"nitot_ joined #microformats"}
2015-09-19 05:52:02.352000 {"type":"join","timestamp":"1442641922.352000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Soopaman","nickname":"Soopaman","name":"Soopaman","username":null},"content":"Soopaman joined #microformats"}
2015-09-19 06:36:19.455000 {"type":"message","timestamp":"1442644579.455000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[@terkel] \u00e6\u0160\u00bc\u00e3\u0081\u2014\u00e5\u2026\u00a5\u00e3\u201a\u0152\u00e3\u0081\u00ae\u00e6\u0153\u00ac\u00e3\u201a\u2019\u00e6\u2022\u00b4\u00e7\u0090\u2020\u00e3\u0081\u2014\u00e3\u0081\u00a6\u00e3\u0081\u0178\u00e3\u201a\u2030 Microformats \u00e3\u0081\u00ae\u00e6\u0153\u00ac\u00e3\u0081\u0152\u00e5\u2021\u00ba\u00e3\u0081\u00a6\u00e3\u0081\u008d\u00e3\u0081\u00a6\u00e3\u201a\u00a6\u00e3\u0192\u0192\u00e3\u0081\u00a6\u00e3\u0081\u00aa\u00e3\u0081\u00a3\u00e3\u0081\u0178\u00e3\u20ac\u201a (http:\/\/twtr.io\/140uBMpdX2Q)"}
2015-09-19 06:40:37.995000 {"type":"message","timestamp":"1442644837.995000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[@Constellation] Microformats \u00e6\u2021\u0090\u00e3\u0081\u2039\u00e3\u0081\u2014\u00e3\u0081\u00bf\u00e3\u0081\u00a0. xfolks... (http:\/\/twtr.io\/140u_bLpqw1)"}
2015-09-19 06:42:58.583000 {"type":"join","timestamp":"1442644978.583000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Soopaman","nickname":"Soopaman","name":"Soopaman","username":null},"content":"Soopaman joined #microformats"}
2015-09-19 07:47:59.001000 {"type":"join","timestamp":"1442648879.001000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"nitot","nickname":"nitot","name":"nitot","username":null},"content":"nitot joined #microformats"}
2015-09-19 08:18:58.667000 {"type":"join","timestamp":"1442650738.667000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"nitot","nickname":"nitot","name":"nitot","username":null},"content":"nitot joined #microformats"}
2015-09-19 08:23:24.517000 {"type":"join","timestamp":"1442651004.517000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"eschnou","nickname":"eschnou","name":"eschnou","username":null},"content":"eschnou joined #microformats"}
2015-09-19 08:57:56.974000 {"type":"join","timestamp":"1442653076.974000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"nitot_","nickname":"nitot_","name":"nitot_","username":null},"content":"nitot_ joined #microformats"}
