2014-03-28 00:09:28.000000 {"type":"join","timestamp":"1395965368.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"caseorga_","nickname":"caseorga_","name":"caseorga_","username":null},"content":"caseorga_ joined #microformats"}
2014-03-28 00:18:45.000000 {"type":"join","timestamp":"1395965925.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"KevinMarks","nickname":"KevinMarks","name":"KevinMarks","username":null},"content":"KevinMarks joined #microformats"}
2014-03-28 00:51:37.000000 {"type":"join","timestamp":"1395967897.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"ttepasse","nickname":"ttepasse","name":"ttepasse","username":null},"content":"ttepasse joined #microformats"}
2014-03-28 01:13:56.000000 {"type":"join","timestamp":"1395969236.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"KevinMarks","nickname":"KevinMarks","name":"KevinMarks","username":null},"content":"KevinMarks joined #microformats"}
2014-03-28 01:59:46.000000 {"type":"join","timestamp":"1395971986.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"netweb","nickname":"netweb","name":"netweb","username":null},"content":"netweb joined #microformats"}
2014-03-28 01:59:47.000000 {"type":"join","timestamp":"1395971987.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"netweb","nickname":"netweb","name":"netweb","username":null},"content":"netweb joined #microformats"}
2014-03-28 05:22:43.000000 {"type":"join","timestamp":"1395984163.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #microformats"}
2014-03-28 05:41:01.000000 {"type":"join","timestamp":"1395985261.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"netweb","nickname":"netweb","name":"netweb","username":null},"content":"netweb joined #microformats"}
2014-03-28 05:41:01.000000 {"type":"join","timestamp":"1395985261.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"netweb","nickname":"netweb","name":"netweb","username":null},"content":"netweb joined #microformats"}
2014-03-28 06:07:32.000000 {"type":"join","timestamp":"1395986852.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"eschnou","nickname":"eschnou","name":"eschnou","username":null},"content":"eschnou joined #microformats"}
2014-03-28 08:08:32.000000 {"type":"join","timestamp":"1395994112.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"eschnou","nickname":"eschnou","name":"eschnou","username":null},"content":"eschnou joined #microformats"}
2014-03-28 08:30:18.000000 {"type":"message","timestamp":"1395995418.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307hreview-aggregate\u000314]]\u00034 M\u000310 \u000302http:\/\/www.microformats.org\/wiki\/index.php?title=hreview-aggregate&diff=64271&oldid=64270&rcid=100619\u0003 \u00035*\u0003 \u000303ChiefRA\u0003 \u00035*\u0003 (-203) \u000310Undo revision 64270 by [[Special:Contributions\/Biowein-Steffen|Biowein-Steffen]] ([[User talk:Biowein-Steffen|Talk]]) - couldn't find the hreview, spam\u0003"}
2014-03-28 09:18:30.000000 {"type":"message","timestamp":"1395998310.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[@J_DoubleS] #HCARD final presentations have begun with intro from #machineman Prof Etienne Burdet https:\/\/twitter.com\/J_DoubleS\/status\/449475746927742976\/photo\/1 (http:\/\/twtr.io\/jb3k9wGaGG)"}
2014-03-28 09:20:29.000000 {"type":"message","timestamp":"1395998429.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[@ImperialBioeng] RT @J_DoubleS: #HCARD final presentations have begun with intro from #machineman Prof Etienne Burdet https:\/\/twitter.com\/J_DoubleS\/status\/449475746927742976\/photo\/1 (http:\/\/twtr.io\/jb3vvxJjLG)"}
2014-03-28 09:26:10.000000 {"type":"message","timestamp":"1395998770.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[@ImperialBioeng] First team key design requirements: arm rehab, data acquisition & sustained interest #HCARD http:\/\/ow.ly\/i\/539rv http:\/\/ow.ly\/i\/539sK (http:\/\/twtr.io\/jb4SSLnYgb)"}
2014-03-28 09:36:04.000000 {"type":"message","timestamp":"1395999364.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[@ImperialBioeng] Herbie the alien a bimanual toy for 2-3 year olds who have suffered a stroke #HCARD http:\/\/ow.ly\/i\/539HX http:\/\/ow.ly\/i\/539KY (http:\/\/twtr.io\/jb5KsHXhHc)"}
2014-03-28 09:40:31.000000 {"type":"message","timestamp":"1395999631.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[@J_DoubleS] Impressive Herbie the Alien group drawing internal components as another team member explains how it works #HCARD https:\/\/twitter.com\/J_DoubleS\/status\/449481291554390016\/photo\/1 (http:\/\/twtr.io\/jb5j0NQPtb)"}
2014-03-28 09:43:49.000000 {"type":"message","timestamp":"1395999829.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[@ImperialBioeng] Great acronym FARM Forearm rehabilitation machine which is for for children with unilateral brain injury http:\/\/ow.ly\/i\/53a2x #HCARD (http:\/\/twtr.io\/jb61dmx7gs)"}
2014-03-28 09:56:02.000000 {"type":"message","timestamp":"1396000562.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[@ImperialBioeng] Farm house a fun interactive toy to help children who have suffered a stroke to get better http:\/\/ow.ly\/i\/53ap0 #HCARD (http:\/\/twtr.io\/jb77eTGyNw)"}
2014-03-28 10:06:36.000000 {"type":"message","timestamp":"1396001196.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[@ImperialBioeng] Last group presentation from GRAM (Grip Assessment Module) an assessment tool for stroke patients http:\/\/ow.ly\/i\/53aEJ #HCARD #bioeng (http:\/\/twtr.io\/jb84XtPqg4)"}
2014-03-28 10:07:33.000000 {"type":"join","timestamp":"1396001253.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"waterbaby999","nickname":"waterbaby999","name":"waterbaby999","username":null},"content":"waterbaby999 joined #microformats"}
2014-03-28 10:07:33.000000 {"type":"join","timestamp":"1396001253.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"waterbaby999","nickname":"waterbaby999","name":"waterbaby999","username":null},"content":"waterbaby999 joined #microformats"}
2014-03-28 10:10:00.000000 {"type":"join","timestamp":"1396001400.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"barnabywalters","nickname":"barnabywalters","name":"barnabywalters","username":null},"content":"barnabywalters joined #microformats"}
2014-03-28 11:48:08.000000 {"type":"join","timestamp":"1396007288.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"adactio","nickname":"adactio","name":"adactio","username":null},"content":"adactio joined #microformats"}
2014-03-28 12:38:10.000000 {"type":"join","timestamp":"1396010290.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #microformats"}
2014-03-28 12:50:46.000000 {"type":"join","timestamp":"1396011046.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"chiui","nickname":"chiui","name":"chiui","username":null},"content":"chiui joined #microformats"}
2014-03-28 13:23:30.000000 {"type":"join","timestamp":"1396013010.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"elux","nickname":"elux","name":"elux","username":null},"content":"elux joined #microformats"}
2014-03-28 13:30:10.000000 {"type":"join","timestamp":"1396013410.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"TallTed","nickname":"TallTed","name":"TallTed","username":null},"content":"TallTed joined #microformats"}
2014-03-28 17:02:04.000000 {"type":"join","timestamp":"1396026124.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #microformats"}
2014-03-28 17:58:46.000000 {"type":"join","timestamp":"1396029526.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"encolpe","nickname":"encolpe","name":"encolpe","username":null},"content":"encolpe joined #microformats"}
2014-03-28 18:12:28.000000 {"type":"message","timestamp":"1396030348.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[@cnwuptodate] Rich Snippets: Missing required field hCard author updated http:\/\/www.computer-nach-wunsch.de\/webdesign\/rich-snippets-missing-required-field-hcard-author-updated.htm (http:\/\/twtr.io\/jbrkWPt6zC)"}
2014-03-28 18:12:35.000000 {"type":"join","timestamp":"1396030355.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"chiui","nickname":"chiui","name":"chiui","username":null},"content":"chiui joined #microformats"}
2014-03-28 18:36:01.000000 {"type":"join","timestamp":"1396031761.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"benward","nickname":"benward","name":"benward","username":null},"content":"benward joined #microformats"}
2014-03-28 19:47:06.000000 {"type":"join","timestamp":"1396036026.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #microformats"}
2014-03-28 19:58:13.000000 {"type":"join","timestamp":"1396036693.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"eschnou","nickname":"eschnou","name":"eschnou","username":null},"content":"eschnou joined #microformats"}
2014-03-28 20:04:28.000000 {"type":"join","timestamp":"1396037068.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"ttepasse","nickname":"ttepasse","name":"ttepasse","username":null},"content":"ttepasse joined #microformats"}
2014-03-28 20:09:53.000000 {"type":"join","timestamp":"1396037393.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"eschnou","nickname":"eschnou","name":"eschnou","username":null},"content":"eschnou joined #microformats"}
2014-03-28 22:23:03.000000 {"type":"join","timestamp":"1396045383.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"KevinMarks","nickname":"KevinMarks","name":"KevinMarks","username":null},"content":"KevinMarks joined #microformats"}
2014-03-28 23:04:42.000000 {"type":"message","timestamp":"1396047882.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[@SearchyNerds] Author Hreview Review - Increase Search Traffic With Eye Catching SERPS http:\/\/www.matthewwoodward.co.uk\/reviews\/author-hreview-review-increase-search-traffic-with-eye-catching-serps\/?utm_content=buffer09f14&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer (http:\/\/twtr.io\/jcJ28zsrLY)"}
