2021-07-31 00:38:37.953800 {"type":"join","timestamp":1627691917.953846,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"jetpack","nickname":"jetpack","username":"~jetpack","name":"Mr. Pack","photo":null,"url":null,"tz":null,"host":"2605:2700:1:100e:ddb4:196e:c17a:3b92"},"content":null,"modes":[]}
2021-07-31 00:51:32.311100 {"type":"join","timestamp":1627692692.3111022,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"Jimmy","nickname":"Jimmy","username":"~webuser","name":null,"photo":null,"url":null,"tz":null,"host":"li826-110.members.linode.com"},"content":null,"modes":[]}
2021-07-31 00:51:32.811400 {"type":"join","timestamp":1627692692.8113787,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[jgmac1106]","nickname":"[jgmac1106]","username":"~slackuser","name":null,"photo":"http:\/\/quickthoughts.jgregorymcverry.com\/file\/6802fbcdd3fada8cb61ffb798978f72f\/thumb.jpg","url":"http:\/\/jgregorymcverry.com","tz":"-5 GMT","host":"li826-110.members.linode.com"},"content":null,"modes":[]}
2021-07-31 00:51:32.950500 {"type":"join","timestamp":1627692692.9505472,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[snarfed]","nickname":"[snarfed]","username":"~slackuser","name":"snarfed via slack-irc-gateway","photo":null,"url":"http:\/\/snarfed.org","tz":"America\/Los_Angeles","host":"li826-110.members.linode.com"},"content":null,"modes":[]}
2021-07-31 00:51:33.014000 {"type":"join","timestamp":1627692693.0139942,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":"tantek via slack-irc-gateway","photo":"https:\/\/tantek.com\/logo.jpg","url":"http:\/\/Tantek.com","tz":"America\/Los_Angeles","host":"li826-110.members.linode.com"},"content":null,"modes":[]}
2021-07-31 00:51:33.356000 {"type":"join","timestamp":1627692693.3559783,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[tw2113_Slack_]","nickname":"[tw2113_Slack_]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"li826-110.members.linode.com"},"content":null,"modes":[]}
2021-07-31 00:59:05.460700 {"type":"join","timestamp":1627693145.4607422,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"BigShip","nickname":"BigShip","username":"~BigShip","name":"BigShip","photo":null,"url":null,"tz":null,"host":"user\/bigship"},"content":null,"modes":[]}
2021-07-31 01:42:41.283300 {"type":"join","timestamp":1627695761.2833488,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[schmarty]","nickname":"[schmarty]","username":"~slackuser","name":null,"photo":"https:\/\/martymcgui.re\/img\/logo.jpg","url":"http:\/\/martymcgui.re","tz":"America\/New_York","host":"li826-110.members.linode.com"},"content":null,"modes":[]}
2021-07-31 02:42:46.045500 {"type":"join","timestamp":1627699366.045533,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"gzj","nickname":"gzj","username":"~GZJ0X","name":"realname","photo":null,"url":null,"tz":null,"host":"199.193.127.138.16clouds.com"},"content":null,"modes":[]}
2021-07-31 03:03:08.348500 {"type":"join","timestamp":1627700588.3485174,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"P[m]12345","nickname":"P[m]12345","username":"~p1000matr","name":null,"photo":null,"url":null,"tz":null,"host":"2001:470:69fc:105::cc98"},"content":null,"modes":[]}
2021-07-31 03:29:52.680600 {"type":"join","timestamp":1627702192.6805887,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"alex_","nickname":"alex_","username":"~alex11","name":null,"photo":null,"url":null,"tz":null,"host":"bras-base-mtrlpq5302w-grc-31-76-70-61-139.dsl.bell.ca"},"content":null,"modes":[]}
