2014-12-18 00:15:49.316000 {"type":"join","timestamp":"1418861749.316000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"edsu","nickname":"edsu","name":"edsu","username":null},"content":"edsu joined #microformats"}
2014-12-18 00:16:01.926000 {"type":"join","timestamp":"1418861761.926000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tobyink","nickname":"tobyink","name":"tobyink","username":null},"content":"tobyink joined #microformats"}
2014-12-18 00:39:52.615000 {"type":"join","timestamp":"1418863192.615000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"gRegor`","nickname":"gRegor`","name":"gRegor`","username":null},"content":"gRegor` joined #microformats"}
2014-12-18 00:47:57.918000 {"type":"join","timestamp":"1418863677.918000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","name":"KartikPrabhu","username":null},"content":"KartikPrabhu joined #microformats"}
2014-12-18 01:22:03.556000 {"type":"join","timestamp":"1418865723.556000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"prtksxna","nickname":"prtksxna","name":"prtksxna","username":null},"content":"prtksxna joined #microformats"}
2014-12-18 01:24:50.888000 {"type":"join","timestamp":"1418865890.888000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","name":"KartikPrabhu","username":null},"content":"KartikPrabhu joined #microformats"}
2014-12-18 01:29:47.807000 {"type":"join","timestamp":"1418866187.807000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #microformats"}
2014-12-18 03:34:04.550000 {"type":"join","timestamp":"1418873644.550000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","name":"KartikPrabhu","username":null},"content":"KartikPrabhu joined #microformats"}
2014-12-18 03:57:17.656000 {"type":"join","timestamp":"1418875037.656000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"prtksxna","nickname":"prtksxna","name":"prtksxna","username":null},"content":"prtksxna joined #microformats"}
2014-12-18 04:26:41.288000 {"type":"join","timestamp":"1418876801.288000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","name":"KartikPrabhu","username":null},"content":"KartikPrabhu joined #microformats"}
2014-12-18 04:59:18.370000 {"type":"join","timestamp":"1418878758.370000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"gRegor`","nickname":"gRegor`","name":"gRegor`","username":null},"content":"gRegor` joined #microformats"}
2014-12-18 07:07:30.548000 {"type":"join","timestamp":"1418886450.548000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #microformats"}
2014-12-18 07:44:39.773000 {"type":"message","timestamp":"1418888679.773000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307hatom-examples-in-wild\u000314]]\u00034 M\u000310 \u000302http:\/\/microformats.org\/wiki\/index.php?title=hatom-examples-in-wild&diff=64725&oldid=64579&rcid=101092\u0003 \u00035*\u0003 \u000303Daisytia\u0003 \u00035*\u0003 (+122) \u000310\u0003"}
2014-12-18 07:51:50.367000 {"type":"join","timestamp":"1418889110.367000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"kez_","nickname":"kez_","name":"kez_","username":null},"content":"kez_ joined #microformats"}
2014-12-18 08:08:46.668000 {"type":"join","timestamp":"1418890126.668000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"prtksxna","nickname":"prtksxna","name":"prtksxna","username":null},"content":"prtksxna joined #microformats"}
2014-12-18 08:10:50.372000 {"type":"join","timestamp":"1418890250.372000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"pfefferle","nickname":"pfefferle","name":"pfefferle","username":null},"content":"pfefferle joined #microformats"}
2014-12-18 08:23:07.052000 {"type":"message","timestamp":"1418890987.052000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307hatom-examples-in-wild\u000314]]\u00034 M\u000310 \u000302http:\/\/microformats.org\/wiki\/index.php?title=hatom-examples-in-wild&diff=64726&oldid=64725&rcid=101093\u0003 \u00035*\u0003 \u000303Pfefferle\u0003 \u00035*\u0003 (-122) \u000310Undo revision 64725 by [[Special:Contributions\/Daisytia|Daisytia]] ([[User talk:Daisytia|Talk]])\u0003"}
2014-12-18 08:23:55.718000 {"type":"message","timestamp":"1418891035.718000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307hatom-examples-in-wild\u000314]]\u00034 M\u000310 \u000302http:\/\/microformats.org\/wiki\/index.php?title=hatom-examples-in-wild&diff=64727&oldid=64726&rcid=101094\u0003 \u00035*\u0003 \u000303Pfefferle\u0003 \u00035*\u0003 (-63) \u000310removed broken image\u0003"}
2014-12-18 08:31:06.708000 {"type":"join","timestamp":"1418891466.708000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"pfefferle","nickname":"pfefferle","name":"pfefferle","username":null},"content":"pfefferle joined #microformats"}
2014-12-18 08:41:37.373000 {"type":"join","timestamp":"1418892097.373000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"eschnou","nickname":"eschnou","name":"eschnou","username":null},"content":"eschnou joined #microformats"}
2014-12-18 08:51:29.394000 {"type":"join","timestamp":"1418892689.394000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"pfefferle","nickname":"pfefferle","name":"pfefferle","username":null},"content":"pfefferle joined #microformats"}
2014-12-18 08:55:59.914000 {"type":"join","timestamp":"1418892959.914000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"pfefferle","nickname":"pfefferle","name":"pfefferle","username":null},"content":"pfefferle joined #microformats"}
2014-12-18 10:03:43.985000 {"type":"join","timestamp":"1418897023.985000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"iSRAELiWORK","nickname":"iSRAELiWORK","name":"iSRAELiWORK","username":null},"content":"iSRAELiWORK joined #microformats"}
2014-12-18 10:03:45.398000 {"type":"message","timestamp":"1418897025.398000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"iSRAELiWORK","nickname":"iSRAELiWORK","name":"iSRAELiWORK","username":null},"content":":\"D"}
2014-12-18 10:03:45.996000 {"type":"message","timestamp":"1418897025.996000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"iSRAELiWORK","nickname":"iSRAELiWORK","name":"iSRAELiWORK","username":null},"content":":D"}
